Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,100,1.129600e-01,1.781708e-17,5.377643e-17
RB SOR 3D,31,150,1.183820e-01,2.872077e-14,8.497543e-14
RB SOR 3D,47,250,9.699900e-02,1.377507e-15,3.982925e-15
RB SOR 3D,63,350,9.552700e-02,5.090129e-16,1.405126e-15
RB SOR 3D,79,400,1.030950e-01,4.834625e-15,1.376330e-14
RB SOR 3D,95,500,1.120590e-01,1.825859e-15,5.074066e-15
RB SOR 3D,111,550,1.616140e-01,8.456404e-15,2.391837e-14
RB SOR 3D,127,650,1.596490e-01,3.794018e-15,1.057661e-14
RB SOR 3D,143,750,2.020090e-01,2.556660e-15,6.990936e-15
RB SOR 3D,159,800,2.327260e-01,6.069104e-15,1.685631e-14
"MG 3D(v, nu=3, w=1.25)",15,7,9.216000e-02,1.005159e-14,2.810079e-14
"MG 3D(v, nu=3, w=1.25)",31,7,8.332700e-02,2.745953e-14,7.745540e-14
"MG 3D(v, nu=3, w=1.25)",47,7,8.986200e-02,2.411817e-14,6.818331e-14
"MG 3D(v, nu=3, w=1.25)",63,7,9.310500e-02,3.484023e-14,9.848199e-14
"MG 3D(v, nu=3, w=1.25)",95,7,1.015610e-01,2.696683e-14,7.631916e-14
"MG 3D(v, nu=3, w=1.25)",127,7,1.234740e-01,3.694299e-14,1.044997e-13
"MG 3D(v, nu=3, w=1.25)",191,7,2.043870e-01,2.773681e-14,7.854481e-14
"MG 3D(v, nu=3, w=1.25)",255,7,2.924250e-01,3.748136e-14,1.060194e-13
"MG 3D(v, nu=3, w=1.25)",319,7,4.773850e-01,4.226524e-14,1.195676e-13
"MG 3D(v, nu=3, w=1.25)",383,7,8.049200e-01,2.789335e-14,7.893512e-14
"MG 3D(v, nu=3, w=auto)",15,13,1.044400e-01,1.002936e-13,2.927276e-13
"MG 3D(v, nu=3, w=auto)",31,20,1.073830e-01,7.210944e-12,1.899821e-11
"MG 3D(v, nu=3, w=auto)",47,20,1.472170e-01,8.769015e-09,2.284939e-08
"MG 3D(v, nu=3, w=auto)",63,20,1.164270e-01,6.657837e-08,1.652201e-07
"MG 3D(v, nu=3, w=auto)",95,20,1.133200e-01,4.995515e-06,1.291801e-05
"MG 3D(v, nu=3, w=auto)",127,20,1.323710e-01,8.103635e-06,1.931152e-05
"MG 3D(v, nu=3, w=auto)",191,20,2.553810e-01,1.271912e-04,3.249004e-04
"MG 3D(v, nu=3, w=auto)",255,20,4.888070e-01,9.482238e-05,2.187321e-04
"MG 3D(v, nu=3, w=auto)",319,20,8.280340e-01,2.713206e-04,6.742071e-04
"MG 3D(v, nu=3, w=auto)",383,20,1.353436e+00,6.459297e-04,1.640217e-03
"MG 3D(w, nu=3, w=1.25)",15,6,9.707700e-02,3.747332e-14,1.064843e-13
"MG 3D(w, nu=3, w=1.25)",31,5,8.837300e-02,2.153795e-14,5.366887e-14
"MG 3D(w, nu=3, w=1.25)",47,5,1.120990e-01,1.371856e-15,5.158417e-15
"MG 3D(w, nu=3, w=1.25)",63,5,1.294680e-01,2.439244e-16,1.114126e-15
"MG 3D(w, nu=3, w=1.25)",95,4,1.230030e-01,4.562265e-15,1.886403e-14
"MG 3D(w, nu=3, w=1.25)",127,4,1.492010e-01,1.139502e-15,5.672763e-15
"MG 3D(w, nu=3, w=1.25)",191,4,1.980130e-01,2.546160e-16,1.282936e-15
"MG 3D(w, nu=3, w=1.25)",255,4,2.967490e-01,1.121051e-16,7.025630e-16
"MG 3D(w, nu=3, w=1.25)",319,4,4.988600e-01,3.093124e-16,8.326673e-16
"MG 3D(w, nu=3, w=1.25)",383,4,7.341600e-01,7.449367e-16,1.717376e-15
"MG 3D(w, nu=3, w=auto)",15,11,1.110680e-01,2.101665e-13,6.238239e-13
"MG 3D(w, nu=3, w=auto)",31,20,1.082020e-01,5.155360e-15,1.755193e-14
"MG 3D(w, nu=3, w=auto)",47,20,1.633840e-01,6.248921e-12,3.302447e-11
"MG 3D(w, nu=3, w=auto)",63,20,1.532930e-01,1.817772e-10,7.850746e-10
"MG 3D(w, nu=3, w=auto)",95,20,2.060120e-01,2.832415e-09,1.052374e-08
"MG 3D(w, nu=3, w=auto)",127,20,2.555760e-01,9.931990e-09,5.137311e-08
"MG 3D(w, nu=3, w=auto)",191,20,4.471350e-01,5.816085e-08,4.448054e-07
"MG 3D(w, nu=3, w=auto)",255,20,6.753060e-01,8.577793e-08,4.991298e-07
"MG 3D(w, nu=3, w=auto)",319,20,1.084686e+00,1.806438e-07,9.932250e-07
"MG 3D(w, nu=3, w=auto)",383,20,1.876672e+00,3.900864e-07,1.624413e-06
