Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,100,8.672000e-02,1.196900e-04,2.822351e-04
RB SOR 3D,31,200,8.838700e-02,3.009750e-05,7.114305e-05
RB SOR 3D,47,250,9.923700e-02,1.339099e-05,3.168567e-05
RB SOR 3D,63,350,9.825100e-02,7.535251e-06,1.782635e-05
RB SOR 3D,79,450,1.340930e-01,4.823395e-06,1.141042e-05
RB SOR 3D,95,500,1.102300e-01,3.349893e-06,7.926262e-06
RB SOR 3D,111,600,1.333570e-01,2.461286e-06,5.823450e-06
RB SOR 3D,127,700,1.557270e-01,1.884491e-06,4.458499e-06
RB SOR 3D,143,800,1.949040e-01,1.489018e-06,3.523181e-06
RB SOR 3D,159,850,2.610140e-01,1.206125e-06,2.853790e-06
"MG 3D(v, nu=3, w=1.25)",15,7,9.171900e-02,1.196900e-04,2.822351e-04
"MG 3D(v, nu=3, w=1.25)",31,7,1.470600e-01,3.009749e-05,7.114301e-05
"MG 3D(v, nu=3, w=1.25)",47,7,9.296000e-02,1.339098e-05,3.168563e-05
"MG 3D(v, nu=3, w=1.25)",63,7,9.239100e-02,7.535232e-06,1.782630e-05
"MG 3D(v, nu=3, w=1.25)",95,7,9.896200e-02,3.349879e-06,7.926221e-06
"MG 3D(v, nu=3, w=1.25)",127,8,1.181200e-01,1.884491e-06,4.458500e-06
"MG 3D(v, nu=3, w=1.25)",191,8,1.792810e-01,8.376072e-07,1.981868e-06
"MG 3D(v, nu=3, w=1.25)",255,8,3.169500e-01,4.711647e-07,1.114827e-06
"MG 3D(v, nu=3, w=1.25)",319,8,5.501360e-01,3.015481e-07,7.134858e-07
"MG 3D(v, nu=3, w=1.25)",383,8,8.232590e-01,2.094089e-07,4.954830e-07
"MG 3D(v, nu=3, w=auto)",15,14,1.026580e-01,1.196900e-04,2.822351e-04
"MG 3D(v, nu=3, w=auto)",31,20,1.007700e-01,3.009224e-05,7.112628e-05
"MG 3D(v, nu=3, w=auto)",47,20,1.065400e-01,8.142157e-06,2.804482e-05
"MG 3D(v, nu=3, w=auto)",63,20,1.107870e-01,1.042207e-04,4.266571e-04
"MG 3D(v, nu=3, w=auto)",95,20,1.255460e-01,3.959096e-03,1.312719e-02
"MG 3D(v, nu=3, w=auto)",127,20,1.378990e-01,1.553732e-02,7.312153e-02
"MG 3D(v, nu=3, w=auto)",191,20,2.913290e-01,1.068687e-01,4.199382e-01
"MG 3D(v, nu=3, w=auto)",255,20,5.098750e-01,1.869958e-01,1.033453e+00
"MG 3D(v, nu=3, w=auto)",319,20,8.133730e-01,3.198612e-01,1.776189e+00
"MG 3D(v, nu=3, w=auto)",383,20,1.441789e+00,5.575645e-01,2.557375e+00
"MG 3D(w, nu=3, w=1.25)",15,7,9.873100e-02,1.196900e-04,2.822351e-04
"MG 3D(w, nu=3, w=1.25)",31,7,1.019630e-01,3.009750e-05,7.114305e-05
"MG 3D(w, nu=3, w=1.25)",47,7,1.164030e-01,1.339099e-05,3.168567e-05
"MG 3D(w, nu=3, w=1.25)",63,7,1.162730e-01,7.535252e-06,1.782635e-05
"MG 3D(w, nu=3, w=1.25)",95,7,1.495610e-01,3.349895e-06,7.926264e-06
"MG 3D(w, nu=3, w=1.25)",127,7,1.574530e-01,1.884492e-06,4.458501e-06
"MG 3D(w, nu=3, w=1.25)",191,7,2.608350e-01,8.376075e-07,1.981869e-06
"MG 3D(w, nu=3, w=1.25)",255,7,3.938640e-01,4.711649e-07,1.114827e-06
"MG 3D(w, nu=3, w=1.25)",319,7,6.135300e-01,3.015485e-07,7.134862e-07
"MG 3D(w, nu=3, w=1.25)",383,7,9.794240e-01,2.094095e-07,4.954840e-07
"MG 3D(w, nu=3, w=auto)",15,13,9.293800e-02,1.196900e-04,2.822351e-04
"MG 3D(w, nu=3, w=auto)",31,20,1.217510e-01,3.009748e-05,7.114389e-05
"MG 3D(w, nu=3, w=auto)",47,20,1.476420e-01,1.338458e-05,3.124921e-05
"MG 3D(w, nu=3, w=auto)",63,20,1.626390e-01,1.355483e-05,1.155234e-04
"MG 3D(w, nu=3, w=auto)",95,20,2.256190e-01,3.713817e-04,4.959376e-03
"MG 3D(w, nu=3, w=auto)",127,20,2.266820e-01,2.059007e-03,3.437958e-02
"MG 3D(w, nu=3, w=auto)",191,20,4.792890e-01,1.174730e-02,2.489427e-01
"MG 3D(w, nu=3, w=auto)",255,20,6.671820e-01,2.697626e-02,6.714862e-01
"MG 3D(w, nu=3, w=auto)",319,20,1.050796e+00,4.409312e-02,1.217620e+00
"MG 3D(w, nu=3, w=auto)",383,20,1.946095e+00,6.039556e-02,1.807617e+00
