Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,100,1.011160e-01,1.412551e-02,3.995298e-02
RB SOR 3D,31,150,8.424400e-02,3.475092e-03,9.829044e-03
RB SOR 3D,47,200,9.284200e-02,1.539914e-03,4.355535e-03
RB SOR 3D,63,250,9.546700e-02,8.653042e-04,2.447450e-03
RB SOR 3D,79,350,1.068420e-01,5.535291e-04,1.565617e-03
RB SOR 3D,95,400,1.208780e-01,3.842951e-04,1.086951e-03
RB SOR 3D,111,500,1.334920e-01,2.822949e-04,7.984506e-04
RB SOR 3D,127,500,1.441130e-01,2.161100e-04,6.112514e-04
RB SOR 3D,143,650,2.161280e-01,1.707417e-04,4.829303e-04
RB SOR 3D,159,650,2.090370e-01,1.382938e-04,3.911540e-04
"MG 3D(v, nu=3, w=1.25)",15,4,8.811700e-02,1.412551e-02,3.995298e-02
"MG 3D(v, nu=3, w=1.25)",31,6,9.083200e-02,3.475092e-03,9.829044e-03
"MG 3D(v, nu=3, w=1.25)",47,6,8.891100e-02,1.539914e-03,4.355535e-03
"MG 3D(v, nu=3, w=1.25)",63,7,1.020350e-01,8.653042e-04,2.447450e-03
"MG 3D(v, nu=3, w=1.25)",95,7,1.020590e-01,3.842951e-04,1.086951e-03
"MG 3D(v, nu=3, w=1.25)",127,7,1.184610e-01,2.161100e-04,6.112514e-04
"MG 3D(v, nu=3, w=1.25)",191,7,2.070680e-01,9.603113e-05,2.716170e-04
"MG 3D(v, nu=3, w=1.25)",255,7,3.010480e-01,5.401401e-05,1.527747e-04
"MG 3D(v, nu=3, w=1.25)",319,7,4.835380e-01,3.456793e-05,9.777287e-05
"MG 3D(v, nu=3, w=1.25)",383,7,9.478630e-01,2.400512e-05,6.789672e-05
"MG 3D(v, nu=3, w=auto)",15,10,8.809600e-02,1.412551e-02,3.995298e-02
"MG 3D(v, nu=3, w=auto)",31,19,1.114180e-01,3.475092e-03,9.829044e-03
"MG 3D(v, nu=3, w=auto)",47,20,1.159680e-01,1.539817e-03,4.355267e-03
"MG 3D(v, nu=3, w=auto)",63,20,1.054250e-01,8.571689e-04,2.423350e-03
"MG 3D(v, nu=3, w=auto)",95,20,1.378100e-01,2.045529e-04,5.854814e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.347780e-01,9.204025e-04,2.748320e-03
"MG 3D(v, nu=3, w=auto)",191,20,2.518220e-01,4.908360e-03,1.454878e-02
"MG 3D(v, nu=3, w=auto)",255,20,5.683610e-01,1.197169e-02,3.566920e-02
"MG 3D(v, nu=3, w=auto)",319,20,8.476310e-01,2.379366e-02,6.898050e-02
"MG 3D(v, nu=3, w=auto)",383,20,1.369989e+00,2.724832e-02,7.932569e-02
"MG 3D(w, nu=3, w=1.25)",15,4,1.237580e-01,1.412551e-02,3.995298e-02
"MG 3D(w, nu=3, w=1.25)",31,6,1.066140e-01,3.475092e-03,9.829044e-03
"MG 3D(w, nu=3, w=1.25)",47,6,1.202140e-01,1.539914e-03,4.355535e-03
"MG 3D(w, nu=3, w=1.25)",63,6,1.198880e-01,8.653042e-04,2.447450e-03
"MG 3D(w, nu=3, w=1.25)",95,5,1.302750e-01,3.842951e-04,1.086951e-03
"MG 3D(w, nu=3, w=1.25)",127,5,1.362660e-01,2.161100e-04,6.112514e-04
"MG 3D(w, nu=3, w=1.25)",191,4,2.216800e-01,9.603113e-05,2.716170e-04
"MG 3D(w, nu=3, w=1.25)",255,4,2.988970e-01,5.401401e-05,1.527747e-04
"MG 3D(w, nu=3, w=1.25)",319,4,4.914640e-01,3.456793e-05,9.777287e-05
"MG 3D(w, nu=3, w=1.25)",383,4,7.375680e-01,2.400512e-05,6.789672e-05
"MG 3D(w, nu=3, w=auto)",15,10,9.805000e-02,1.412551e-02,3.995298e-02
"MG 3D(w, nu=3, w=auto)",31,19,1.085450e-01,3.475092e-03,9.829044e-03
"MG 3D(w, nu=3, w=auto)",47,20,1.471150e-01,1.539892e-03,4.355472e-03
"MG 3D(w, nu=3, w=auto)",63,20,1.475610e-01,8.652963e-04,2.447571e-03
"MG 3D(w, nu=3, w=auto)",95,20,2.240930e-01,3.844420e-04,1.088428e-03
"MG 3D(w, nu=3, w=auto)",127,20,2.295890e-01,2.164247e-04,6.350444e-04
"MG 3D(w, nu=3, w=auto)",191,20,4.523250e-01,1.006084e-04,3.970820e-04
"MG 3D(w, nu=3, w=auto)",255,20,6.796070e-01,6.280318e-05,2.658097e-04
"MG 3D(w, nu=3, w=auto)",319,20,1.055525e+00,4.057729e-05,1.796737e-04
"MG 3D(w, nu=3, w=auto)",383,20,1.851231e+00,1.313317e-04,6.336724e-04
