Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,50,1.061150e-01,7.641808e-09,2.142042e-08
RB SOR 3D,31,100,1.003350e-01,2.874860e-08,7.729977e-08
RB SOR 3D,47,100,1.045970e-01,9.761732e-08,3.103399e-07
RB SOR 3D,63,150,1.000600e-01,1.002085e-07,2.607703e-07
RB SOR 3D,79,200,1.599350e-01,1.960158e-07,4.999427e-07
RB SOR 3D,95,250,1.233260e-01,3.016980e-07,7.757917e-07
RB SOR 3D,111,300,1.201740e-01,4.083727e-07,1.056040e-06
RB SOR 3D,127,1000,1.573210e-01,5.543393e-07,1.511551e-06
RB SOR 3D,143,1000,2.388830e-01,6.993295e-07,1.798706e-06
RB SOR 3D,159,1000,2.014990e-01,8.549249e-07,2.235584e-06
"MG 3D(v, nu=3, w=1.25)",15,2,9.609200e-02,2.660753e-06,7.398427e-06
"MG 3D(v, nu=3, w=1.25)",31,3,9.224100e-02,8.175561e-08,2.356246e-07
"MG 3D(v, nu=3, w=1.25)",47,3,1.041940e-01,8.125245e-08,2.265746e-07
"MG 3D(v, nu=3, w=1.25)",63,3,1.065980e-01,9.327956e-08,2.505258e-07
"MG 3D(v, nu=3, w=1.25)",95,3,1.055530e-01,9.764670e-08,2.987246e-07
"MG 3D(v, nu=3, w=1.25)",127,3,1.187270e-01,2.302623e-07,6.230548e-07
"MG 3D(v, nu=3, w=1.25)",191,3,1.554060e-01,3.433043e-07,7.282943e-07
"MG 3D(v, nu=3, w=1.25)",255,20,3.620320e-01,4.652571e-07,1.578068e-06
"MG 3D(v, nu=3, w=1.25)",319,20,5.754500e-01,7.238870e-07,2.435744e-06
"MG 3D(v, nu=3, w=1.25)",383,20,9.683980e-01,1.045223e-06,3.518077e-06
"MG 3D(v, nu=3, w=auto)",15,5,1.009330e-01,4.429053e-07,1.298264e-06
"MG 3D(v, nu=3, w=auto)",31,8,9.953800e-02,1.625069e-06,4.217029e-06
"MG 3D(v, nu=3, w=auto)",47,12,1.063710e-01,1.900048e-06,4.943978e-06
"MG 3D(v, nu=3, w=auto)",63,15,1.077700e-01,1.159015e-06,2.916902e-06
"MG 3D(v, nu=3, w=auto)",95,20,1.562510e-01,4.991964e-06,1.291175e-05
"MG 3D(v, nu=3, w=auto)",127,20,1.402320e-01,8.098891e-06,1.928955e-05
"MG 3D(v, nu=3, w=auto)",191,20,1.898400e-01,1.272035e-04,3.249406e-04
"MG 3D(v, nu=3, w=auto)",255,20,3.826870e-01,9.482684e-05,2.187963e-04
"MG 3D(v, nu=3, w=auto)",319,20,5.789410e-01,2.713464e-04,6.742646e-04
"MG 3D(v, nu=3, w=auto)",383,20,9.551760e-01,6.460337e-04,1.640461e-03
"MG 3D(w, nu=3, w=1.25)",15,2,9.777300e-02,1.128054e-06,3.163703e-06
"MG 3D(w, nu=3, w=1.25)",31,2,1.298830e-01,1.523104e-07,3.697351e-07
"MG 3D(w, nu=3, w=1.25)",47,2,1.087420e-01,3.723064e-08,8.381903e-08
"MG 3D(w, nu=3, w=1.25)",63,2,1.020720e-01,8.910387e-09,2.152228e-08
"MG 3D(w, nu=3, w=1.25)",95,2,1.149360e-01,7.180684e-09,5.061336e-08
"MG 3D(w, nu=3, w=1.25)",127,2,1.354450e-01,9.351451e-08,2.263114e-07
"MG 3D(w, nu=3, w=1.25)",191,2,1.763090e-01,3.488178e-08,2.025346e-07
"MG 3D(w, nu=3, w=1.25)",255,20,5.771200e-01,4.637733e-07,1.575798e-06
"MG 3D(w, nu=3, w=1.25)",319,20,8.029410e-01,7.201636e-07,2.424680e-06
"MG 3D(w, nu=3, w=1.25)",383,20,1.370798e+00,1.041398e-06,3.504774e-06
"MG 3D(w, nu=3, w=auto)",15,4,1.143880e-01,9.196451e-07,2.790242e-06
"MG 3D(w, nu=3, w=auto)",31,6,1.100600e-01,1.857191e-07,7.729977e-07
"MG 3D(w, nu=3, w=auto)",47,9,1.177500e-01,4.618600e-08,1.602839e-07
"MG 3D(w, nu=3, w=auto)",63,13,1.330550e-01,1.937607e-08,7.101335e-08
"MG 3D(w, nu=3, w=auto)",95,20,2.105180e-01,3.365921e-08,9.936535e-08
"MG 3D(w, nu=3, w=auto)",127,20,2.374490e-01,4.551013e-08,1.937151e-07
"MG 3D(w, nu=3, w=auto)",191,20,4.038840e-01,8.862843e-08,4.449133e-07
"MG 3D(w, nu=3, w=auto)",255,20,5.632180e-01,1.295514e-07,5.196780e-07
"MG 3D(w, nu=3, w=auto)",319,20,7.997100e-01,2.568832e-07,1.174435e-06
"MG 3D(w, nu=3, w=auto)",383,20,1.419500e+00,3.352800e-07,1.692317e-06
