Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,50,9.654600e-02,1.827763e-04,4.990194e-04
RB SOR 3D,31,100,1.004850e-01,4.676772e-05,1.276228e-04
RB SOR 3D,47,100,1.103020e-01,2.202799e-05,6.086562e-05
RB SOR 3D,63,150,1.060000e-01,1.297972e-05,3.577207e-05
RB SOR 3D,79,200,1.190520e-01,9.619258e-06,2.684846e-05
RB SOR 3D,95,200,1.055100e-01,8.876002e-06,2.603659e-05
RB SOR 3D,111,250,1.158610e-01,8.020822e-06,2.248894e-05
RB SOR 3D,127,1000,1.575100e-01,8.461744e-06,2.414359e-05
RB SOR 3D,143,1000,1.767640e-01,9.348798e-06,2.688483e-05
RB SOR 3D,159,1000,2.021580e-01,1.053811e-05,2.994740e-05
"MG 3D(v, nu=3, w=1.25)",15,2,1.115550e-01,1.614118e-04,4.361961e-04
"MG 3D(v, nu=3, w=1.25)",31,3,1.073850e-01,4.456358e-05,1.217816e-04
"MG 3D(v, nu=3, w=1.25)",47,3,1.108550e-01,1.838041e-05,4.940099e-05
"MG 3D(v, nu=3, w=1.25)",63,3,1.100340e-01,8.682795e-06,2.289747e-05
"MG 3D(v, nu=3, w=1.25)",95,3,1.200530e-01,2.332836e-06,5.577829e-06
"MG 3D(v, nu=3, w=1.25)",127,3,1.096960e-01,7.458289e-07,4.117999e-06
"MG 3D(v, nu=3, w=1.25)",191,3,1.591610e-01,1.954276e-06,7.498625e-06
"MG 3D(v, nu=3, w=1.25)",255,20,3.628290e-01,4.148483e-06,1.405844e-05
"MG 3D(v, nu=3, w=1.25)",319,20,5.776580e-01,5.822397e-06,1.983501e-05
"MG 3D(v, nu=3, w=1.25)",383,20,9.669790e-01,7.987284e-06,2.738292e-05
"MG 3D(v, nu=3, w=auto)",15,4,9.732300e-02,1.830553e-04,4.916880e-04
"MG 3D(v, nu=3, w=auto)",31,9,1.018710e-01,5.997699e-05,1.697633e-04
"MG 3D(v, nu=3, w=auto)",47,14,1.039090e-01,6.019044e-06,1.904823e-05
"MG 3D(v, nu=3, w=auto)",63,19,1.167160e-01,2.177775e-05,7.119346e-05
"MG 3D(v, nu=3, w=auto)",95,20,1.192380e-01,2.047962e-04,6.992646e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.335230e-01,1.032731e-03,4.046000e-03
"MG 3D(v, nu=3, w=auto)",191,20,1.915490e-01,6.192038e-03,2.306281e-02
"MG 3D(v, nu=3, w=auto)",255,20,3.654080e-01,1.308039e-02,5.617974e-02
"MG 3D(v, nu=3, w=auto)",319,20,5.894970e-01,2.022824e-02,9.560306e-02
"MG 3D(v, nu=3, w=auto)",383,20,9.084870e-01,3.355494e-02,1.376633e-01
"MG 3D(w, nu=3, w=1.25)",15,2,9.926200e-02,1.614212e-04,4.361961e-04
"MG 3D(w, nu=3, w=1.25)",31,3,1.226440e-01,4.586724e-05,1.245830e-04
"MG 3D(w, nu=3, w=1.25)",47,3,1.056840e-01,2.057907e-05,5.597804e-05
"MG 3D(w, nu=3, w=1.25)",63,3,1.161010e-01,1.164994e-05,3.165935e-05
"MG 3D(w, nu=3, w=1.25)",95,3,1.499580e-01,5.406062e-06,1.454509e-05
"MG 3D(w, nu=3, w=1.25)",127,3,1.483990e-01,3.382553e-06,9.399205e-06
"MG 3D(w, nu=3, w=1.25)",191,3,1.874160e-01,2.739885e-06,7.879209e-06
"MG 3D(w, nu=3, w=1.25)",255,20,5.618410e-01,4.113535e-06,1.373982e-05
"MG 3D(w, nu=3, w=1.25)",319,20,8.202090e-01,5.800191e-06,1.985538e-05
"MG 3D(w, nu=3, w=1.25)",383,20,1.392314e+00,7.978154e-06,2.795364e-05
"MG 3D(w, nu=3, w=auto)",15,4,9.796400e-02,1.836885e-04,4.930589e-04
"MG 3D(w, nu=3, w=auto)",31,9,1.341120e-01,5.136177e-05,1.497361e-04
"MG 3D(w, nu=3, w=auto)",47,14,1.425970e-01,2.088493e-05,6.335290e-05
"MG 3D(w, nu=3, w=auto)",63,18,1.965390e-01,1.244785e-05,4.944647e-05
"MG 3D(w, nu=3, w=auto)",95,20,2.321650e-01,2.757959e-05,2.827342e-04
"MG 3D(w, nu=3, w=auto)",127,20,2.273200e-01,1.645229e-04,1.921933e-03
"MG 3D(w, nu=3, w=auto)",191,20,4.259810e-01,8.789908e-04,1.337503e-02
"MG 3D(w, nu=3, w=auto)",255,20,5.653220e-01,2.052927e-03,3.565545e-02
"MG 3D(w, nu=3, w=auto)",319,20,8.621070e-01,3.331523e-03,6.404372e-02
"MG 3D(w, nu=3, w=auto)",383,20,1.403845e+00,4.591325e-03,9.433326e-02
