Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,50,1.064640e-01,1.257128e-04,2.949358e-04
RB SOR 3D,31,100,1.026040e-01,4.760496e-05,1.078570e-04
RB SOR 3D,47,1000,1.149410e-01,6.594748e-05,1.623567e-04
RB SOR 3D,63,1000,1.169290e-01,7.904021e-05,1.847073e-04
RB SOR 3D,79,1000,1.323870e-01,1.309527e-04,3.211698e-04
RB SOR 3D,95,1000,1.710900e-01,1.918000e-04,4.626512e-04
RB SOR 3D,111,1000,1.640670e-01,2.652528e-04,6.482721e-04
RB SOR 3D,127,1000,1.584590e-01,3.438417e-04,8.019762e-04
RB SOR 3D,143,1000,1.857250e-01,4.469703e-04,1.058950e-03
RB SOR 3D,159,1000,2.386570e-01,5.634418e-04,1.328145e-03
"MG 3D(v, nu=3, w=1.25)",15,3,1.013460e-01,9.006614e-05,2.084447e-04
"MG 3D(v, nu=3, w=1.25)",31,3,9.971800e-02,1.951316e-05,6.862760e-05
"MG 3D(v, nu=3, w=1.25)",47,3,1.012480e-01,3.262927e-05,1.071139e-04
"MG 3D(v, nu=3, w=1.25)",63,3,1.109300e-01,4.677577e-05,1.360550e-04
"MG 3D(v, nu=3, w=1.25)",95,20,1.236030e-01,2.041310e-05,4.731761e-05
"MG 3D(v, nu=3, w=1.25)",127,20,1.365920e-01,4.095487e-05,1.249980e-04
"MG 3D(v, nu=3, w=1.25)",191,20,1.998450e-01,7.977522e-05,2.116997e-04
"MG 3D(v, nu=3, w=1.25)",255,20,3.667010e-01,1.711195e-04,4.861938e-04
"MG 3D(v, nu=3, w=1.25)",319,20,5.853810e-01,2.518776e-04,6.797860e-04
"MG 3D(v, nu=3, w=1.25)",383,20,9.179810e-01,3.467829e-04,9.682999e-04
"MG 3D(v, nu=3, w=auto)",15,6,9.987300e-02,8.610862e-05,1.898880e-04
"MG 3D(v, nu=3, w=auto)",31,11,1.087660e-01,8.817962e-05,2.745701e-04
"MG 3D(v, nu=3, w=auto)",47,20,1.185780e-01,1.208608e-05,3.748020e-05
"MG 3D(v, nu=3, w=auto)",63,20,1.269090e-01,1.016426e-04,4.280495e-04
"MG 3D(v, nu=3, w=auto)",95,20,1.216850e-01,3.954651e-03,1.311956e-02
"MG 3D(v, nu=3, w=auto)",127,20,1.395040e-01,1.553317e-02,7.311556e-02
"MG 3D(v, nu=3, w=auto)",191,20,1.893470e-01,1.068732e-01,4.199606e-01
"MG 3D(v, nu=3, w=auto)",255,20,3.713020e-01,1.870065e-01,1.033485e+00
"MG 3D(v, nu=3, w=auto)",319,20,6.348120e-01,3.198827e-01,1.776225e+00
"MG 3D(v, nu=3, w=auto)",383,20,9.123970e-01,5.576300e-01,2.557442e+00
"MG 3D(w, nu=3, w=1.25)",15,3,1.012950e-01,1.118399e-04,2.556516e-04
"MG 3D(w, nu=3, w=1.25)",31,3,1.130960e-01,2.958052e-05,6.825455e-05
"MG 3D(w, nu=3, w=1.25)",47,3,1.219490e-01,1.519083e-05,3.496477e-05
"MG 3D(w, nu=3, w=1.25)",63,3,1.390900e-01,1.519741e-05,4.161344e-05
"MG 3D(w, nu=3, w=1.25)",95,20,2.301810e-01,2.049865e-05,5.113537e-05
"MG 3D(w, nu=3, w=1.25)",127,20,2.765020e-01,4.100758e-05,1.203206e-04
"MG 3D(w, nu=3, w=1.25)",191,20,4.388820e-01,8.561177e-05,2.322405e-04
"MG 3D(w, nu=3, w=1.25)",255,20,5.826510e-01,1.717625e-04,4.867940e-04
"MG 3D(w, nu=3, w=1.25)",319,20,7.958600e-01,2.511023e-04,7.073675e-04
"MG 3D(w, nu=3, w=1.25)",383,20,1.473830e+00,3.663147e-04,1.000347e-03
"MG 3D(w, nu=3, w=auto)",15,5,1.540580e-01,1.973236e-04,6.256772e-04
"MG 3D(w, nu=3, w=auto)",31,11,1.394870e-01,3.720126e-05,1.035665e-04
"MG 3D(w, nu=3, w=auto)",47,20,1.708420e-01,2.401965e-05,6.953016e-05
"MG 3D(w, nu=3, w=auto)",63,20,1.880070e-01,2.055453e-05,1.384301e-04
"MG 3D(w, nu=3, w=auto)",95,20,2.098510e-01,3.715539e-04,5.003756e-03
"MG 3D(w, nu=3, w=auto)",127,20,2.275230e-01,2.058841e-03,3.444018e-02
"MG 3D(w, nu=3, w=auto)",191,20,4.199190e-01,1.174668e-02,2.490845e-01
"MG 3D(w, nu=3, w=auto)",255,20,5.594640e-01,2.697593e-02,6.716270e-01
"MG 3D(w, nu=3, w=auto)",319,20,8.418160e-01,4.409175e-02,1.217761e+00
"MG 3D(w, nu=3, w=auto)",383,20,1.375871e+00,6.039449e-02,1.807818e+00
