Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,50,1.105140e-01,1.412553e-02,3.995323e-02
RB SOR 3D,31,50,1.023670e-01,3.494585e-03,9.879231e-03
RB SOR 3D,47,100,1.007120e-01,1.539740e-03,4.355669e-03
RB SOR 3D,63,100,9.827300e-02,8.855025e-04,2.504283e-03
RB SOR 3D,79,150,1.094600e-01,5.575866e-04,1.577139e-03
RB SOR 3D,95,150,1.602790e-01,4.055519e-04,1.146692e-03
RB SOR 3D,111,200,1.196580e-01,2.834104e-04,8.018017e-04
RB SOR 3D,127,200,1.198530e-01,2.389396e-04,6.769290e-04
RB SOR 3D,143,250,1.321670e-01,1.686652e-04,4.774332e-04
RB SOR 3D,159,300,1.586370e-01,1.462650e-04,4.138928e-04
"MG 3D(v, nu=3, w=1.25)",15,2,9.780200e-02,1.412444e-02,3.995037e-02
"MG 3D(v, nu=3, w=1.25)",31,2,1.012070e-01,3.413561e-03,9.668827e-03
"MG 3D(v, nu=3, w=1.25)",47,2,9.662700e-02,1.428360e-03,4.051208e-03
"MG 3D(v, nu=3, w=1.25)",63,2,1.197930e-01,7.325891e-04,2.079368e-03
"MG 3D(v, nu=3, w=1.25)",95,2,1.509250e-01,2.332413e-04,6.632805e-04
"MG 3D(v, nu=3, w=1.25)",127,2,1.119540e-01,5.957675e-05,1.709396e-04
"MG 3D(v, nu=3, w=1.25)",191,2,1.691370e-01,6.617212e-05,1.887302e-04
"MG 3D(v, nu=3, w=1.25)",255,3,2.846180e-01,5.044786e-05,1.420975e-04
"MG 3D(v, nu=3, w=1.25)",319,3,3.793650e-01,2.707255e-05,7.772446e-05
"MG 3D(v, nu=3, w=1.25)",383,3,5.365600e-01,1.141503e-05,3.459229e-05
"MG 3D(v, nu=3, w=auto)",15,3,1.019450e-01,1.419474e-02,4.019368e-02
"MG 3D(v, nu=3, w=auto)",31,7,1.020730e-01,3.505849e-03,9.898305e-03
"MG 3D(v, nu=3, w=auto)",47,10,1.416650e-01,1.356506e-03,3.840804e-03
"MG 3D(v, nu=3, w=auto)",63,14,1.074480e-01,6.651865e-04,1.878135e-03
"MG 3D(v, nu=3, w=auto)",95,20,1.190690e-01,2.048847e-04,5.873442e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.341170e-01,9.201090e-04,2.748318e-03
"MG 3D(v, nu=3, w=auto)",191,20,1.953990e-01,4.908292e-03,1.454971e-02
"MG 3D(v, nu=3, w=auto)",255,20,3.700490e-01,1.197232e-02,3.567118e-02
"MG 3D(v, nu=3, w=auto)",319,20,5.867640e-01,2.379503e-02,6.898462e-02
"MG 3D(v, nu=3, w=auto)",383,20,9.643410e-01,2.725088e-02,7.933257e-02
"MG 3D(w, nu=3, w=1.25)",15,2,1.025470e-01,1.412443e-02,3.995037e-02
"MG 3D(w, nu=3, w=1.25)",31,2,1.114820e-01,3.405952e-03,9.648561e-03
"MG 3D(w, nu=3, w=1.25)",47,2,1.042910e-01,1.485189e-03,4.207492e-03
"MG 3D(w, nu=3, w=1.25)",63,2,1.039080e-01,8.373143e-04,2.370954e-03
"MG 3D(w, nu=3, w=1.25)",95,2,1.542250e-01,3.764636e-04,1.065493e-03
"MG 3D(w, nu=3, w=1.25)",127,2,1.375390e-01,2.133531e-04,6.039143e-04
"MG 3D(w, nu=3, w=1.25)",191,2,1.705340e-01,9.543009e-05,2.707243e-04
"MG 3D(w, nu=3, w=1.25)",255,2,2.494410e-01,5.468680e-05,1.550492e-04
"MG 3D(w, nu=3, w=1.25)",319,2,4.245120e-01,3.282052e-05,9.289721e-05
"MG 3D(w, nu=3, w=1.25)",383,2,5.787120e-01,1.921003e-05,5.689098e-05
"MG 3D(w, nu=3, w=auto)",15,3,9.929900e-02,1.419378e-02,4.018390e-02
"MG 3D(w, nu=3, w=auto)",31,7,1.312450e-01,3.507453e-03,9.908676e-03
"MG 3D(w, nu=3, w=auto)",47,10,1.424000e-01,1.454656e-03,4.098892e-03
"MG 3D(w, nu=3, w=auto)",63,12,1.364400e-01,8.618336e-04,2.445035e-03
"MG 3D(w, nu=3, w=auto)",95,17,2.081900e-01,3.864533e-04,1.096964e-03
"MG 3D(w, nu=3, w=auto)",127,20,2.289730e-01,2.175716e-04,6.389553e-04
"MG 3D(w, nu=3, w=auto)",191,20,3.958390e-01,1.019742e-04,4.011576e-04
"MG 3D(w, nu=3, w=auto)",255,20,5.817840e-01,6.692438e-05,2.778052e-04
"MG 3D(w, nu=3, w=auto)",319,20,8.145900e-01,4.850120e-05,2.027038e-04
"MG 3D(w, nu=3, w=auto)",383,20,1.396859e+00,1.397515e-04,6.574721e-04
