Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,50,1.195200e-01,1.138514e-03,3.220201e-03
RB SOR 3D,31,100,1.049380e-01,2.861070e-04,8.091927e-04
RB SOR 3D,47,100,1.040720e-01,1.205860e-04,3.421307e-04
RB SOR 3D,63,150,9.993100e-02,7.732703e-05,2.177954e-04
RB SOR 3D,79,200,1.475280e-01,5.690472e-05,1.593009e-04
RB SOR 3D,95,250,1.243130e-01,4.898691e-05,1.361851e-04
RB SOR 3D,111,300,1.442940e-01,4.699189e-05,1.293321e-04
RB SOR 3D,127,1000,1.939270e-01,4.993134e-05,1.363257e-04
RB SOR 3D,143,1000,1.686630e-01,5.495376e-05,1.504733e-04
RB SOR 3D,159,1000,2.081940e-01,6.229178e-05,1.681633e-04
"MG 3D(v, nu=3, w=1.25)",15,2,1.338080e-01,9.827165e-04,2.792120e-03
"MG 3D(v, nu=3, w=1.25)",31,3,1.048300e-01,2.793080e-04,7.898808e-04
"MG 3D(v, nu=3, w=1.25)",47,3,1.064400e-01,1.212779e-04,3.433228e-04
"MG 3D(v, nu=3, w=1.25)",63,3,1.232430e-01,6.550236e-05,1.862049e-04
"MG 3D(v, nu=3, w=1.25)",95,3,1.107770e-01,2.603427e-05,7.234848e-05
"MG 3D(v, nu=3, w=1.25)",127,3,1.352010e-01,4.432770e-06,1.325525e-05
"MG 3D(v, nu=3, w=1.25)",191,3,1.581980e-01,1.302407e-05,2.888925e-05
"MG 3D(v, nu=3, w=1.25)",255,20,3.637630e-01,3.049449e-05,1.037419e-04
"MG 3D(v, nu=3, w=1.25)",319,20,6.128100e-01,4.361353e-05,1.495977e-04
"MG 3D(v, nu=3, w=1.25)",383,20,9.030880e-01,6.088690e-05,2.098088e-04
"MG 3D(v, nu=3, w=auto)",15,5,1.396140e-01,1.163902e-03,3.294826e-03
"MG 3D(v, nu=3, w=auto)",31,8,1.055430e-01,1.895784e-04,5.331327e-04
"MG 3D(v, nu=3, w=auto)",47,12,1.076150e-01,1.585029e-05,5.006419e-05
"MG 3D(v, nu=3, w=auto)",63,15,1.166960e-01,1.381362e-04,3.930266e-04
"MG 3D(v, nu=3, w=auto)",95,20,1.264630e-01,2.583042e-04,7.351454e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.515010e-01,4.487900e-04,1.284034e-03
"MG 3D(v, nu=3, w=auto)",191,20,2.130640e-01,7.381592e-03,2.096317e-02
"MG 3D(v, nu=3, w=auto)",255,20,3.877680e-01,5.456462e-03,1.546341e-02
"MG 3D(v, nu=3, w=auto)",319,20,5.637810e-01,1.572435e-02,4.453498e-02
"MG 3D(v, nu=3, w=auto)",383,20,9.822360e-01,3.751978e-02,1.061063e-01
"MG 3D(w, nu=3, w=1.25)",15,2,1.124320e-01,1.072271e-03,3.039598e-03
"MG 3D(w, nu=3, w=1.25)",31,2,9.581100e-02,2.753984e-04,7.795095e-04
"MG 3D(w, nu=3, w=1.25)",47,2,1.001050e-01,1.243864e-04,3.521442e-04
"MG 3D(w, nu=3, w=1.25)",63,2,1.120780e-01,7.046052e-05,1.995564e-04
"MG 3D(w, nu=3, w=1.25)",95,2,1.301340e-01,3.329173e-05,9.346008e-05
"MG 3D(w, nu=3, w=1.25)",127,2,1.313940e-01,1.087780e-05,3.251991e-05
"MG 3D(w, nu=3, w=1.25)",191,2,1.804210e-01,8.542167e-06,2.979077e-05
"MG 3D(w, nu=3, w=1.25)",255,20,5.724350e-01,3.037488e-05,1.025786e-04
"MG 3D(w, nu=3, w=1.25)",319,20,8.381170e-01,4.374568e-05,1.504918e-04
"MG 3D(w, nu=3, w=1.25)",383,20,1.406757e+00,6.110438e-05,2.115782e-04
"MG 3D(w, nu=3, w=auto)",15,4,1.032280e-01,1.084431e-03,3.055930e-03
"MG 3D(w, nu=3, w=auto)",31,6,1.221930e-01,2.848243e-04,8.195639e-04
"MG 3D(w, nu=3, w=auto)",47,9,1.217380e-01,1.264597e-04,3.612041e-04
"MG 3D(w, nu=3, w=auto)",63,13,1.706070e-01,7.192964e-05,2.034569e-04
"MG 3D(w, nu=3, w=auto)",95,20,2.396890e-01,3.341586e-05,9.489059e-05
"MG 3D(w, nu=3, w=auto)",127,20,2.578540e-01,2.022062e-05,5.945570e-05
"MG 3D(w, nu=3, w=auto)",191,20,4.020320e-01,1.204722e-05,3.846935e-05
"MG 3D(w, nu=3, w=auto)",255,20,5.974320e-01,1.085938e-05,4.368071e-05
"MG 3D(w, nu=3, w=auto)",319,20,8.122350e-01,1.755676e-05,7.400665e-05
"MG 3D(w, nu=3, w=auto)",383,20,1.372165e+00,1.727234e-05,9.373500e-05
