Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,350,1.025140e-01,1.826783e-04,4.986566e-04
Jacobi 3D,23,700,9.912800e-02,8.214404e-05,2.213522e-04
Jacobi 3D,31,1250,1.038940e-01,4.638968e-05,1.265027e-04
Jacobi 3D,39,1950,1.128750e-01,2.974325e-05,8.097870e-05
Jacobi 3D,47,2800,1.157550e-01,2.067525e-05,5.638023e-05
Jacobi 3D,55,3850,1.294640e-01,1.519890e-05,4.146725e-05
Jacobi 3D,63,5000,1.500190e-01,1.164108e-05,3.174500e-05
RB GS 3D,15,200,9.715100e-02,1.826783e-04,4.986566e-04
RB GS 3D,23,400,1.077270e-01,8.214405e-05,2.213522e-04
RB GS 3D,31,650,1.166140e-01,4.638968e-05,1.265027e-04
RB GS 3D,39,1000,1.248540e-01,2.974326e-05,8.097871e-05
RB GS 3D,47,1450,1.232070e-01,2.067525e-05,5.638024e-05
RB GS 3D,55,1950,1.356510e-01,1.519890e-05,4.146725e-05
RB GS 3D,63,2550,1.638120e-01,1.164109e-05,3.174501e-05
RB SOR 3D,15,100,9.732500e-02,1.826783e-04,4.986566e-04
RB SOR 3D,23,150,8.944300e-02,8.214405e-05,2.213522e-04
RB SOR 3D,31,150,9.708800e-02,4.638968e-05,1.265027e-04
RB SOR 3D,47,250,1.086350e-01,2.067525e-05,5.638025e-05
RB SOR 3D,63,300,9.954800e-02,1.164109e-05,3.174501e-05
RB SOR 3D,79,400,1.193520e-01,7.453623e-06,2.032606e-05
RB SOR 3D,95,450,1.173330e-01,5.177380e-06,1.411881e-05
RB SOR 3D,111,550,1.520840e-01,3.804344e-06,1.038034e-05
RB SOR 3D,127,600,1.593920e-01,2.912976e-06,7.951028e-06
RB SOR 3D,143,700,2.154960e-01,2.301760e-06,6.283903e-06
RB SOR 3D,159,750,2.788110e-01,1.864512e-06,5.090706e-06
MG V-cycle 3D,15,11,9.090400e-02,1.826783e-04,4.986566e-04
MG V-cycle 3D,31,12,1.050820e-01,4.638968e-05,1.265027e-04
MG V-cycle 3D,47,12,1.137690e-01,2.067525e-05,5.638025e-05
MG V-cycle 3D,63,12,1.179420e-01,1.164109e-05,3.174501e-05
MG V-cycle 3D,95,12,1.014550e-01,5.177378e-06,1.411881e-05
MG V-cycle 3D,127,12,1.257290e-01,2.912975e-06,7.951023e-06
MG V-cycle 3D,191,12,2.052980e-01,1.294876e-06,3.535638e-06
MG V-cycle 3D,255,12,3.331880e-01,7.284110e-07,1.988773e-06
MG W-cycle 3D,15,10,9.580100e-02,1.826783e-04,4.986566e-04
MG W-cycle 3D,31,10,1.162210e-01,4.638968e-05,1.265027e-04
MG W-cycle 3D,47,10,1.186300e-01,2.067525e-05,5.638025e-05
MG W-cycle 3D,63,10,1.299240e-01,1.164109e-05,3.174502e-05
MG W-cycle 3D,95,10,1.415820e-01,5.177380e-06,1.411881e-05
MG W-cycle 3D,127,10,1.623920e-01,2.912976e-06,7.951028e-06
MG W-cycle 3D,191,10,2.826230e-01,1.294878e-06,3.535643e-06
MG W-cycle 3D,255,11,4.161070e-01,7.284125e-07,1.988778e-06
