Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1200,1.101190e-01,1.138076e-03,3.218964e-03
Jacobi 3D,23,2700,1.326790e-01,5.052696e-04,1.429118e-03
Jacobi 3D,31,4800,1.393310e-01,2.841076e-04,8.035776e-04
Jacobi 3D,39,7500,1.394730e-01,1.817973e-04,5.142004e-04
Jacobi 3D,47,10750,2.133510e-01,1.262362e-04,3.570499e-04
Jacobi 3D,55,14650,2.916420e-01,9.273969e-05,2.623075e-04
Jacobi 3D,63,19150,2.882520e-01,7.100120e-05,2.008217e-04
RB GS 3D,15,650,1.138700e-01,1.138076e-03,3.218964e-03
RB GS 3D,23,1400,1.155140e-01,5.052696e-04,1.429118e-03
RB GS 3D,31,2450,1.231600e-01,2.841076e-04,8.035776e-04
RB GS 3D,39,3800,1.593610e-01,1.817973e-04,5.142004e-04
RB GS 3D,47,5500,1.988410e-01,1.262362e-04,3.570500e-04
RB GS 3D,55,7450,2.291410e-01,9.273970e-05,2.623075e-04
RB GS 3D,63,9700,2.777350e-01,7.100121e-05,2.008217e-04
RB SOR 3D,15,100,1.188620e-01,1.138076e-03,3.218964e-03
RB SOR 3D,23,150,1.258350e-01,5.052696e-04,1.429118e-03
RB SOR 3D,31,150,1.083340e-01,2.841076e-04,8.035777e-04
RB SOR 3D,47,250,9.730200e-02,1.262362e-04,3.570500e-04
RB SOR 3D,63,350,1.093740e-01,7.100123e-05,2.008218e-04
RB SOR 3D,79,400,1.153210e-01,4.543882e-05,1.285204e-04
RB SOR 3D,95,500,1.296860e-01,3.155399e-05,8.924816e-05
RB SOR 3D,111,550,1.458490e-01,2.318219e-05,6.556915e-05
RB SOR 3D,127,650,1.635540e-01,1.774870e-05,5.020092e-05
RB SOR 3D,143,750,2.189030e-01,1.402358e-05,3.966467e-05
RB SOR 3D,159,800,2.377430e-01,1.135905e-05,3.212824e-05
MG V-cycle 3D,15,11,9.671400e-02,1.138076e-03,3.218964e-03
MG V-cycle 3D,31,11,1.014990e-01,2.841076e-04,8.035777e-04
MG V-cycle 3D,47,11,1.204830e-01,1.262362e-04,3.570499e-04
MG V-cycle 3D,63,11,1.004720e-01,7.100123e-05,2.008218e-04
MG V-cycle 3D,95,11,1.184500e-01,3.155397e-05,8.924809e-05
MG V-cycle 3D,127,11,1.261240e-01,1.774870e-05,5.020090e-05
MG V-cycle 3D,191,11,2.071850e-01,7.888156e-06,2.231108e-05
MG V-cycle 3D,255,11,3.342230e-01,4.437070e-06,1.254993e-05
MG W-cycle 3D,15,8,1.031000e-01,1.138076e-03,3.218964e-03
MG W-cycle 3D,31,6,1.116940e-01,2.841076e-04,8.035777e-04
MG W-cycle 3D,47,5,1.037710e-01,1.262362e-04,3.570500e-04
MG W-cycle 3D,63,5,1.041610e-01,7.100123e-05,2.008218e-04
MG W-cycle 3D,95,5,1.147690e-01,3.155399e-05,8.924816e-05
MG W-cycle 3D,127,5,1.328450e-01,1.774870e-05,5.020092e-05
MG W-cycle 3D,191,4,1.847930e-01,7.888181e-06,2.231114e-05
MG W-cycle 3D,255,4,2.981600e-01,4.437076e-06,1.254995e-05
