Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,150,1.802370e-01,1.814164e-04,4.958007e-04
Jacobi 3D,23,250,1.147840e-01,4.988302e-05,1.545283e-04
Jacobi 3D,31,450,9.386900e-02,1.917143e-05,7.185296e-05
Jacobi 3D,39,650,9.910100e-02,4.176947e-05,1.301818e-04
Jacobi 3D,47,950,1.119250e-01,4.219574e-05,1.280635e-04
Jacobi 3D,55,1250,9.610800e-02,6.629461e-05,1.935503e-04
Jacobi 3D,63,1650,1.059900e-01,6.299063e-05,1.830352e-04
RB GS 3D,15,100,1.135200e-01,1.827395e-04,4.988406e-04
RB GS 3D,23,150,9.316200e-02,7.623648e-05,2.101394e-04
RB GS 3D,31,250,9.624600e-02,3.474440e-05,1.016054e-04
RB GS 3D,39,350,1.021510e-01,1.416084e-05,4.598767e-05
RB GS 3D,47,500,1.171680e-01,2.162907e-05,6.979991e-05
RB GS 3D,55,650,1.260120e-01,4.464008e-05,1.334034e-04
RB GS 3D,63,850,9.405500e-02,4.710524e-05,1.387995e-04
RB SOR 3D,15,50,8.637000e-02,1.827763e-04,4.990194e-04
RB SOR 3D,23,50,9.840800e-02,8.290256e-05,2.232524e-04
RB SOR 3D,31,100,9.896200e-02,4.676772e-05,1.276228e-04
RB SOR 3D,47,100,1.019420e-01,2.202799e-05,6.086562e-05
RB SOR 3D,63,150,9.954400e-02,1.297972e-05,3.577207e-05
RB SOR 3D,79,200,1.024560e-01,9.619258e-06,2.684846e-05
RB SOR 3D,95,200,1.068460e-01,8.876002e-06,2.603659e-05
RB SOR 3D,111,250,1.169050e-01,8.020822e-06,2.248894e-05
RB SOR 3D,127,1000,1.510590e-01,8.461744e-06,2.414359e-05
RB SOR 3D,143,1000,1.664250e-01,9.348798e-06,2.688483e-05
RB SOR 3D,159,1000,1.891150e-01,1.053811e-05,2.994740e-05
MG V-cycle 3D,15,4,1.000000e-01,1.675209e-04,4.519317e-04
MG V-cycle 3D,31,4,9.560000e-02,1.109508e-05,2.478948e-05
MG V-cycle 3D,47,5,1.107630e-01,1.573508e-05,4.244779e-05
MG V-cycle 3D,63,5,1.045280e-01,6.987403e-06,1.777147e-05
MG V-cycle 3D,95,5,1.087590e-01,9.536561e-07,8.649215e-06
MG V-cycle 3D,127,5,1.072280e-01,1.643014e-06,1.193386e-05
MG V-cycle 3D,191,5,1.424550e-01,1.840961e-06,1.323335e-05
MG V-cycle 3D,255,6,2.460530e-01,5.068421e-06,1.600127e-05
MG W-cycle 3D,15,4,1.055230e-01,1.748666e-04,4.708264e-04
MG W-cycle 3D,31,4,9.858100e-02,4.544610e-05,1.288745e-04
MG W-cycle 3D,47,4,9.871400e-02,2.076557e-05,5.618062e-05
MG W-cycle 3D,63,4,1.080500e-01,1.202737e-05,3.279184e-05
MG W-cycle 3D,95,4,1.258140e-01,6.022235e-06,2.113088e-05
MG W-cycle 3D,127,5,1.502800e-01,4.169500e-06,1.160240e-05
MG W-cycle 3D,191,5,1.976740e-01,4.138728e-06,1.254575e-05
MG W-cycle 3D,255,5,3.021950e-01,5.740330e-06,1.835960e-05
