Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,500,1.080810e-01,9.789870e-05,3.335218e-04
Jacobi 3D,23,1050,1.047550e-01,3.600844e-04,1.054381e-03
Jacobi 3D,31,1850,1.357600e-01,4.165816e-04,1.203631e-03
Jacobi 3D,39,2850,1.153490e-01,4.806014e-04,1.388167e-03
Jacobi 3D,47,4100,1.288640e-01,4.721597e-04,1.370047e-03
Jacobi 3D,55,5600,1.444660e-01,4.513124e-04,1.316111e-03
Jacobi 3D,63,7350,1.717540e-01,4.216476e-04,1.233195e-03
RB GS 3D,15,250,1.240100e-01,9.985286e-05,3.447275e-04
RB GS 3D,23,550,1.063040e-01,2.141986e-04,6.417048e-04
RB GS 3D,31,950,1.103910e-01,3.181197e-04,9.241287e-04
RB GS 3D,39,1500,1.146140e-01,2.853381e-04,8.356158e-04
RB GS 3D,47,2150,1.479930e-01,2.864180e-04,8.472014e-04
RB GS 3D,55,2900,1.550960e-01,3.117010e-04,9.227204e-04
RB GS 3D,63,3850,1.787970e-01,2.512383e-04,7.517714e-04
RB SOR 3D,15,50,1.072220e-01,1.257128e-04,2.949358e-04
RB SOR 3D,23,100,1.266270e-01,6.529769e-05,1.552052e-04
RB SOR 3D,31,100,1.160250e-01,4.760496e-05,1.078570e-04
RB SOR 3D,47,1000,1.006630e-01,6.594748e-05,1.623567e-04
RB SOR 3D,63,1000,1.350560e-01,7.904021e-05,1.847073e-04
RB SOR 3D,79,1000,1.246200e-01,1.309527e-04,3.211698e-04
RB SOR 3D,95,1000,1.314710e-01,1.918000e-04,4.626512e-04
RB SOR 3D,111,1000,1.526040e-01,2.652528e-04,6.482721e-04
RB SOR 3D,127,1000,1.404120e-01,3.438417e-04,8.019762e-04
RB SOR 3D,143,1000,1.583910e-01,4.469703e-04,1.058950e-03
RB SOR 3D,159,1000,2.070000e-01,5.634418e-04,1.328145e-03
MG V-cycle 3D,15,5,1.263810e-01,8.815238e-05,1.976437e-04
MG V-cycle 3D,31,5,9.046500e-02,2.111219e-05,1.312928e-04
MG V-cycle 3D,47,5,9.589600e-02,6.392293e-05,1.930903e-04
MG V-cycle 3D,63,6,9.047500e-02,2.091389e-05,5.330428e-05
MG V-cycle 3D,95,80,1.615740e-01,3.680676e-05,9.815973e-05
MG V-cycle 3D,127,80,1.758270e-01,6.775045e-05,1.739533e-04
MG V-cycle 3D,191,80,3.022580e-01,1.427053e-04,3.704070e-04
MG V-cycle 3D,255,80,6.414490e-01,2.458502e-04,6.517051e-04
MG W-cycle 3D,15,4,9.943800e-02,1.140215e-04,3.247929e-04
MG W-cycle 3D,31,5,9.909100e-02,3.609256e-05,8.548246e-05
MG W-cycle 3D,47,5,9.071200e-02,2.533764e-05,6.383808e-05
MG W-cycle 3D,63,5,1.360160e-01,2.772433e-05,6.939180e-05
MG W-cycle 3D,95,80,4.457870e-01,3.696728e-05,9.834224e-05
MG W-cycle 3D,127,80,4.562680e-01,6.854674e-05,1.721410e-04
MG W-cycle 3D,191,80,9.279040e-01,1.479943e-04,3.857751e-04
MG W-cycle 3D,255,80,1.279979e+00,2.528648e-04,6.755859e-04
