Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,400,1.095700e-01,9.874266e-04,2.792835e-03
Jacobi 3D,23,850,1.115840e-01,2.678608e-04,7.574558e-04
Jacobi 3D,31,1450,1.141660e-01,3.680956e-05,1.045465e-04
Jacobi 3D,39,2250,1.136980e-01,1.551871e-04,4.396439e-04
Jacobi 3D,47,3250,1.214970e-01,2.028923e-04,5.745888e-04
Jacobi 3D,55,4400,1.274600e-01,2.477907e-04,7.027388e-04
Jacobi 3D,63,5750,1.453980e-01,2.661720e-04,7.545948e-04
RB GS 3D,15,200,1.110480e-01,9.859485e-04,2.792835e-03
RB GS 3D,23,450,1.255960e-01,3.504546e-04,9.930134e-04
RB GS 3D,31,800,1.107740e-01,1.292158e-04,3.659725e-04
RB GS 3D,39,1200,1.130560e-01,2.941106e-05,8.454574e-05
RB GS 3D,47,1700,1.128930e-01,1.114042e-04,3.158863e-04
RB GS 3D,55,2350,1.237580e-01,1.174247e-04,3.340444e-04
RB GS 3D,63,3050,1.533710e-01,1.473000e-04,4.183715e-04
RB SOR 3D,15,50,1.063200e-01,1.138514e-03,3.220201e-03
RB SOR 3D,23,50,9.027800e-02,4.962815e-04,1.405001e-03
RB SOR 3D,31,100,9.244700e-02,2.861070e-04,8.091927e-04
RB SOR 3D,47,100,1.055060e-01,1.205860e-04,3.421307e-04
RB SOR 3D,63,150,9.997800e-02,7.732703e-05,2.177954e-04
RB SOR 3D,79,200,1.050160e-01,5.690472e-05,1.593009e-04
RB SOR 3D,95,250,1.177700e-01,4.898691e-05,1.361851e-04
RB SOR 3D,111,300,1.178750e-01,4.699189e-05,1.293321e-04
RB SOR 3D,127,1000,1.934090e-01,4.993134e-05,1.363257e-04
RB SOR 3D,143,1000,1.879210e-01,5.495376e-05,1.504733e-04
RB SOR 3D,159,1000,2.366320e-01,6.229178e-05,1.681633e-04
MG V-cycle 3D,15,4,1.560010e-01,1.106265e-03,3.130436e-03
MG V-cycle 3D,31,4,1.021920e-01,2.451051e-04,6.940365e-04
MG V-cycle 3D,47,4,1.145680e-01,5.760755e-05,1.631975e-04
MG V-cycle 3D,63,4,1.284700e-01,3.179026e-05,9.107590e-05
MG V-cycle 3D,95,4,1.019440e-01,3.414952e-05,9.526422e-05
MG V-cycle 3D,127,4,1.193510e-01,1.508401e-05,4.031340e-05
MG V-cycle 3D,191,4,1.547160e-01,4.206448e-05,1.127903e-04
MG V-cycle 3D,255,4,2.690160e-01,2.243647e-06,6.176001e-06
MG W-cycle 3D,15,3,9.951500e-02,1.119676e-03,3.168106e-03
MG W-cycle 3D,31,2,9.975000e-02,2.449190e-04,6.940365e-04
MG W-cycle 3D,47,2,1.068230e-01,1.201143e-04,3.399849e-04
MG W-cycle 3D,63,2,9.782400e-02,7.108206e-05,2.015829e-04
MG W-cycle 3D,95,2,1.202830e-01,3.679370e-05,1.055002e-04
MG W-cycle 3D,127,2,1.255340e-01,2.744428e-05,7.951260e-05
MG W-cycle 3D,191,2,1.595720e-01,2.978777e-05,8.933381e-05
MG W-cycle 3D,255,2,2.391190e-01,4.327066e-05,1.310972e-04
