Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,20,1.700000e-05,1.199954e-02,2.396405e-02
RB SOR,31,41,1.400000e-04,2.844983e-03,5.692720e-03
RB SOR,63,82,1.097000e-03,5.881524e-04,1.176834e-03
RB SOR,127,164,8.675000e-03,2.600037e-05,5.352497e-05
RB SOR,255,381,8.090900e-02,8.894504e-05,1.809037e-04
RB SOR,511,50000,4.236559e+01,1.223960e-05,2.699439e-05
"MG(v, nu=3, w=1.25)",15,2,1.400000e-05,1.214276e-02,2.432215e-02
"MG(v, nu=3, w=1.25)",31,3,7.400000e-05,3.005824e-03,6.014228e-03
"MG(v, nu=3, w=1.25)",63,3,2.600000e-04,7.480001e-04,1.500964e-03
"MG(v, nu=3, w=1.25)",127,3,1.042000e-03,1.852125e-04,3.759861e-04
"MG(v, nu=3, w=1.25)",255,4,5.281000e-03,4.687442e-05,9.510894e-05
"MG(v, nu=3, w=1.25)",511,4,2.147600e-02,1.280148e-05,2.868733e-05
"MG(v, nu=3, w=auto)",15,4,3.400000e-05,1.216269e-02,2.428913e-02
"MG(v, nu=3, w=auto)",31,8,1.670000e-04,2.937282e-03,5.865932e-03
"MG(v, nu=3, w=auto)",63,18,1.347000e-03,7.072869e-04,1.429253e-03
"MG(v, nu=3, w=auto)",127,37,1.109800e-02,2.141568e-04,4.324913e-04
"MG(v, nu=3, w=auto)",255,80,9.716500e-02,4.051800e-05,8.737669e-05
"MG(v, nu=3, w=auto)",511,100,4.854930e-01,2.290031e-04,7.556639e-04
"MG(w, nu=3, w=1.25)",15,2,1.700000e-05,1.214283e-02,2.432454e-02
"MG(w, nu=3, w=1.25)",31,2,6.100000e-05,2.952095e-03,5.981922e-03
"MG(w, nu=3, w=1.25)",63,3,3.330000e-04,7.495627e-04,1.500130e-03
"MG(w, nu=3, w=1.25)",127,3,1.434000e-03,1.875337e-04,3.774166e-04
"MG(w, nu=3, w=1.25)",255,3,5.743000e-03,4.713592e-05,9.601661e-05
"MG(w, nu=3, w=1.25)",511,3,2.317200e-02,1.192933e-05,2.644457e-05
"MG(w, nu=3, w=auto)",15,4,3.400000e-05,1.216221e-02,2.428806e-02
"MG(w, nu=3, w=auto)",31,8,2.040000e-04,2.928489e-03,5.858541e-03
"MG(w, nu=3, w=auto)",63,14,1.503000e-03,7.497273e-04,1.501203e-03
"MG(w, nu=3, w=auto)",127,31,1.382200e-02,1.875179e-04,3.754487e-04
"MG(w, nu=3, w=auto)",255,61,1.057720e-01,4.663907e-05,9.657599e-05
"MG(w, nu=3, w=auto)",511,100,6.955080e-01,1.083860e-05,2.617001e-05
