Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1187,9.090000e-04,1.609482e-03,3.218964e-03
Jacobi,23,2680,5.148000e-03,7.145591e-04,1.429118e-03
Jacobi,31,4771,1.610500e-02,4.017888e-04,8.035776e-04
Jacobi,47,10743,7.806900e-02,1.785250e-04,3.570499e-04
Jacobi,63,19105,2.446040e-01,1.004109e-04,2.008217e-04
Jacobi,95,42995,1.238509e+00,4.462403e-05,8.924806e-05
Jacobi,127,50000,2.630202e+00,2.495660e-05,4.991320e-05
RB GS,15,603,5.460000e-04,1.609482e-03,3.218964e-03
RB GS,23,1361,2.502000e-03,7.145591e-04,1.429118e-03
RB GS,31,2422,7.909000e-03,4.017888e-04,8.035776e-04
RB GS,47,5453,4.334300e-02,1.785250e-04,3.570499e-04
RB GS,63,9697,1.350040e-01,1.004109e-04,2.008217e-04
RB GS,95,21821,6.700840e-01,4.462405e-05,8.924809e-05
RB GS,127,38796,2.108229e+00,2.510042e-05,5.020085e-05
RB SOR,15,73,5.600000e-05,1.609482e-03,3.218964e-03
RB SOR,23,111,2.080000e-04,7.145592e-04,1.429118e-03
RB SOR,31,150,5.050000e-04,4.017888e-04,8.035777e-04
RB SOR,47,228,1.822000e-03,1.785250e-04,3.570500e-04
RB SOR,63,307,4.286000e-03,1.004109e-04,2.008218e-04
RB SOR,95,467,1.429400e-02,4.462408e-05,8.924816e-05
RB SOR,127,629,3.394300e-02,2.510046e-05,5.020091e-05
MG V-cycle,15,13,6.000000e-05,1.609482e-03,3.218964e-03
MG V-cycle,23,14,1.430000e-04,7.145592e-04,1.429118e-03
MG V-cycle,31,14,2.520000e-04,4.017888e-04,8.035777e-04
MG V-cycle,47,15,4.950000e-04,1.785250e-04,3.570500e-04
MG V-cycle,63,15,9.310000e-04,1.004109e-04,2.008218e-04
MG V-cycle,95,16,2.215000e-03,4.462408e-05,8.924816e-05
MG V-cycle,127,16,3.993000e-03,2.510046e-05,5.020092e-05
MG W-cycle,15,11,6.700000e-05,1.609482e-03,3.218964e-03
MG W-cycle,23,11,1.200000e-04,7.145592e-04,1.429118e-03
MG W-cycle,31,11,2.190000e-04,4.017888e-04,8.035777e-04
MG W-cycle,47,11,5.640000e-04,1.785250e-04,3.570500e-04
MG W-cycle,63,11,9.410000e-04,1.004109e-04,2.008218e-04
MG W-cycle,95,11,2.140000e-03,4.462408e-05,8.924816e-05
MG W-cycle,127,11,3.851000e-03,2.510046e-05,5.020092e-05
