Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,354,2.510000e-04,3.462838e-05,6.926060e-05
Jacobi,23,799,1.424000e-03,3.473707e-05,6.947666e-05
Jacobi,31,1421,4.684000e-03,3.494877e-05,6.989390e-05
Jacobi,47,3197,2.320100e-02,3.517094e-05,7.033348e-05
Jacobi,63,5687,7.236100e-02,3.510836e-05,7.021427e-05
Jacobi,95,12812,3.663760e-01,3.482422e-05,6.972253e-05
Jacobi,127,22903,1.169298e+00,3.305801e-05,6.617978e-05
RB GS,15,186,1.400000e-04,2.465999e-05,4.883856e-05
RB GS,23,420,7.930000e-04,2.452924e-05,4.885346e-05
RB GS,31,747,2.485000e-03,2.462923e-05,4.914403e-05
RB GS,47,1680,1.246200e-02,2.482572e-05,4.959065e-05
RB GS,63,2986,4.073000e-02,2.491501e-05,4.979968e-05
RB GS,95,6723,2.019800e-01,2.479505e-05,4.964032e-05
RB GS,127,11926,6.370800e-01,2.475848e-05,4.982203e-05
RB SOR,15,30,2.900000e-05,3.063836e-06,6.556511e-06
RB SOR,23,47,9.300000e-05,1.948510e-06,4.092438e-06
RB SOR,31,64,2.270000e-04,1.549556e-06,3.214926e-06
RB SOR,47,98,7.500000e-04,1.221355e-06,2.488080e-06
RB SOR,63,134,1.825000e-03,9.186710e-07,1.888722e-06
RB SOR,95,210,6.245000e-03,4.763009e-07,1.057063e-06
RB SOR,127,308,1.628500e-02,2.681761e-07,5.960464e-07
MG V-cycle,15,5,2.700000e-05,1.485604e-06,2.147630e-06
MG V-cycle,23,5,5.500000e-05,3.191732e-06,4.400511e-06
MG V-cycle,31,6,1.130000e-04,3.157248e-07,5.029142e-07
MG V-cycle,47,6,2.060000e-04,5.978415e-07,8.772139e-07
MG V-cycle,63,6,3.660000e-04,3.838784e-07,6.649643e-07
MG V-cycle,95,7,9.980000e-04,7.460763e-08,1.626998e-07
MG V-cycle,127,7,1.802000e-03,6.245633e-08,1.238659e-07
MG W-cycle,15,4,2.800000e-05,1.163064e-06,2.129003e-06
MG W-cycle,23,4,4.800000e-05,5.424008e-07,1.120393e-06
MG W-cycle,31,4,1.040000e-04,3.251524e-07,8.270144e-07
MG W-cycle,47,4,2.720000e-04,1.672836e-07,5.559076e-07
MG W-cycle,63,4,3.590000e-04,1.272854e-07,4.079193e-07
MG W-cycle,95,4,8.200000e-04,6.560931e-08,2.772524e-07
MG W-cycle,127,4,1.453000e-03,4.958558e-08,2.128072e-07
