Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,73,1.099000e-03,1.138076e-03,3.218964e-03
RB SOR 3D,31,150,1.860200e-02,2.841076e-04,8.035777e-04
RB SOR 3D,47,228,1.027550e-01,1.262362e-04,3.570500e-04
RB SOR 3D,63,307,3.267700e-01,7.100123e-05,2.008218e-04
RB SOR 3D,79,387,8.074080e-01,4.543882e-05,1.285204e-04
RB SOR 3D,95,467,1.710271e+00,3.155399e-05,8.924816e-05
RB SOR 3D,111,548,3.346147e+00,2.318219e-05,6.556915e-05
RB SOR 3D,127,629,5.747182e+00,1.774870e-05,5.020091e-05
RB SOR 3D,143,710,9.291898e+00,1.402358e-05,3.966467e-05
RB SOR 3D,159,792,1.445947e+01,1.135905e-05,3.212824e-05
"MG 3D(v, nu=3, w=1.25)",15,7,6.190000e-04,1.138076e-03,3.218964e-03
"MG 3D(v, nu=3, w=1.25)",31,7,6.323000e-03,2.841076e-04,8.035777e-04
"MG 3D(v, nu=3, w=1.25)",47,7,1.992900e-02,1.262362e-04,3.570500e-04
"MG 3D(v, nu=3, w=1.25)",63,7,4.894700e-02,7.100123e-05,2.008218e-04
"MG 3D(v, nu=3, w=1.25)",95,7,1.633480e-01,3.155399e-05,8.924816e-05
"MG 3D(v, nu=3, w=1.25)",127,7,4.159020e-01,1.774870e-05,5.020091e-05
"MG 3D(v, nu=3, w=1.25)",191,7,1.486886e+00,7.888179e-06,2.231114e-05
"MG 3D(v, nu=3, w=1.25)",255,7,3.390958e+00,4.437074e-06,1.254994e-05
"MG 3D(v, nu=3, w=auto)",15,13,1.163000e-03,1.138076e-03,3.218964e-03
"MG 3D(v, nu=3, w=auto)",31,20,1.541200e-02,2.841072e-04,8.035765e-04
"MG 3D(v, nu=3, w=auto)",47,20,5.562600e-02,1.257263e-04,3.555994e-04
"MG 3D(v, nu=3, w=auto)",63,20,1.313970e-01,6.715804e-05,1.899055e-04
"MG 3D(v, nu=3, w=auto)",95,20,4.592390e-01,2.587782e-04,7.365719e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.111850e+00,4.494532e-04,1.285157e-03
"MG 3D(v, nu=3, w=auto)",191,20,4.055938e+00,7.381181e-03,2.096288e-02
"MG 3D(v, nu=3, w=auto)",255,20,9.675293e+00,5.456043e-03,1.545992e-02
"MG 3D(w, nu=3, w=1.25)",15,6,6.300000e-04,1.138076e-03,3.218964e-03
"MG 3D(w, nu=3, w=1.25)",31,5,5.125000e-03,2.841076e-04,8.035777e-04
"MG 3D(w, nu=3, w=1.25)",47,5,1.627000e-02,1.262362e-04,3.570500e-04
"MG 3D(w, nu=3, w=1.25)",63,4,3.253900e-02,7.100123e-05,2.008218e-04
"MG 3D(w, nu=3, w=1.25)",95,4,1.088940e-01,3.155399e-05,8.924816e-05
"MG 3D(w, nu=3, w=1.25)",127,4,2.687250e-01,1.774870e-05,5.020092e-05
"MG 3D(w, nu=3, w=1.25)",191,4,9.695900e-01,7.888181e-06,2.231114e-05
"MG 3D(w, nu=3, w=1.25)",255,4,2.244033e+00,4.437076e-06,1.254995e-05
"MG 3D(w, nu=3, w=auto)",15,11,1.143000e-03,1.138076e-03,3.218964e-03
"MG 3D(w, nu=3, w=auto)",31,20,1.746000e-02,2.841076e-04,8.035777e-04
"MG 3D(w, nu=3, w=auto)",47,20,6.186800e-02,1.262363e-04,3.570510e-04
"MG 3D(w, nu=3, w=auto)",63,20,1.519720e-01,7.100214e-05,2.008431e-04
"MG 3D(w, nu=3, w=auto)",95,20,5.217480e-01,3.157127e-05,8.977631e-05
"MG 3D(w, nu=3, w=auto)",127,20,1.319274e+00,1.784010e-05,5.235014e-05
"MG 3D(w, nu=3, w=auto)",191,20,4.621407e+00,8.788724e-06,2.989690e-05
"MG 3D(w, nu=3, w=auto)",255,20,1.104464e+01,7.148725e-06,3.435142e-05
