Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,400,1.105640e-01,1.418515e-05,2.837181e-05
Jacobi,23,800,1.278630e-01,3.443997e-05,6.888434e-05
Jacobi,31,1450,1.093740e-01,3.038457e-05,6.076694e-05
Jacobi,47,3200,1.158190e-01,3.494562e-05,6.988645e-05
Jacobi,63,5700,1.389290e-01,3.456264e-05,6.912649e-05
Jacobi,95,12800,1.967600e-01,3.504942e-05,7.016957e-05
Jacobi,127,20000,2.617630e-01,7.997104e-05,1.599938e-04
RB GS,15,200,1.000890e-01,1.432483e-05,2.837181e-05
RB GS,23,450,1.141650e-01,1.464637e-05,2.917275e-05
RB GS,31,750,1.116010e-01,2.392640e-05,4.774332e-05
RB GS,47,1700,1.365350e-01,2.278559e-05,4.551932e-05
RB GS,63,3000,1.379020e-01,2.408817e-05,4.815310e-05
RB GS,95,6750,1.997590e-01,2.408898e-05,4.823216e-05
RB GS,127,11950,3.053250e-01,2.439740e-05,4.910678e-05
RB SOR,15,50,1.210170e-01,5.380904e-09,2.235174e-08
RB SOR,23,50,1.009050e-01,9.377454e-07,1.961572e-06
RB SOR,31,100,9.727200e-02,2.662383e-08,6.705523e-08
RB SOR,47,100,1.062820e-01,9.533612e-07,1.959089e-06
RB SOR,63,150,1.166540e-01,2.125021e-07,4.805624e-07
RB SOR,95,250,1.091640e-01,4.537318e-08,1.663963e-07
RB SOR,127,350,1.031970e-01,3.787569e-07,8.158386e-07
MG V-cycle,15,3,9.472700e-02,4.272856e-06,8.299947e-06
MG V-cycle,23,3,9.462600e-02,7.686783e-06,1.501292e-05
MG V-cycle,31,3,8.961600e-02,5.024184e-06,9.711832e-06
MG V-cycle,47,3,1.070960e-01,8.132572e-06,1.588050e-05
MG V-cycle,63,3,1.046440e-01,5.270197e-06,1.022220e-05
MG V-cycle,95,3,9.562200e-02,8.204689e-06,1.602330e-05
MG V-cycle,127,3,9.951800e-02,5.333317e-06,1.033396e-05
MG W-cycle,15,2,1.171550e-01,1.053884e-05,1.697242e-05
MG W-cycle,23,2,1.417800e-01,2.606383e-06,3.445894e-06
MG W-cycle,31,2,9.953700e-02,8.927701e-07,1.132488e-06
MG W-cycle,47,2,1.043120e-01,2.298287e-07,3.319418e-07
MG W-cycle,63,2,1.197890e-01,7.109979e-08,1.601875e-07
MG W-cycle,95,2,1.006470e-01,2.057516e-07,4.454251e-07
MG W-cycle,127,2,1.167800e-01,3.312649e-08,8.940697e-08
