Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,400,1.061480e-01,1.395307e-03,2.790689e-03
Jacobi,23,850,1.067470e-01,3.774166e-04,7.549524e-04
Jacobi,31,1450,1.033340e-01,5.494663e-05,1.099110e-04
Jacobi,47,3250,1.162710e-01,2.933391e-04,5.869269e-04
Jacobi,63,5750,1.613680e-01,3.886669e-04,7.771254e-04
Jacobi,95,12950,2.456600e-01,4.406939e-04,8.804202e-04
Jacobi,127,20000,2.449640e-01,1.184436e-03,2.369702e-03
RB GS,15,200,1.175620e-01,1.393204e-03,2.790689e-03
RB GS,23,450,9.765200e-02,4.942350e-04,9.905100e-04
RB GS,31,800,1.107920e-01,1.798555e-04,3.606081e-04
RB GS,47,1700,1.241850e-01,1.639399e-04,3.282245e-04
RB GS,63,3050,1.472870e-01,2.205850e-04,4.407232e-04
RB GS,95,6800,1.891450e-01,2.978644e-04,5.953472e-04
RB GS,127,12100,2.816730e-01,3.167757e-04,6.338368e-04
RB SOR,15,50,1.028440e-01,1.609068e-03,3.218174e-03
RB SOR,23,50,1.144340e-01,7.003964e-04,1.402617e-03
RB SOR,31,100,1.035850e-01,4.014856e-04,8.028746e-04
RB SOR,47,100,1.269800e-01,1.642088e-04,3.292561e-04
RB SOR,63,150,1.033790e-01,9.717323e-05,1.944566e-04
RB SOR,95,250,9.437000e-02,4.428322e-05,9.022079e-05
RB SOR,127,300,1.229070e-01,2.165527e-05,4.404136e-05
MG V-cycle,15,3,1.158470e-01,1.544993e-03,3.091335e-03
MG V-cycle,23,3,1.053140e-01,5.990019e-04,1.199007e-03
MG V-cycle,31,3,9.687100e-02,3.262149e-04,6.527901e-04
MG V-cycle,47,3,1.090410e-01,5.655156e-05,1.134872e-04
MG V-cycle,63,3,9.936000e-02,2.156375e-05,4.315376e-05
MG V-cycle,95,3,1.056170e-01,7.940151e-05,1.592796e-04
MG V-cycle,127,3,9.149300e-02,5.389027e-05,1.083026e-04
MG W-cycle,15,2,9.679100e-02,1.452225e-03,2.907515e-03
MG W-cycle,23,2,1.114310e-01,6.771056e-04,1.354575e-03
MG W-cycle,31,2,1.007760e-01,3.897269e-04,7.795095e-04
MG W-cycle,47,2,9.436000e-02,1.766450e-04,3.529787e-04
MG W-cycle,63,2,1.100090e-01,9.977832e-05,1.996756e-04
MG W-cycle,95,1,1.079030e-01,2.240351e-04,4.480045e-04
MG W-cycle,127,1,9.562200e-02,1.259724e-04,2.515922e-04
