Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,100,9.476400e-02,1.826783e-04,4.986566e-04
RB SOR 3D,31,150,1.115370e-01,4.638968e-05,1.265027e-04
RB SOR 3D,47,250,9.745100e-02,2.067525e-05,5.638025e-05
RB SOR 3D,63,300,1.026440e-01,1.164109e-05,3.174501e-05
RB SOR 3D,79,400,1.005610e-01,7.453623e-06,2.032606e-05
RB SOR 3D,95,450,1.061730e-01,5.177380e-06,1.411881e-05
RB SOR 3D,111,550,1.749730e-01,3.804344e-06,1.038034e-05
RB SOR 3D,127,600,1.664940e-01,2.912976e-06,7.951028e-06
RB SOR 3D,143,700,1.988170e-01,2.301760e-06,6.283903e-06
RB SOR 3D,159,750,2.364310e-01,1.864512e-06,5.090706e-06
"MG 3D(v, nu=3, w=1.25)",15,6,1.109230e-01,1.826783e-04,4.986566e-04
"MG 3D(v, nu=3, w=1.25)",31,7,1.043140e-01,4.638968e-05,1.265027e-04
"MG 3D(v, nu=3, w=1.25)",47,7,1.068060e-01,2.067525e-05,5.638025e-05
"MG 3D(v, nu=3, w=1.25)",63,7,1.157600e-01,1.164109e-05,3.174501e-05
"MG 3D(v, nu=3, w=1.25)",95,7,9.823900e-02,5.177379e-06,1.411881e-05
"MG 3D(v, nu=3, w=1.25)",127,7,1.156520e-01,2.912975e-06,7.951025e-06
"MG 3D(v, nu=3, w=1.25)",191,7,1.982060e-01,1.294877e-06,3.535641e-06
"MG 3D(v, nu=3, w=1.25)",255,7,3.102730e-01,7.284113e-07,1.988774e-06
"MG 3D(v, nu=3, w=1.25)",319,7,5.364820e-01,4.661957e-07,1.272874e-06
"MG 3D(v, nu=3, w=1.25)",383,7,8.878560e-01,3.237518e-07,8.840041e-07
"MG 3D(v, nu=3, w=auto)",15,11,1.091220e-01,1.826783e-04,4.986566e-04
"MG 3D(v, nu=3, w=auto)",31,20,1.097140e-01,4.638960e-05,1.265024e-04
"MG 3D(v, nu=3, w=auto)",47,20,1.042210e-01,2.043827e-05,5.571353e-05
"MG 3D(v, nu=3, w=auto)",63,20,1.037870e-01,7.428326e-06,2.099840e-05
"MG 3D(v, nu=3, w=auto)",95,20,1.179610e-01,2.050928e-04,6.996754e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.344880e-01,1.032997e-03,4.045719e-03
"MG 3D(v, nu=3, w=auto)",191,20,2.563230e-01,6.192014e-03,2.306176e-02
"MG 3D(v, nu=3, w=auto)",255,20,4.872600e-01,1.307982e-02,5.617680e-02
"MG 3D(v, nu=3, w=auto)",319,20,8.341720e-01,2.022749e-02,9.560308e-02
"MG 3D(v, nu=3, w=auto)",383,20,1.411915e+00,3.355190e-02,1.376594e-01
"MG 3D(w, nu=3, w=1.25)",15,6,9.997900e-02,1.826783e-04,4.986566e-04
"MG 3D(w, nu=3, w=1.25)",31,6,1.042260e-01,4.638968e-05,1.265027e-04
"MG 3D(w, nu=3, w=1.25)",47,6,1.228210e-01,2.067525e-05,5.638025e-05
"MG 3D(w, nu=3, w=1.25)",63,6,1.076740e-01,1.164109e-05,3.174501e-05
"MG 3D(w, nu=3, w=1.25)",95,6,1.353740e-01,5.177380e-06,1.411881e-05
"MG 3D(w, nu=3, w=1.25)",127,6,1.473990e-01,2.912976e-06,7.951028e-06
"MG 3D(w, nu=3, w=1.25)",191,6,2.447700e-01,1.294878e-06,3.535643e-06
"MG 3D(w, nu=3, w=1.25)",255,7,3.812460e-01,7.284125e-07,1.988778e-06
"MG 3D(w, nu=3, w=1.25)",319,7,6.052820e-01,4.661970e-07,1.272877e-06
"MG 3D(w, nu=3, w=1.25)",383,7,9.613050e-01,3.237528e-07,8.840071e-07
"MG 3D(w, nu=3, w=auto)",15,11,1.056870e-01,1.826783e-04,4.986566e-04
"MG 3D(w, nu=3, w=auto)",31,20,1.420640e-01,4.638967e-05,1.265026e-04
"MG 3D(w, nu=3, w=auto)",47,20,1.535430e-01,2.067066e-05,5.638767e-05
"MG 3D(w, nu=3, w=auto)",63,20,1.444010e-01,1.161215e-05,3.697366e-05
"MG 3D(w, nu=3, w=auto)",95,20,2.090830e-01,2.747816e-05,2.787137e-04
"MG 3D(w, nu=3, w=auto)",127,20,2.483250e-01,1.645531e-04,1.918064e-03
"MG 3D(w, nu=3, w=auto)",191,20,4.505280e-01,8.789817e-04,1.337042e-02
"MG 3D(w, nu=3, w=auto)",255,20,7.132110e-01,2.052911e-03,3.564994e-02
"MG 3D(w, nu=3, w=auto)",319,20,1.130215e+00,3.331598e-03,6.403897e-02
"MG 3D(w, nu=3, w=auto)",383,20,1.879079e+00,4.591303e-03,9.432557e-02
