Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,100,9.742100e-02,1.138076e-03,3.218964e-03
RB SOR 3D,31,150,1.055560e-01,2.841076e-04,8.035777e-04
RB SOR 3D,47,250,1.060640e-01,1.262362e-04,3.570500e-04
RB SOR 3D,63,350,9.886400e-02,7.100123e-05,2.008218e-04
RB SOR 3D,79,400,1.081190e-01,4.543882e-05,1.285204e-04
RB SOR 3D,95,500,1.349540e-01,3.155399e-05,8.924816e-05
RB SOR 3D,111,550,1.343900e-01,2.318219e-05,6.556915e-05
RB SOR 3D,127,650,1.616500e-01,1.774870e-05,5.020092e-05
RB SOR 3D,143,750,2.020460e-01,1.402358e-05,3.966467e-05
RB SOR 3D,159,800,2.796800e-01,1.135905e-05,3.212824e-05
"MG 3D(v, nu=3, w=1.25)",15,7,1.086630e-01,1.138076e-03,3.218964e-03
"MG 3D(v, nu=3, w=1.25)",31,7,8.744200e-02,2.841076e-04,8.035777e-04
"MG 3D(v, nu=3, w=1.25)",47,7,9.600600e-02,1.262362e-04,3.570500e-04
"MG 3D(v, nu=3, w=1.25)",63,7,9.905800e-02,7.100123e-05,2.008218e-04
"MG 3D(v, nu=3, w=1.25)",95,7,1.158320e-01,3.155399e-05,8.924816e-05
"MG 3D(v, nu=3, w=1.25)",127,7,1.676670e-01,1.774870e-05,5.020091e-05
"MG 3D(v, nu=3, w=1.25)",191,7,1.759070e-01,7.888179e-06,2.231114e-05
"MG 3D(v, nu=3, w=1.25)",255,7,2.979800e-01,4.437074e-06,1.254994e-05
"MG 3D(v, nu=3, w=1.25)",319,7,5.405700e-01,2.839718e-06,8.031936e-06
"MG 3D(v, nu=3, w=1.25)",383,7,7.745960e-01,1.972024e-06,5.577726e-06
"MG 3D(v, nu=3, w=auto)",15,13,1.046950e-01,1.138076e-03,3.218964e-03
"MG 3D(v, nu=3, w=auto)",31,20,1.162050e-01,2.841072e-04,8.035765e-04
"MG 3D(v, nu=3, w=auto)",47,20,1.152600e-01,1.257263e-04,3.555994e-04
"MG 3D(v, nu=3, w=auto)",63,20,1.162640e-01,6.715804e-05,1.899055e-04
"MG 3D(v, nu=3, w=auto)",95,20,1.181270e-01,2.587782e-04,7.365719e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.298970e-01,4.494532e-04,1.285157e-03
"MG 3D(v, nu=3, w=auto)",191,20,2.813090e-01,7.381181e-03,2.096288e-02
"MG 3D(v, nu=3, w=auto)",255,20,4.799050e-01,5.456043e-03,1.545992e-02
"MG 3D(v, nu=3, w=auto)",319,20,8.269820e-01,1.572206e-02,4.452763e-02
"MG 3D(v, nu=3, w=auto)",383,20,1.442981e+00,3.751392e-02,1.060910e-01
"MG 3D(w, nu=3, w=1.25)",15,6,9.362600e-02,1.138076e-03,3.218964e-03
"MG 3D(w, nu=3, w=1.25)",31,5,1.034060e-01,2.841076e-04,8.035777e-04
"MG 3D(w, nu=3, w=1.25)",47,5,1.518380e-01,1.262362e-04,3.570500e-04
"MG 3D(w, nu=3, w=1.25)",63,4,1.020220e-01,7.100123e-05,2.008218e-04
"MG 3D(w, nu=3, w=1.25)",95,4,1.226460e-01,3.155399e-05,8.924816e-05
"MG 3D(w, nu=3, w=1.25)",127,4,1.247770e-01,1.774870e-05,5.020092e-05
"MG 3D(w, nu=3, w=1.25)",191,4,1.941380e-01,7.888181e-06,2.231114e-05
"MG 3D(w, nu=3, w=1.25)",255,4,2.998570e-01,4.437076e-06,1.254995e-05
"MG 3D(w, nu=3, w=1.25)",319,4,4.894870e-01,2.839721e-06,8.031943e-06
"MG 3D(w, nu=3, w=1.25)",383,4,8.005100e-01,1.972025e-06,5.577730e-06
"MG 3D(w, nu=3, w=auto)",15,11,9.995800e-02,1.138076e-03,3.218964e-03
"MG 3D(w, nu=3, w=auto)",31,20,1.303850e-01,2.841076e-04,8.035777e-04
"MG 3D(w, nu=3, w=auto)",47,20,1.485480e-01,1.262363e-04,3.570510e-04
"MG 3D(w, nu=3, w=auto)",63,20,1.612860e-01,7.100214e-05,2.008431e-04
"MG 3D(w, nu=3, w=auto)",95,20,2.012750e-01,3.157127e-05,8.977631e-05
"MG 3D(w, nu=3, w=auto)",127,20,2.382290e-01,1.784010e-05,5.235014e-05
"MG 3D(w, nu=3, w=auto)",191,20,4.566010e-01,8.788724e-06,2.989690e-05
"MG 3D(w, nu=3, w=auto)",255,20,6.932790e-01,7.148725e-06,3.435142e-05
"MG 3D(w, nu=3, w=auto)",319,20,1.085283e+00,1.246979e-05,6.243329e-05
"MG 3D(w, nu=3, w=auto)",383,20,1.938244e+00,1.978015e-05,1.044157e-04
