Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,150,1.019240e-01,1.412551e-02,3.995298e-02
Jacobi 3D,23,300,9.653000e-02,6.203668e-03,1.754662e-02
Jacobi 3D,31,500,1.046090e-01,3.475092e-03,9.829044e-03
Jacobi 3D,39,800,9.589600e-02,2.219790e-03,6.278515e-03
Jacobi 3D,47,1150,1.242440e-01,1.539914e-03,4.355535e-03
Jacobi 3D,55,1550,1.178650e-01,1.130654e-03,3.197973e-03
Jacobi 3D,63,2000,1.117160e-01,8.653042e-04,2.447450e-03
RB GS 3D,15,100,9.155300e-02,1.412551e-02,3.995298e-02
RB GS 3D,23,150,9.841000e-02,6.203668e-03,1.754662e-02
RB GS 3D,31,250,9.624500e-02,3.475092e-03,9.829044e-03
RB GS 3D,39,400,9.952700e-02,2.219790e-03,6.278515e-03
RB GS 3D,47,600,1.184300e-01,1.539914e-03,4.355535e-03
RB GS 3D,55,800,1.137850e-01,1.130654e-03,3.197973e-03
RB GS 3D,63,1050,1.200010e-01,8.653042e-04,2.447450e-03
RB SOR 3D,15,100,9.638300e-02,1.412551e-02,3.995298e-02
RB SOR 3D,23,100,1.000290e-01,6.203668e-03,1.754662e-02
RB SOR 3D,31,150,8.598100e-02,3.475092e-03,9.829044e-03
RB SOR 3D,47,200,8.455900e-02,1.539914e-03,4.355535e-03
RB SOR 3D,63,250,9.498300e-02,8.653042e-04,2.447450e-03
RB SOR 3D,79,350,9.761700e-02,5.535291e-04,1.565617e-03
RB SOR 3D,95,400,1.306350e-01,3.842951e-04,1.086951e-03
RB SOR 3D,111,500,1.430640e-01,2.822949e-04,7.984506e-04
RB SOR 3D,127,500,1.456370e-01,2.161100e-04,6.112514e-04
RB SOR 3D,143,650,1.865310e-01,1.707417e-04,4.829303e-04
RB SOR 3D,159,650,2.696530e-01,1.382938e-04,3.911540e-04
MG V-cycle 3D,15,9,9.748100e-02,1.412551e-02,3.995298e-02
MG V-cycle 3D,31,11,9.490600e-02,3.475092e-03,9.829044e-03
MG V-cycle 3D,47,11,9.737700e-02,1.539914e-03,4.355535e-03
MG V-cycle 3D,63,11,1.117700e-01,8.653042e-04,2.447450e-03
MG V-cycle 3D,95,11,1.054250e-01,3.842951e-04,1.086951e-03
MG V-cycle 3D,127,11,1.235330e-01,2.161100e-04,6.112514e-04
MG V-cycle 3D,191,11,1.978000e-01,9.603111e-05,2.716170e-04
MG V-cycle 3D,255,11,3.499530e-01,5.401400e-05,1.527747e-04
MG W-cycle 3D,15,9,1.793840e-01,1.412551e-02,3.995298e-02
MG W-cycle 3D,31,9,1.196950e-01,3.475092e-03,9.829044e-03
MG W-cycle 3D,47,8,1.280760e-01,1.539914e-03,4.355535e-03
MG W-cycle 3D,63,7,1.212030e-01,8.653042e-04,2.447450e-03
MG W-cycle 3D,95,6,1.273700e-01,3.842951e-04,1.086951e-03
MG W-cycle 3D,127,6,1.374740e-01,2.161100e-04,6.112514e-04
MG W-cycle 3D,191,5,2.144430e-01,9.603113e-05,2.716170e-04
MG W-cycle 3D,255,5,3.269860e-01,5.401401e-05,1.527747e-04
