dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
2,cosine,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,2047,8,8.915319e-10,1.818150e-08,3.533801e-08,2.671400e+01,2.986700e+01,2.671400e-02,2.986700e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,2047,8,1.557490e-10,1.818485e-08,3.534493e-08,2.484100e+01,2.888600e+01,2.484100e-02,2.888600e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,2047,7,5.233511e-10,1.818281e-08,3.534069e-08,3.461700e+01,3.795000e+01,3.461700e-02,3.795000e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,2047,7,9.078447e-11,1.818539e-08,3.534605e-08,2.351800e+01,2.855800e+01,2.351800e-02,2.855800e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,2047,6,4.662334e-10,1.818544e-08,3.534615e-08,2.230100e+01,2.491200e+01,2.230100e-02,2.491200e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,2047,7,4.872604e-10,1.818553e-08,3.534634e-08,2.367200e+01,3.350400e+01,2.367200e-02,3.350400e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,2047,8,2.905047e-10,1.818553e-08,3.534635e-08,2.552700e+01,2.910700e+01,2.552700e-02,2.910700e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,2047,9,1.872010e-10,1.818553e-08,3.534633e-08,3.226500e+01,3.735800e+01,3.226500e-02,3.735800e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,2047,10,1.547049e-10,1.818552e-08,3.534633e-08,3.194600e+01,3.449800e+01,3.194600e-02,3.449800e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,2047,11,1.508438e-10,1.818553e-08,3.534635e-08,3.146800e+01,3.360600e+01,3.146800e-02,3.360600e-02,1.000000e-09,15,3,true
2,cosine,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,2047,12,1.796301e-10,1.818552e-08,3.534632e-08,3.418200e+01,4.881800e+01,3.418200e-02,4.881800e-02,1.000000e-09,15,3,true
2,cosine,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,2047,8,8.915621e-10,1.818149e-08,3.533801e-08,3.084500e+01,3.400000e+01,3.084500e-02,3.400000e-02,1.000000e-09,15,3,true
2,cosine,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,2047,8,1.556887e-10,1.818485e-08,3.534493e-08,2.535300e+01,3.090200e+01,2.535300e-02,3.090200e-02,1.000000e-09,15,3,true
2,cosine,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,2047,7,5.230995e-10,1.818281e-08,3.534067e-08,2.681500e+01,3.371600e+01,2.681500e-02,3.371600e-02,1.000000e-09,15,3,true
2,cosine,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,2047,7,9.078663e-11,1.818539e-08,3.534604e-08,2.414200e+01,3.283300e+01,2.414200e-02,3.283300e-02,1.000000e-09,15,3,true
2,cosine,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,2047,6,4.662107e-10,1.818544e-08,3.534615e-08,2.678500e+01,3.998100e+01,2.678500e-02,3.998100e-02,1.000000e-09,15,3,true
2,cosine,V-SOR,v_sor,v,sor,1.25,mg_sor,cuda,double,2047,7,4.870271e-10,1.818553e-08,3.534634e-08,2.377300e+01,3.161700e+01,2.377300e-02,3.161700e-02,1.000000e-09,15,3,true
