dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
3,exp,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,127,10,2.818656e-10,1.884452e-06,4.458387e-06,2.103500e+01,2.399500e+01,2.103500e-02,2.399500e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,127,9,9.323836e-10,1.884347e-06,4.458096e-06,1.932500e+01,5.584900e+01,1.932500e-02,5.584900e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,127,9,1.799902e-10,1.884458e-06,4.458410e-06,2.094800e+01,2.541700e+01,2.094800e-02,2.541700e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,127,8,5.796680e-10,1.884382e-06,4.458203e-06,1.867200e+01,2.170000e+01,1.867200e-02,2.170000e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,127,8,5.825731e-11,1.884479e-06,4.458467e-06,1.807700e+01,2.062900e+01,1.807700e-02,2.062900e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,127,7,1.010080e-10,1.884471e-06,4.458444e-06,1.832100e+01,2.436600e+01,1.832100e-02,2.436600e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,127,7,2.330708e-11,1.884491e-06,4.458501e-06,1.679400e+01,1.994500e+01,1.679400e-02,1.994500e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,127,8,3.053667e-11,1.884492e-06,4.458501e-06,1.798000e+01,2.346300e+01,1.798000e-02,2.346300e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,127,8,9.177576e-10,1.884491e-06,4.458501e-06,1.847700e+01,2.105900e+01,1.847700e-02,2.105900e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,127,9,7.031874e-10,1.884492e-06,4.458501e-06,2.043500e+01,2.476200e+01,2.043500e-02,2.476200e-02,1.000000e-09,15,3,true
3,exp,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,127,10,7.080963e-10,1.884490e-06,4.458501e-06,2.251600e+01,2.559600e+01,2.251600e-02,2.559600e-02,1.000000e-09,15,3,true
