dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
3,bubble,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,127,8,3.475605e-10,1.563030e-12,4.372971e-12,2.109400e+01,2.537100e+01,2.109400e-02,2.537100e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,127,8,1.116192e-10,4.766604e-13,1.336532e-12,2.107400e+01,2.574500e+01,2.107400e-02,2.574500e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,127,7,6.399010e-10,2.576608e-12,7.220852e-12,2.083600e+01,2.688000e+01,2.083600e-02,2.688000e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,127,7,1.544744e-10,5.843997e-13,1.642920e-12,1.846000e+01,2.110600e+01,1.846000e-02,2.110600e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,127,6,8.779851e-10,3.096281e-12,8.716604e-12,1.743900e+01,2.346600e+01,1.743900e-02,2.346600e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,127,6,9.690732e-11,3.171738e-13,8.967427e-13,1.752400e+01,2.269400e+01,1.752400e-02,2.269400e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,127,5,2.239602e-10,6.592210e-13,1.866299e-12,1.415300e+01,2.531700e+01,1.415300e-02,2.531700e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,127,5,1.604496e-10,2.708016e-14,7.247935e-14,1.450200e+01,2.959600e+01,1.450200e-02,2.959600e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,127,6,5.197930e-11,1.532656e-14,3.135686e-14,1.707800e+01,2.329500e+01,1.707800e-02,2.329500e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,127,6,6.992360e-10,6.039762e-13,9.492511e-13,1.819200e+01,2.178400e+01,1.819200e-02,2.178400e-02,1.000000e-09,15,4,true
3,bubble,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,127,7,2.940401e-10,3.704301e-13,7.843795e-13,1.808100e+01,2.031200e+01,1.808100e-02,2.031200e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,127,8,3.476914e-10,1.563617e-12,4.374643e-12,1.654500e+01,2.039600e+01,1.654500e-02,2.039600e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,127,8,1.116245e-10,4.766898e-13,1.336596e-12,1.617800e+01,2.031100e+01,1.617800e-02,2.031100e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,127,7,6.399030e-10,2.576621e-12,7.220877e-12,1.471300e+01,2.492900e+01,1.471300e-02,2.492900e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,127,7,1.544759e-10,5.844016e-13,1.642924e-12,1.766800e+01,2.178800e+01,1.766800e-02,2.178800e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,127,6,8.779836e-10,3.096274e-12,8.716567e-12,1.526900e+01,2.230600e+01,1.526900e-02,2.230600e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.25,mg_sor,cuda,double,127,6,9.690384e-11,3.171656e-13,8.966994e-13,1.355700e+01,1.678900e+01,1.355700e-02,1.678900e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.30,mg_sor,cuda,double,127,5,2.239615e-10,6.592152e-13,1.866278e-12,1.272200e+01,2.157700e+01,1.272200e-02,2.157700e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.35,mg_sor,cuda,double,127,5,1.604489e-10,2.708023e-14,7.248369e-14,1.312000e+01,1.916200e+01,1.312000e-02,1.916200e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.40,mg_sor,cuda,double,127,6,5.197908e-11,1.532613e-14,3.135426e-14,1.312000e+01,1.780500e+01,1.312000e-02,1.780500e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.45,mg_sor,cuda,double,127,6,6.992367e-10,6.039863e-13,9.492893e-13,1.309700e+01,1.536500e+01,1.309700e-02,1.536500e-02,1.000000e-09,15,4,true
3,bubble,V-SOR,v_sor,v,sor,1.50,mg_sor,cuda,double,127,7,2.940403e-10,3.704324e-13,7.843864e-13,1.501500e+01,1.875800e+01,1.501500e-02,1.875800e-02,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.00,mg_exact,cuda,double,127,5,4.602526e-10,1.348457e-14,6.017756e-14,8.597300e+01,9.038600e+01,8.597300e-02,9.038600e-02,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.05,mg_exact,cuda,double,127,5,1.614085e-10,5.028017e-15,2.162246e-14,7.738900e+01,8.356500e+01,7.738900e-02,8.356500e-02,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.10,mg_exact,cuda,double,127,5,4.294661e-11,1.437730e-15,5.858812e-15,7.897600e+01,8.340100e+01,7.897600e-02,8.340100e-02,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.15,mg_exact,cuda,double,127,4,7.829744e-10,3.143934e-14,1.215434e-13,6.287600e+01,7.006200e+01,6.287600e-02,7.006200e-02,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.20,mg_exact,cuda,double,127,4,7.631947e-11,4.030590e-15,1.680362e-14,6.331600e+01,6.781600e+01,6.331600e-02,6.781600e-02,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.25,mg_exact,cuda,double,127,4,5.823493e-12,4.825041e-16,2.591352e-15,6.331700e+01,7.136300e+01,6.331700e-02,7.136300e-02,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.30,mg_exact,cuda,double,127,4,1.346758e-10,2.556568e-15,1.148300e-14,6.523800e+01,7.077200e+01,6.523800e-02,7.077200e-02,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.35,mg_exact,cuda,double,127,5,2.273301e-11,5.223685e-16,2.133276e-15,7.756900e+01,8.083000e+01,7.756900e-02,8.083000e-02,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.40,mg_exact,cuda,double,127,5,2.427264e-10,6.042475e-15,2.313189e-14,8.778300e+01,1.000970e+02,8.778300e-02,1.000970e-01,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.45,mg_exact,cuda,double,127,6,3.719514e-11,9.346213e-16,3.294890e-15,9.424900e+01,1.051510e+02,9.424900e-02,1.051510e-01,1.000000e-09,15,4,true
3,bubble,W-exact,w_exact,w,exact,1.50,mg_exact,cuda,double,127,6,2.621470e-10,6.802502e-15,2.350290e-14,9.437400e+01,9.971400e+01,9.437400e-02,9.971400e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.00,mg_sor,cuda,double,127,5,4.602526e-10,1.348469e-14,6.017409e-14,1.883400e+01,2.643000e+01,1.883400e-02,2.643000e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.05,mg_sor,cuda,double,127,5,1.614085e-10,5.028104e-15,2.162051e-14,1.904500e+01,2.337800e+01,1.904500e-02,2.337800e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.10,mg_sor,cuda,double,127,5,4.294687e-11,1.437824e-15,5.858378e-15,1.786200e+01,2.122800e+01,1.786200e-02,2.122800e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.15,mg_sor,cuda,double,127,4,7.829743e-10,3.143930e-14,1.215414e-13,1.724100e+01,2.583000e+01,1.724100e-02,2.583000e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.20,mg_sor,cuda,double,127,4,7.631918e-11,4.030334e-15,1.680351e-14,1.723800e+01,2.420100e+01,1.723800e-02,2.420100e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.25,mg_sor,cuda,double,127,4,5.823272e-12,4.814880e-16,2.591135e-15,1.693800e+01,2.087600e+01,1.693800e-02,2.087600e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.30,mg_sor,cuda,double,127,4,1.346755e-10,2.556661e-15,1.148495e-14,1.979300e+01,2.613500e+01,1.979300e-02,2.613500e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.35,mg_sor,cuda,double,127,5,2.273330e-11,5.222962e-16,2.133276e-15,2.089400e+01,2.584400e+01,2.089400e-02,2.584400e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.40,mg_sor,cuda,double,127,5,2.427269e-10,6.042486e-15,2.313102e-14,1.937900e+01,2.453100e+01,1.937900e-02,2.453100e-02,1.000000e-09,15,4,true
3,bubble,W-SOR,w_sor,w,sor,1.45,mg_sor,cuda,double,127,6,3.719559e-11,9.345657e-16,3.293156e-15,2.234100e+01,2.883600e+01,2.234100e-02,2.883600e-02,1.000000e-09,15,4,true
