dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
3,mixed_sine,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,511,10,5.372242e-10,1.350253e-05,3.819092e-05,1.152880e+03,1.162078e+03,1.152880e+00,1.162078e+00,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,511,10,1.126395e-10,1.350263e-05,3.819121e-05,1.190658e+03,1.199306e+03,1.190658e+00,1.199306e+00,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,511,9,2.199651e-10,1.350261e-05,3.819115e-05,1.097835e+03,1.105407e+03,1.097835e+00,1.105407e+00,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,511,8,4.378103e-10,1.350257e-05,3.819104e-05,9.906820e+02,9.993200e+02,9.906820e-01,9.993200e-01,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,511,7,8.270732e-10,1.350253e-05,3.819091e-05,9.618210e+02,9.696530e+02,9.618210e-01,9.696530e-01,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,511,7,2.889751e-11,1.350266e-05,3.819128e-05,9.419770e+02,9.513550e+02,9.419770e-01,9.513550e-01,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,511,6,5.745281e-11,1.350266e-05,3.819129e-05,9.065510e+02,9.157870e+02,9.065510e-01,9.157870e-01,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,511,7,8.819965e-11,1.350266e-05,3.819129e-05,9.399200e+02,9.499930e+02,9.399200e-01,9.499930e-01,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,511,8,1.482780e-10,1.350266e-05,3.819128e-05,1.007591e+03,1.015943e+03,1.007591e+00,1.015943e+00,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,511,9,2.608162e-10,1.350267e-05,3.819131e-05,1.146919e+03,1.155664e+03,1.146919e+00,1.155664e+00,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,511,10,5.020517e-10,1.350264e-05,3.819122e-05,1.226283e+03,1.234014e+03,1.226283e+00,1.234014e+00,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,511,10,5.372243e-10,1.350253e-05,3.819092e-05,1.250977e+03,1.258434e+03,1.250977e+00,1.258434e+00,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,511,10,1.126390e-10,1.350263e-05,3.819121e-05,1.214541e+03,1.222384e+03,1.214541e+00,1.222384e+00,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,511,9,2.199654e-10,1.350261e-05,3.819115e-05,1.113125e+03,1.121547e+03,1.113125e+00,1.121547e+00,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,511,8,4.378104e-10,1.350257e-05,3.819104e-05,1.059989e+03,1.067567e+03,1.059989e+00,1.067567e+00,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,511,7,8.270732e-10,1.350253e-05,3.819091e-05,9.746090e+02,9.826560e+02,9.746090e-01,9.826560e-01,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.25,mg_sor,cuda,double,511,7,2.889751e-11,1.350266e-05,3.819128e-05,9.279740e+02,9.364620e+02,9.279740e-01,9.364620e-01,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.30,mg_sor,cuda,double,511,6,5.745271e-11,1.350266e-05,3.819129e-05,8.617190e+02,8.672550e+02,8.617190e-01,8.672550e-01,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.35,mg_sor,cuda,double,511,7,8.819995e-11,1.350266e-05,3.819129e-05,9.449530e+02,9.527240e+02,9.449530e-01,9.527240e-01,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.40,mg_sor,cuda,double,511,8,1.482779e-10,1.350266e-05,3.819128e-05,1.019337e+03,1.027301e+03,1.019337e+00,1.027301e+00,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.45,mg_sor,cuda,double,511,9,2.608164e-10,1.350267e-05,3.819131e-05,1.166473e+03,1.173921e+03,1.166473e+00,1.173921e+00,1.000000e-09,15,2,true
3,mixed_sine,V-SOR,v_sor,v,sor,1.50,mg_sor,cuda,double,511,10,5.020516e-10,1.350264e-05,3.819122e-05,1.233656e+03,1.240783e+03,1.233656e+00,1.240783e+00,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.00,mg_exact,cuda,double,511,4,6.775188e-11,1.350266e-05,3.819129e-05,9.686080e+02,9.868860e+02,9.686080e-01,9.868860e-01,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.05,mg_exact,cuda,double,511,3,4.000653e-10,1.350265e-05,3.819126e-05,8.285640e+02,8.410980e+02,8.285640e-01,8.410980e-01,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.10,mg_exact,cuda,double,511,4,2.150863e-12,1.350266e-05,3.819129e-05,9.721180e+02,9.867570e+02,9.721180e-01,9.867570e-01,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.15,mg_exact,cuda,double,511,4,2.471968e-12,1.350266e-05,3.819129e-05,9.864600e+02,1.002435e+03,9.864600e-01,1.002435e+00,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.20,mg_exact,cuda,double,511,4,9.261951e-11,1.350266e-05,3.819129e-05,9.534890e+02,9.679070e+02,9.534890e-01,9.679070e-01,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.25,mg_exact,cuda,double,511,5,1.068203e-11,1.350266e-05,3.819129e-05,1.087010e+03,1.101199e+03,1.087010e+00,1.101199e+00,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.30,mg_exact,cuda,double,511,5,4.440943e-10,1.350266e-05,3.819129e-05,1.103351e+03,1.119180e+03,1.103351e+00,1.119180e+00,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.35,mg_exact,cuda,double,511,6,9.910220e-11,1.350266e-05,3.819129e-05,1.308616e+03,1.322530e+03,1.308616e+00,1.322530e+00,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.40,mg_exact,cuda,double,511,7,3.360398e-11,1.350266e-05,3.819129e-05,1.385212e+03,1.398846e+03,1.385212e+00,1.398846e+00,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.45,mg_exact,cuda,double,511,7,5.839945e-10,1.350266e-05,3.819129e-05,1.429170e+03,1.443694e+03,1.429170e+00,1.443694e+00,1.000000e-09,15,2,true
3,mixed_sine,W-exact,w_exact,w,exact,1.50,mg_exact,cuda,double,511,8,7.030906e-10,1.350266e-05,3.819129e-05,1.552460e+03,1.567395e+03,1.552460e+00,1.567395e+00,1.000000e-09,15,2,true
3,mixed_sine,W-SOR,w_sor,w,sor,1.00,mg_sor,cuda,double,511,4,6.775188e-11,1.350266e-05,3.819129e-05,7.669930e+02,7.834080e+02,7.669930e-01,7.834080e-01,1.000000e-09,15,2,true
3,mixed_sine,W-SOR,w_sor,w,sor,1.05,mg_sor,cuda,double,511,3,4.000653e-10,1.350265e-05,3.819126e-05,6.903420e+02,7.045510e+02,6.903420e-01,7.045510e-01,1.000000e-09,15,2,true
3,mixed_sine,W-SOR,w_sor,w,sor,1.10,mg_sor,cuda,double,511,4,2.150863e-12,1.350266e-05,3.819129e-05,7.730710e+02,7.872690e+02,7.730710e-01,7.872690e-01,1.000000e-09,15,2,true
3,mixed_sine,W-SOR,w_sor,w,sor,1.15,mg_sor,cuda,double,511,4,2.471968e-12,1.350266e-05,3.819129e-05,7.911100e+02,8.058540e+02,7.911100e-01,8.058540e-01,1.000000e-09,15,2,true
3,mixed_sine,W-SOR,w_sor,w,sor,1.20,mg_sor,cuda,double,511,4,9.261951e-11,1.350266e-05,3.819129e-05,7.738330e+02,7.882070e+02,7.738330e-01,7.882070e-01,1.000000e-09,15,2,true
3,mixed_sine,W-SOR,w_sor,w,sor,1.25,mg_sor,cuda,double,511,5,1.068203e-11,1.350266e-05,3.819129e-05,8.384660e+02,8.541290e+02,8.384660e-01,8.541290e-01,1.000000e-09,15,2,true
3,mixed_sine,W-SOR,w_sor,w,sor,1.30,mg_sor,cuda,double,511,5,4.440943e-10,1.350266e-05,3.819129e-05,8.617910e+02,8.852170e+02,8.617910e-01,8.852170e-01,1.000000e-09,15,2,true
3,mixed_sine,W-SOR,w_sor,w,sor,1.35,mg_sor,cuda,double,511,6,9.910220e-11,1.350266e-05,3.819129e-05,9.632660e+02,9.767130e+02,9.632660e-01,9.767130e-01,1.000000e-09,15,2,true
