Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1292,3.522630e-04,7.711183e-05,1.399548e-04
Jacobi,23,2915,1.595890e-03,3.434558e-05,6.235898e-05
Jacobi,31,5186,5.021137e-03,1.933381e-05,3.508528e-05
Jacobi,47,11673,2.637900e-02,8.597358e-06,1.560909e-05
Jacobi,63,20752,8.125993e-02,4.836899e-06,8.785548e-06
Jacobi,95,46691,4.073983e-01,2.150001e-06,3.905402e-06
Jacobi,127,50000,7.931998e-01,5.678201e-07,1.078048e-06
RB GS,15,656,5.234070e-04,7.711184e-05,1.399549e-04
RB GS,23,1478,2.592874e-03,3.434558e-05,6.235900e-05
RB GS,31,2629,2.694815e-02,1.933382e-05,3.508530e-05
RB GS,47,5918,4.633067e-02,8.597367e-06,1.560910e-05
RB GS,63,10520,7.935448e-02,4.836908e-06,8.785565e-06
RB GS,95,23668,4.088687e-01,2.150010e-06,3.905420e-06
RB GS,127,42074,1.357833e+00,1.209427e-06,2.196743e-06
RB SOR,15,78,6.982000e-05,7.711186e-05,1.399549e-04
RB SOR,23,119,2.146920e-04,3.434560e-05,6.235904e-05
RB SOR,31,161,7.301230e-04,1.933384e-05,3.508534e-05
RB SOR,47,244,2.112797e-03,8.597388e-06,1.560914e-05
RB SOR,63,328,4.032801e-03,4.836930e-06,8.785606e-06
RB SOR,95,499,1.809781e-02,2.150032e-06,3.905462e-06
RB SOR,127,671,4.647639e-02,1.209449e-06,2.196785e-06
MG V-cycle,15,14,3.869300e-04,7.711186e-05,1.399549e-04
MG V-cycle,23,16,6.736600e-04,3.434560e-05,6.235904e-05
MG V-cycle,31,15,6.914530e-04,1.933384e-05,3.508534e-05
MG V-cycle,47,16,1.286535e-03,8.597388e-06,1.560914e-05
MG V-cycle,63,16,6.316663e-03,4.836930e-06,8.785607e-06
MG V-cycle,95,17,5.287021e-03,2.150032e-06,3.905463e-06
MG V-cycle,127,17,1.020519e-02,1.209449e-06,2.196785e-06
MG W-cycle,15,12,8.429690e-04,7.711186e-05,1.399549e-04
MG W-cycle,23,12,1.513819e-03,3.434561e-05,6.235904e-05
MG W-cycle,31,12,1.644263e-03,1.933384e-05,3.508534e-05
MG W-cycle,47,12,5.475256e-03,8.597389e-06,1.560914e-05
MG W-cycle,63,12,5.813755e-03,4.836930e-06,8.785608e-06
MG W-cycle,95,13,1.532365e-02,2.150032e-06,3.905463e-06
MG W-cycle,127,13,1.530239e-02,1.209449e-06,2.196785e-06
