Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,53,3.360200e-05,1.164080e-02,2.328169e-02
Jacobi,23,122,1.222970e-04,4.856980e-03,9.714007e-03
Jacobi,31,219,3.971530e-04,2.513453e-03,5.027175e-03
Jacobi,47,495,1.901523e-03,8.389654e-04,1.678109e-03
Jacobi,63,880,6.061003e-03,2.490671e-04,4.979372e-04
Jacobi,95,1983,3.213177e-02,1.665895e-04,3.331304e-04
Jacobi,127,3527,1.014536e-01,3.120333e-04,6.240606e-04
RB GS,15,29,2.956099e-05,1.186592e-02,2.376878e-02
RB GS,23,65,1.347080e-04,5.030728e-03,1.008010e-02
RB GS,31,115,4.261680e-04,2.652800e-03,5.317092e-03
RB GS,47,260,2.176035e-03,9.824303e-04,1.969934e-03
RB GS,63,463,6.850206e-03,3.994161e-04,8.014441e-04
RB GS,95,1042,4.088245e-02,1.900524e-05,3.902273e-05
RB GS,127,1852,9.361589e-02,1.660526e-04,3.325949e-04
RB SOR,15,20,2.278200e-05,1.199947e-02,2.396345e-02
RB SOR,23,30,6.418400e-05,5.213763e-03,1.040065e-02
RB SOR,31,41,1.558880e-04,2.844923e-03,5.692601e-03
RB SOR,47,61,5.280610e-04,1.173183e-03,2.343297e-03
RB SOR,63,82,1.183654e-03,5.880975e-04,1.176953e-03
RB SOR,95,123,4.114306e-03,1.714283e-04,3.441572e-04
RB SOR,127,164,9.798860e-03,2.592429e-05,5.261831e-05
MG V-cycle,15,3,6.436200e-05,1.193366e-02,2.423692e-02
MG V-cycle,23,4,1.141860e-04,5.319633e-03,1.071560e-02
MG V-cycle,31,4,1.479950e-04,2.954254e-03,6.008625e-03
MG V-cycle,47,5,3.149000e-04,1.326035e-03,2.668142e-03
MG V-cycle,63,5,4.197220e-04,7.412147e-04,1.500130e-03
MG V-cycle,95,5,8.401250e-04,3.244280e-04,6.664991e-04
MG V-cycle,127,6,2.332914e-03,1.860179e-04,3.747940e-04
MG W-cycle,15,3,1.192050e-04,1.194840e-02,2.415717e-02
MG W-cycle,23,4,7.157450e-04,5.348887e-03,1.071703e-02
MG W-cycle,31,4,1.070163e-03,3.001960e-03,6.013632e-03
MG W-cycle,47,4,9.062720e-04,1.332529e-03,2.668142e-03
MG W-cycle,63,4,1.679735e-03,7.492526e-04,1.499534e-03
MG W-cycle,95,4,1.862418e-03,3.329416e-04,6.661415e-04
MG W-cycle,127,4,2.627245e-03,1.872435e-04,3.745556e-04
