Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,357,1.808440e-04,1.116723e-03,2.233505e-03
Jacobi,23,804,8.438080e-04,2.138960e-04,4.279613e-04
Jacobi,31,1432,2.543734e-03,9.644214e-05,1.930594e-04
Jacobi,47,3224,1.275002e-02,3.204412e-04,6.413460e-04
Jacobi,63,5736,4.024884e-02,3.969953e-04,7.938147e-04
Jacobi,95,12914,2.082829e-01,4.502559e-04,8.999705e-04
Jacobi,127,23073,6.572994e-01,4.544966e-04,9.089708e-04
RB GS,15,188,1.865040e-04,1.265189e-03,2.537131e-03
RB GS,23,423,8.872320e-04,3.640360e-04,7.312298e-04
RB GS,31,752,2.779416e-03,4.897399e-05,9.953976e-05
RB GS,47,1693,1.773411e-02,1.744530e-04,3.492649e-04
RB GS,63,3011,4.819508e-02,2.522268e-04,5.040233e-04
RB GS,95,6773,1.879304e-01,3.080103e-04,6.154936e-04
RB GS,127,12056,5.868731e-01,3.260008e-04,6.521950e-04
RB SOR,15,30,3.825400e-05,1.563127e-03,3.134608e-03
RB SOR,23,47,1.280080e-04,6.851656e-04,1.374006e-03
RB SOR,31,64,2.601030e-04,3.784596e-04,7.591248e-04
RB SOR,47,99,8.893970e-04,1.623020e-04,3.254414e-04
RB SOR,63,135,5.042835e-03,8.794831e-05,1.767874e-04
RB SOR,95,209,1.071009e-02,3.756219e-05,7.887526e-05
RB SOR,127,50000,2.477078e+00,2.546351e-05,5.166463e-05
MG V-cycle,15,5,1.197850e-04,1.591440e-03,3.202558e-03
MG V-cycle,23,5,1.386040e-04,6.753472e-04,1.385212e-03
MG V-cycle,31,6,2.126250e-04,3.984002e-04,8.007288e-04
MG V-cycle,47,6,3.388560e-04,1.717437e-04,3.497601e-04
MG V-cycle,63,6,5.042260e-04,9.684467e-05,1.978874e-04
MG V-cycle,95,7,1.138532e-03,4.347021e-05,8.809566e-05
MG V-cycle,127,7,1.842479e-03,2.449802e-05,4.973684e-05
MG W-cycle,15,4,1.563420e-04,1.602387e-03,3.221154e-03
MG W-cycle,23,4,2.927300e-04,7.129184e-04,1.429200e-03
MG W-cycle,31,4,4.933400e-04,4.011382e-04,8.034706e-04
MG W-cycle,47,4,7.317050e-04,1.783511e-04,3.570318e-04
MG W-cycle,63,4,9.998010e-04,1.003001e-04,2.007484e-04
MG W-cycle,95,4,1.834061e-03,4.459222e-05,8.928776e-05
MG W-cycle,127,4,2.799286e-03,2.504718e-05,5.018711e-05
