Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,67,2.830000e-04,2.953815e-04,5.717083e-04
RB SOR,31,138,8.000000e-04,7.433228e-05,1.438535e-04
RB SOR,63,286,2.594000e-03,1.861234e-05,3.615085e-05
RB SOR,127,592,9.213000e-03,4.654896e-06,9.044184e-06
RB SOR,255,1227,3.683400e-02,1.163837e-06,2.262062e-06
RB SOR,511,2546,2.754970e-01,2.909663e-07,5.655295e-07
"MG(v, nu=3, w=1.25)",15,6,4.320000e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=1.25)",31,7,5.580000e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=1.25)",63,8,1.006000e-03,1.861234e-05,3.615085e-05
"MG(v, nu=3, w=1.25)",127,8,1.190000e-03,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=1.25)",255,9,4.199000e-03,1.163837e-06,2.262062e-06
"MG(v, nu=3, w=1.25)",511,9,9.449000e-03,2.909662e-07,5.655295e-07
"MG(v, nu=3, w=auto)",15,11,6.290000e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=auto)",31,24,1.609000e-03,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=auto)",63,51,4.572000e-03,1.861234e-05,3.615086e-05
"MG(v, nu=3, w=auto)",127,100,1.547500e-02,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=auto)",255,100,2.867300e-02,1.021242e-06,2.260893e-06
"MG(v, nu=3, w=auto)",511,100,7.902500e-02,3.637975e-04,1.257502e-03
"MG(w, nu=3, w=1.25)",15,6,4.850000e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=1.25)",31,7,1.011000e-03,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=1.25)",63,7,2.137000e-03,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=1.25)",127,7,4.971000e-03,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=1.25)",255,7,1.151700e-02,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=1.25)",511,8,3.023600e-02,2.909662e-07,5.655295e-07
"MG(w, nu=3, w=auto)",15,11,6.480000e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=auto)",31,23,3.757000e-03,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=auto)",63,47,1.628100e-02,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=auto)",127,96,6.521300e-02,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=auto)",255,100,1.470930e-01,1.163926e-06,2.288297e-06
"MG(w, nu=3, w=auto)",511,100,3.495970e-01,1.523502e-05,7.664716e-05
