Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,78,9.000000e-04,7.711186e-05,1.399549e-04
RB SOR,31,161,1.916000e-03,1.933384e-05,3.508534e-05
RB SOR,63,328,4.453000e-03,4.836930e-06,8.785606e-06
RB SOR,127,671,7.472200e-02,1.209449e-06,2.196785e-06
RB SOR,255,1412,7.447200e-02,3.023758e-07,5.492651e-07
RB SOR,511,50000,1.303626e+01,7.559481e-08,1.373177e-07
"MG(v, nu=3, w=1.25)",15,8,1.007000e-03,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=1.25)",31,9,1.127000e-03,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=1.25)",63,9,2.104000e-03,4.836930e-06,8.785607e-06
"MG(v, nu=3, w=1.25)",127,10,2.855000e-03,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=1.25)",255,10,6.577000e-03,3.023759e-07,5.492653e-07
"MG(v, nu=3, w=1.25)",511,10,1.151200e-02,7.559490e-08,1.373180e-07
"MG(v, nu=3, w=auto)",15,15,4.318300e-02,7.711187e-05,1.399549e-04
"MG(v, nu=3, w=auto)",31,28,3.964810e-01,1.933384e-05,3.508533e-05
"MG(v, nu=3, w=auto)",63,56,1.215100e-02,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=auto)",127,100,4.655700e-02,1.209448e-06,2.196793e-06
"MG(v, nu=3, w=auto)",255,100,5.181100e-02,2.157070e-06,8.055197e-06
"MG(v, nu=3, w=auto)",511,100,1.622070e-01,3.102412e-03,1.354926e-02
"MG(w, nu=3, w=1.25)",15,7,6.238800e-02,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=1.25)",31,7,2.004000e-03,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=1.25)",63,8,5.423000e-03,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=1.25)",127,8,1.231300e-02,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=1.25)",255,8,2.829800e-02,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=1.25)",511,8,8.966100e-02,7.559482e-08,1.373179e-07
"MG(w, nu=3, w=auto)",15,13,2.812800e-02,7.711187e-05,1.399549e-04
"MG(w, nu=3, w=auto)",31,25,1.261500e-02,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=auto)",63,50,9.176700e-02,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=auto)",127,100,4.042710e-01,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=auto)",255,100,3.042770e-01,3.111395e-07,8.070155e-07
"MG(w, nu=3, w=auto)",511,100,1.138353e+00,7.878824e-05,5.482998e-04
