Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,61,1.124930e-01,1.214909e-02,2.429817e-02
RB SOR,31,123,1.432000e-03,3.006631e-03,6.013262e-03
RB SOR,63,245,3.697000e-03,7.497604e-04,1.499521e-03
RB SOR,127,491,9.487000e-03,1.873218e-04,3.746436e-04
RB SOR,255,982,5.639800e-02,4.682304e-05,9.364609e-05
RB SOR,511,1965,4.452460e-01,1.170529e-05,2.341057e-05
"MG(v, nu=3, w=1.25)",15,6,2.686440e-01,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=1.25)",31,7,1.779000e-03,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=1.25)",63,7,1.314000e-03,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=1.25)",127,8,1.032000e-02,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=1.25)",255,8,2.838220e-01,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=1.25)",511,9,1.148600e-02,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=auto)",15,11,1.146000e-03,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=auto)",31,22,1.448800e-02,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=auto)",63,48,2.395700e-02,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=auto)",127,98,4.214400e-02,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=auto)",255,100,6.695400e-02,4.642204e-05,9.302510e-05
"MG(v, nu=3, w=auto)",511,100,1.135710e-01,2.280697e-04,7.542759e-04
"MG(w, nu=3, w=1.25)",15,6,7.750000e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=1.25)",31,6,2.094000e-03,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=1.25)",63,6,6.558900e-02,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=1.25)",127,6,8.549000e-03,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=1.25)",255,6,2.952400e-02,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=1.25)",511,7,5.241200e-02,1.170530e-05,2.341061e-05
"MG(w, nu=3, w=auto)",15,11,8.768850e-01,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=auto)",31,22,9.624000e-03,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=auto)",63,41,2.779220e-01,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=auto)",127,85,2.552200e-01,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=auto)",255,100,5.052130e-01,4.682304e-05,9.364707e-05
"MG(w, nu=3, w=auto)",511,100,1.165426e+00,1.094964e-05,2.288854e-05
