Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,73,8.500000e-04,1.609482e-03,3.218964e-03
RB SOR,31,150,1.828000e-03,4.017888e-04,8.035777e-04
RB SOR,63,307,5.879500e-02,1.004109e-04,2.008218e-04
RB SOR,127,629,1.844250e-01,2.510046e-05,5.020091e-05
RB SOR,255,1287,2.437200e-01,6.274972e-06,1.254994e-05
RB SOR,511,2644,6.798050e-01,1.568734e-06,3.137468e-06
"MG(v, nu=3, w=1.25)",15,8,8.270000e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=1.25)",31,8,9.420000e-04,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=1.25)",63,8,2.037000e-03,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=1.25)",127,9,5.594000e-03,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=1.25)",255,9,2.259230e-01,6.274973e-06,1.254995e-05
"MG(v, nu=3, w=1.25)",511,9,1.072300e-02,1.568734e-06,3.137469e-06
"MG(v, nu=3, w=auto)",15,14,2.183800e-02,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=auto)",31,26,4.887000e-03,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=auto)",63,48,1.264700e-02,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=auto)",127,96,2.753200e-02,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=auto)",255,100,1.062510e-01,6.263937e-06,1.281400e-05
"MG(v, nu=3, w=auto)",511,100,1.239870e-01,6.046537e-05,1.832865e-04
"MG(w, nu=3, w=1.25)",15,7,2.688400e-02,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=1.25)",31,7,1.899900e-02,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=1.25)",63,7,4.509000e-03,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=1.25)",127,7,9.917000e-03,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=1.25)",255,7,4.541400e-02,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=1.25)",511,7,6.238400e-02,1.568734e-06,3.137469e-06
"MG(w, nu=3, w=auto)",15,12,1.932000e-03,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=auto)",31,22,6.608000e-03,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=auto)",63,44,3.106300e-02,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=auto)",127,87,1.408620e-01,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=auto)",255,100,6.476210e-01,6.274984e-06,1.254938e-05
"MG(w, nu=3, w=auto)",511,100,1.094625e+00,1.588424e-06,3.663154e-06
