Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,30,1.330000e-04,3.063836e-06,6.556511e-06
RB SOR,31,64,3.510000e-04,1.549556e-06,3.214926e-06
RB SOR,63,134,1.242000e-03,9.186710e-07,1.888722e-06
RB SOR,127,308,5.203000e-03,2.681761e-07,5.960464e-07
RB SOR,255,50000,1.558017e+00,8.495724e-07,1.706183e-06
RB SOR,511,50000,5.525717e+00,1.196481e-06,2.062938e-06
"MG(v, nu=3, w=1.25)",15,3,1.260000e-04,8.211435e-07,1.221895e-06
"MG(v, nu=3, w=1.25)",31,3,2.500000e-04,1.135912e-06,1.609325e-06
"MG(v, nu=3, w=1.25)",63,4,4.030000e-04,3.304225e-08,6.705523e-08
"MG(v, nu=3, w=1.25)",127,4,8.760000e-04,1.076636e-07,3.650784e-07
"MG(v, nu=3, w=1.25)",255,4,1.229000e-03,2.855610e-07,6.833579e-07
"MG(v, nu=3, w=1.25)",511,100,6.441900e-02,5.939008e-07,1.363398e-06
"MG(v, nu=3, w=auto)",15,5,2.270000e-04,2.772822e-06,6.116927e-06
"MG(v, nu=3, w=auto)",31,10,7.130000e-04,1.316747e-06,2.816319e-06
"MG(v, nu=3, w=auto)",63,19,2.126000e-03,7.475348e-07,1.572073e-06
"MG(v, nu=3, w=auto)",127,100,1.515500e-02,5.302697e-08,2.235174e-07
"MG(v, nu=3, w=auto)",255,100,2.608700e-02,1.738256e-07,5.478505e-07
"MG(v, nu=3, w=auto)",511,100,6.619400e-02,5.753048e-06,1.612261e-05
"MG(w, nu=3, w=1.25)",15,3,1.950000e-04,1.982499e-07,3.464520e-07
"MG(w, nu=3, w=1.25)",31,3,4.610000e-04,4.945064e-08,1.257285e-07
"MG(w, nu=3, w=1.25)",63,3,1.047000e-03,4.780629e-08,1.266599e-07
"MG(w, nu=3, w=1.25)",127,3,2.258000e-03,1.102703e-07,3.203750e-07
"MG(w, nu=3, w=1.25)",255,3,5.236000e-03,2.971311e-07,6.919727e-07
"MG(w, nu=3, w=1.25)",511,100,3.306380e-01,4.826093e-07,1.117223e-06
"MG(w, nu=3, w=auto)",15,5,2.950000e-04,6.829608e-07,1.613051e-06
"MG(w, nu=3, w=auto)",31,8,1.227000e-03,2.632863e-07,9.499490e-07
"MG(w, nu=3, w=auto)",63,16,5.945000e-03,4.638109e-08,2.048910e-07
"MG(w, nu=3, w=auto)",127,37,2.597500e-02,6.737020e-08,2.123415e-07
"MG(w, nu=3, w=auto)",255,100,1.413980e-01,1.358099e-07,4.358590e-07
"MG(w, nu=3, w=auto)",511,100,3.322880e-01,9.153981e-08,4.405156e-07
