Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,26,8.910300e-02,2.946890e-04,5.716501e-04
RB SOR,31,56,6.620000e-04,6.789953e-05,1.362382e-04
RB SOR,63,123,1.922000e-03,1.855567e-05,3.800167e-05
RB SOR,127,277,5.871000e-03,5.073622e-06,1.071082e-05
RB SOR,255,50000,4.539936e+00,1.900025e-06,5.283899e-06
RB SOR,511,50000,1.278170e+01,9.869293e-07,4.060221e-06
"MG(v, nu=3, w=1.25)",15,2,1.900000e-04,2.681237e-04,5.276023e-04
"MG(v, nu=3, w=1.25)",31,3,3.850000e-04,7.146668e-05,1.403138e-04
"MG(v, nu=3, w=1.25)",63,4,7.010000e-04,1.851882e-05,3.621782e-05
"MG(v, nu=3, w=1.25)",127,4,3.713500e-02,4.682922e-06,9.639313e-06
"MG(v, nu=3, w=1.25)",255,5,2.699000e-03,1.564528e-06,4.690041e-06
"MG(v, nu=3, w=1.25)",511,100,3.657850e-01,1.167964e-06,4.837860e-06
"MG(v, nu=3, w=auto)",15,5,9.050000e-04,2.951879e-04,5.679546e-04
"MG(v, nu=3, w=auto)",31,10,1.339000e-03,6.603144e-05,1.281955e-04
"MG(v, nu=3, w=auto)",63,21,4.355000e-03,2.455147e-05,5.219566e-05
"MG(v, nu=3, w=auto)",127,48,6.599500e-02,3.569524e-06,9.023227e-06
"MG(v, nu=3, w=auto)",255,100,3.748500e-02,2.459739e-06,1.065882e-05
"MG(v, nu=3, w=auto)",511,100,5.416790e-01,3.632141e-04,1.264842e-03
"MG(w, nu=3, w=1.25)",15,2,2.590000e-04,2.681647e-04,5.275427e-04
"MG(w, nu=3, w=1.25)",31,3,9.570000e-04,7.305808e-05,1.426159e-04
"MG(w, nu=3, w=1.25)",63,3,1.998000e-03,1.825512e-05,3.627742e-05
"MG(w, nu=3, w=1.25)",127,4,6.509000e-03,4.540117e-06,9.534556e-06
"MG(w, nu=3, w=1.25)",255,4,1.533200e-02,9.291978e-07,2.268555e-06
"MG(w, nu=3, w=1.25)",511,100,1.350326e+00,1.217756e-06,4.589082e-06
"MG(w, nu=3, w=auto)",15,5,6.270000e-04,2.952408e-04,5.683123e-04
"MG(w, nu=3, w=auto)",31,10,3.022000e-03,7.238585e-05,1.403138e-04
"MG(w, nu=3, w=auto)",63,20,1.475200e-02,1.855932e-05,3.868913e-05
"MG(w, nu=3, w=auto)",127,44,6.629700e-02,4.795895e-06,1.067683e-05
"MG(w, nu=3, w=auto)",255,100,6.173530e-01,1.630137e-06,5.002719e-06
"MG(w, nu=3, w=auto)",511,100,1.044996e+00,1.541114e-05,7.707398e-05
