Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,20,1.200000e-04,1.199954e-02,2.396405e-02
RB SOR,31,41,2.010000e-04,2.844983e-03,5.692720e-03
RB SOR,63,82,2.638000e-03,5.881524e-04,1.176834e-03
RB SOR,127,164,3.538000e-03,2.600037e-05,5.352497e-05
RB SOR,255,381,2.581800e-02,8.894504e-05,1.809037e-04
RB SOR,511,50000,5.271422e+00,1.223960e-05,2.699439e-05
"MG(v, nu=3, w=1.25)",15,2,8.600000e-05,1.214276e-02,2.432215e-02
"MG(v, nu=3, w=1.25)",31,3,4.930000e-04,3.005824e-03,6.014228e-03
"MG(v, nu=3, w=1.25)",63,3,3.100000e-04,7.480001e-04,1.500964e-03
"MG(v, nu=3, w=1.25)",127,3,5.460000e-04,1.852125e-04,3.759861e-04
"MG(v, nu=3, w=1.25)",255,4,1.785000e-03,4.687442e-05,9.510894e-05
"MG(v, nu=3, w=1.25)",511,4,4.828000e-03,1.280148e-05,2.868733e-05
"MG(v, nu=3, w=auto)",15,4,2.810000e-04,1.216269e-02,2.428913e-02
"MG(v, nu=3, w=auto)",31,8,5.180000e-04,2.937282e-03,5.865932e-03
"MG(v, nu=3, w=auto)",63,18,1.964000e-03,7.072869e-04,1.429253e-03
"MG(v, nu=3, w=auto)",127,37,6.866000e-03,2.141568e-04,4.324913e-04
"MG(v, nu=3, w=auto)",255,80,2.213800e-02,4.051800e-05,8.737669e-05
"MG(v, nu=3, w=auto)",511,100,6.004100e-02,2.290031e-04,7.556639e-04
"MG(w, nu=3, w=1.25)",15,2,1.280000e-04,1.214283e-02,2.432454e-02
"MG(w, nu=3, w=1.25)",31,2,3.110000e-04,2.952095e-03,5.981922e-03
"MG(w, nu=3, w=1.25)",63,3,1.254000e-03,7.495627e-04,1.500130e-03
"MG(w, nu=3, w=1.25)",127,3,2.272000e-03,1.875337e-04,3.774166e-04
"MG(w, nu=3, w=1.25)",255,3,5.626000e-03,4.713592e-05,9.601661e-05
"MG(w, nu=3, w=1.25)",511,3,1.185200e-02,1.192933e-05,2.644457e-05
"MG(w, nu=3, w=auto)",15,4,4.620000e-04,1.216221e-02,2.428806e-02
"MG(w, nu=3, w=auto)",31,8,1.271000e-03,2.928489e-03,5.858541e-03
"MG(w, nu=3, w=auto)",63,14,4.668000e-03,7.497273e-04,1.501203e-03
"MG(w, nu=3, w=auto)",127,31,2.092500e-02,1.875179e-04,3.754487e-04
"MG(w, nu=3, w=auto)",255,61,8.656700e-02,4.663907e-05,9.657599e-05
"MG(w, nu=3, w=auto)",511,100,3.353300e-01,1.083860e-05,2.617001e-05
