Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,30,4.173400e-02,1.563204e-03,3.134727e-03
RB SOR,31,64,2.026920e-01,3.785717e-04,7.593632e-04
RB SOR,63,135,1.562000e-03,8.784789e-05,1.770258e-04
RB SOR,127,298,4.938000e-03,2.141855e-05,4.309506e-05
RB SOR,255,50000,3.988858e+00,2.408440e-06,5.404552e-06
RB SOR,511,50000,1.374164e+01,3.591866e-06,1.117636e-05
"MG(v, nu=3, w=1.25)",15,3,1.129000e-03,1.598130e-03,3.204942e-03
"MG(v, nu=3, w=1.25)",31,3,3.990000e-04,3.875316e-04,7.870197e-04
"MG(v, nu=3, w=1.25)",63,4,6.880000e-04,9.968611e-05,1.997948e-04
"MG(v, nu=3, w=1.25)",127,4,1.001000e-03,2.304130e-05,4.690238e-05
"MG(v, nu=3, w=1.25)",255,4,2.269800e-02,4.684127e-06,1.055416e-05
"MG(v, nu=3, w=1.25)",511,100,2.865740e-01,2.428904e-06,7.457427e-06
"MG(v, nu=3, w=auto)",15,5,2.419600e-02,1.650455e-03,3.300190e-03
"MG(v, nu=3, w=auto)",31,10,4.149700e-02,3.821162e-04,7.708073e-04
"MG(v, nu=3, w=auto)",63,19,2.398200e-02,1.115976e-04,2.161712e-04
"MG(v, nu=3, w=auto)",127,40,1.341700e-02,2.550903e-05,5.873714e-05
"MG(v, nu=3, w=auto)",255,100,3.987600e-02,9.273293e-06,2.752009e-05
"MG(v, nu=3, w=auto)",511,100,8.510300e-02,6.210894e-05,2.305087e-04
"MG(w, nu=3, w=1.25)",15,3,2.613380e-01,1.606961e-03,3.217101e-03
"MG(w, nu=3, w=1.25)",31,3,8.350000e-04,4.011387e-04,8.023977e-04
"MG(w, nu=3, w=1.25)",63,3,4.970800e-02,1.010298e-04,2.020597e-04
"MG(w, nu=3, w=1.25)",127,3,4.664000e-03,2.605223e-05,5.242786e-05
"MG(w, nu=3, w=1.25)",255,3,1.343900e-02,6.967308e-06,1.533211e-05
"MG(w, nu=3, w=1.25)",511,100,1.177083e+00,2.868878e-06,1.116142e-05
"MG(w, nu=3, w=auto)",15,5,6.780000e-04,1.619370e-03,3.237963e-03
"MG(w, nu=3, w=auto)",31,8,2.253000e-03,4.014827e-04,8.027482e-04
"MG(w, nu=3, w=auto)",63,16,1.501300e-02,9.976393e-05,2.002991e-04
"MG(w, nu=3, w=auto)",127,34,1.053840e-01,2.507873e-05,5.125903e-05
"MG(w, nu=3, w=auto)",255,100,6.151980e-01,6.302525e-06,1.447925e-05
"MG(w, nu=3, w=auto)",511,100,7.514420e-01,1.797469e-06,9.025070e-06
