Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1185,3.511000e-03,3.446380e-12,6.892764e-12
Jacobi,23,2674,1.018900e-02,3.502649e-12,7.005292e-12
Jacobi,31,4760,1.624800e-02,3.498426e-12,6.996848e-12
Jacobi,47,10717,3.845800e-02,3.517866e-12,7.035740e-12
Jacobi,63,19057,8.575300e-02,3.523838e-12,7.047675e-12
Jacobi,95,42884,2.298720e-01,3.531017e-12,7.062143e-12
Jacobi,127,50000,4.025480e-01,9.576278e-09,1.915256e-08
RB GS,15,602,2.718000e-03,2.407255e-12,4.767582e-12
RB GS,23,1358,6.253000e-03,2.452167e-12,4.883219e-12
RB GS,31,2416,1.175200e-02,2.477366e-12,4.942768e-12
RB GS,47,5440,3.651100e-02,2.483223e-12,4.961136e-12
RB GS,63,9673,6.218300e-02,2.488872e-12,4.974750e-12
RB GS,95,21766,1.949670e-01,2.496297e-12,4.991375e-12
RB GS,127,38696,4.235150e-01,2.499245e-12,4.997738e-12
RB SOR,15,73,3.370000e-04,2.959522e-13,6.311340e-13
RB SOR,23,111,4.620000e-04,2.222419e-13,4.671055e-13
RB SOR,31,150,9.780000e-04,1.570604e-13,3.274325e-13
RB SOR,47,228,1.253000e-03,1.100008e-13,2.268255e-13
RB SOR,63,307,1.698000e-03,8.338946e-14,1.708772e-13
RB SOR,95,466,6.309000e-03,5.920692e-14,1.205286e-13
RB SOR,127,628,7.803000e-03,4.320438e-14,8.752721e-14
MG V-cycle,15,13,4.370000e-04,1.741536e-13,2.500430e-13
MG V-cycle,23,14,8.580000e-04,2.152634e-13,2.955657e-13
MG V-cycle,31,14,8.070000e-04,8.309687e-14,1.267181e-13
MG V-cycle,47,15,1.305000e-03,5.728992e-14,8.339857e-14
MG V-cycle,63,15,1.266000e-03,2.261853e-14,3.860107e-14
MG V-cycle,95,16,1.740000e-03,1.218556e-14,1.966916e-14
MG V-cycle,127,16,2.422000e-03,4.932763e-15,9.736136e-15
MG W-cycle,15,11,7.370000e-04,4.277108e-14,8.635453e-14
MG W-cycle,23,11,1.386000e-03,1.521986e-14,4.380350e-14
MG W-cycle,31,11,1.542000e-03,7.635287e-15,2.644933e-14
MG W-cycle,47,11,4.557000e-03,3.125165e-15,1.254422e-14
MG W-cycle,63,11,2.807000e-03,1.793808e-15,7.285405e-15
MG W-cycle,95,11,6.837000e-03,8.973432e-16,4.178081e-15
MG W-cycle,127,11,6.945000e-03,5.881832e-16,3.125972e-15
