Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,306,3.758000e-03,2.953815e-04,5.717083e-04
Jacobi,23,697,1.163700e-02,1.319268e-04,2.556500e-04
Jacobi,31,1245,2.725480e-01,7.433227e-05,1.438534e-04
Jacobi,47,2808,2.966700e-02,3.307519e-05,6.408442e-05
Jacobi,63,4996,7.263400e-02,1.861233e-05,3.615083e-05
Jacobi,95,11247,1.326270e-01,8.274526e-06,1.608248e-05
Jacobi,127,19996,4.269620e-01,4.654884e-06,9.044162e-06
RB GS,15,156,1.503120e-01,2.953815e-04,5.717083e-04
RB GS,23,354,5.319000e-03,1.319268e-04,2.556500e-04
RB GS,31,632,7.731000e-03,7.433227e-05,1.438534e-04
RB GS,47,1425,4.487000e-02,3.307519e-05,6.408442e-05
RB GS,63,2535,3.645100e-02,1.861233e-05,3.615084e-05
RB GS,95,5705,3.921790e-01,8.274529e-06,1.608248e-05
RB GS,127,10142,5.221630e-01,4.654887e-06,9.044168e-06
RB SOR,15,67,7.370000e-04,2.953815e-04,5.717083e-04
RB SOR,23,102,1.370000e-03,1.319268e-04,2.556500e-04
RB SOR,31,138,1.735000e-03,7.433228e-05,1.438535e-04
RB SOR,47,213,2.796000e-03,3.307520e-05,6.408444e-05
RB SOR,63,286,4.046000e-03,1.861234e-05,3.615085e-05
RB SOR,95,439,3.223160e-01,8.274537e-06,1.608250e-05
RB SOR,127,592,1.244400e-02,4.654896e-06,9.044184e-06
MG V-cycle,15,11,3.284200e-02,2.953815e-04,5.717083e-04
MG V-cycle,23,13,1.212000e-03,1.319268e-04,2.556500e-04
MG V-cycle,31,13,2.071340e-01,7.433228e-05,1.438535e-04
MG V-cycle,47,14,1.945000e-03,3.307520e-05,6.408444e-05
MG V-cycle,63,15,2.232000e-03,1.861234e-05,3.615085e-05
MG V-cycle,95,15,3.038000e-03,8.274537e-06,1.608250e-05
MG V-cycle,127,16,3.755000e-03,4.654896e-06,9.044184e-06
MG W-cycle,15,11,1.100000e-03,2.953815e-04,5.717083e-04
MG W-cycle,23,11,2.694000e-03,1.319268e-04,2.556500e-04
MG W-cycle,31,11,3.888000e-03,7.433228e-05,1.438535e-04
MG W-cycle,47,12,6.417000e-03,3.307520e-05,6.408444e-05
MG W-cycle,63,12,6.040000e-03,1.861234e-05,3.615085e-05
MG W-cycle,95,12,1.515700e-01,8.274538e-06,1.608250e-05
MG W-cycle,127,12,1.563200e-02,4.654896e-06,9.044184e-06
