Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1292,5.293000e-03,7.711183e-05,1.399548e-04
Jacobi,23,2915,1.266900e-02,3.434558e-05,6.235898e-05
Jacobi,31,5186,1.768100e-02,1.933381e-05,3.508528e-05
Jacobi,47,11673,4.732600e-02,8.597358e-06,1.560909e-05
Jacobi,63,20752,8.540800e-02,4.836899e-06,8.785548e-06
Jacobi,95,46691,2.815120e-01,2.150001e-06,3.905402e-06
Jacobi,127,50000,3.878320e-01,5.678201e-07,1.078048e-06
RB GS,15,656,2.891000e-03,7.711184e-05,1.399549e-04
RB GS,23,1478,7.461000e-03,3.434558e-05,6.235900e-05
RB GS,31,2629,1.163600e-02,1.933382e-05,3.508530e-05
RB GS,47,5918,2.794000e-02,8.597367e-06,1.560910e-05
RB GS,63,10520,5.272900e-02,4.836908e-06,8.785565e-06
RB GS,95,23668,1.759480e-01,2.150010e-06,3.905420e-06
RB GS,127,42074,4.516990e-01,1.209427e-06,2.196743e-06
RB SOR,15,78,3.240000e-04,7.711186e-05,1.399549e-04
RB SOR,23,119,5.970000e-04,3.434560e-05,6.235904e-05
RB SOR,31,161,7.620000e-04,1.933384e-05,3.508534e-05
RB SOR,47,244,1.542000e-03,8.597388e-06,1.560914e-05
RB SOR,63,328,2.500000e-03,4.836930e-06,8.785606e-06
RB SOR,95,499,7.852000e-03,2.150032e-06,3.905462e-06
RB SOR,127,671,1.645300e-02,1.209449e-06,2.196785e-06
MG V-cycle,15,14,5.720000e-04,7.711186e-05,1.399549e-04
MG V-cycle,23,16,1.150000e-03,3.434560e-05,6.235904e-05
MG V-cycle,31,15,8.740000e-04,1.933384e-05,3.508534e-05
MG V-cycle,47,16,1.213000e-03,8.597388e-06,1.560914e-05
MG V-cycle,63,16,1.257000e-03,4.836930e-06,8.785607e-06
MG V-cycle,95,17,2.084000e-03,2.150032e-06,3.905463e-06
MG V-cycle,127,17,2.928000e-03,1.209449e-06,2.196785e-06
MG W-cycle,15,12,5.920000e-04,7.711186e-05,1.399549e-04
MG W-cycle,23,12,1.331000e-03,3.434561e-05,6.235904e-05
MG W-cycle,31,12,1.559000e-03,1.933384e-05,3.508534e-05
MG W-cycle,47,12,3.324000e-03,8.597389e-06,1.560914e-05
MG W-cycle,63,12,3.860000e-03,4.836930e-06,8.785608e-06
MG W-cycle,95,13,7.522000e-03,2.150032e-06,3.905463e-06
MG W-cycle,127,13,8.159000e-03,1.209449e-06,2.196785e-06
