Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,177,5.355000e-03,1.214909e-02,2.429817e-02
Jacobi,23,407,5.058000e-03,5.359167e-03,1.071833e-02
Jacobi,31,728,7.353000e-03,3.006631e-03,6.013262e-03
Jacobi,47,1647,1.791800e-02,1.333781e-03,2.667561e-03
Jacobi,63,2934,9.861600e-02,7.497604e-04,1.499521e-03
Jacobi,95,6609,7.996100e-02,3.330710e-04,6.661420e-04
Jacobi,127,11755,2.301580e-01,1.873218e-04,3.746435e-04
RB GS,15,90,1.865390e-01,1.214909e-02,2.429817e-02
RB GS,23,207,2.528000e-03,5.359167e-03,1.071833e-02
RB GS,31,370,1.457600e-02,3.006631e-03,6.013262e-03
RB GS,47,837,1.273600e-02,1.333781e-03,2.667561e-03
RB GS,63,1489,2.103600e-02,7.497604e-04,1.499521e-03
RB GS,95,3355,4.948100e-02,3.330710e-04,6.661420e-04
RB GS,127,5966,1.958150e-01,1.873218e-04,3.746435e-04
RB SOR,15,61,6.650000e-04,1.214909e-02,2.429817e-02
RB SOR,23,92,1.549000e-03,5.359167e-03,1.071833e-02
RB SOR,31,123,1.387000e-03,3.006631e-03,6.013262e-03
RB SOR,47,184,2.234000e-03,1.333781e-03,2.667561e-03
RB SOR,63,245,3.319000e-03,7.497604e-04,1.499521e-03
RB SOR,95,368,6.220000e-03,3.330710e-04,6.661421e-04
RB SOR,127,491,1.101300e-02,1.873218e-04,3.746436e-04
MG V-cycle,15,11,9.203600e-02,1.214909e-02,2.429817e-02
MG V-cycle,23,12,2.357000e-03,5.359167e-03,1.071833e-02
MG V-cycle,31,12,1.260000e-03,3.006631e-03,6.013262e-03
MG V-cycle,47,13,2.071000e-03,1.333781e-03,2.667561e-03
MG V-cycle,63,13,4.745000e-03,7.497604e-04,1.499521e-03
MG V-cycle,95,14,2.572000e-03,3.330710e-04,6.661421e-04
MG V-cycle,127,14,3.388000e-03,1.873218e-04,3.746436e-04
MG W-cycle,15,10,2.908500e-02,1.214909e-02,2.429817e-02
MG W-cycle,23,10,3.371000e-03,5.359167e-03,1.071833e-02
MG W-cycle,31,10,2.278000e-03,3.006631e-03,6.013262e-03
MG W-cycle,47,10,4.731000e-03,1.333781e-03,2.667561e-03
MG W-cycle,63,10,6.413000e-03,7.497604e-04,1.499521e-03
MG W-cycle,95,10,1.413900e-02,3.330710e-04,6.661421e-04
MG W-cycle,127,10,1.692300e-02,1.873218e-04,3.746436e-04
