Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1187,3.645000e-03,1.609482e-03,3.218964e-03
Jacobi,23,2680,1.112800e-02,7.145591e-04,1.429118e-03
Jacobi,31,4771,1.619200e-02,4.017888e-04,8.035776e-04
Jacobi,47,10743,4.775700e-02,1.785250e-04,3.570499e-04
Jacobi,63,19105,9.015900e-02,1.004109e-04,2.008217e-04
Jacobi,95,42995,2.609150e-01,4.462403e-05,8.924806e-05
Jacobi,127,50000,6.357130e-01,2.495660e-05,4.991320e-05
RB GS,15,603,2.699000e-03,1.609482e-03,3.218964e-03
RB GS,23,1361,6.837000e-03,7.145591e-04,1.429118e-03
RB GS,31,2422,1.321800e-02,4.017888e-04,8.035776e-04
RB GS,47,5453,2.998900e-02,1.785250e-04,3.570499e-04
RB GS,63,9697,6.172100e-02,1.004109e-04,2.008217e-04
RB GS,95,21821,1.823860e-01,4.462405e-05,8.924809e-05
RB GS,127,38796,4.311190e-01,2.510042e-05,5.020085e-05
RB SOR,15,73,3.810000e-04,1.609482e-03,3.218964e-03
RB SOR,23,111,5.460000e-04,7.145592e-04,1.429118e-03
RB SOR,31,150,7.400000e-04,4.017888e-04,8.035777e-04
RB SOR,47,228,1.504000e-03,1.785250e-04,3.570500e-04
RB SOR,63,307,2.430000e-03,1.004109e-04,2.008218e-04
RB SOR,95,467,5.394000e-03,4.462408e-05,8.924816e-05
RB SOR,127,629,9.259000e-03,2.510046e-05,5.020091e-05
MG V-cycle,15,13,6.020000e-04,1.609482e-03,3.218964e-03
MG V-cycle,23,14,8.320000e-04,7.145592e-04,1.429118e-03
MG V-cycle,31,14,8.500000e-04,4.017888e-04,8.035777e-04
MG V-cycle,47,15,1.143000e-03,1.785250e-04,3.570500e-04
MG V-cycle,63,15,1.633000e-03,1.004109e-04,2.008218e-04
MG V-cycle,95,16,2.219000e-03,4.462408e-05,8.924816e-05
MG V-cycle,127,16,2.695000e-03,2.510046e-05,5.020092e-05
MG W-cycle,15,11,5.950000e-04,1.609482e-03,3.218964e-03
MG W-cycle,23,11,1.538000e-03,7.145592e-04,1.429118e-03
MG W-cycle,31,11,1.388000e-03,4.017888e-04,8.035777e-04
MG W-cycle,47,11,2.723000e-03,1.785250e-04,3.570500e-04
MG W-cycle,63,11,3.587000e-03,1.004109e-04,2.008218e-04
MG W-cycle,95,11,5.905000e-03,4.462408e-05,8.924816e-05
MG W-cycle,127,11,6.328000e-03,2.510046e-05,5.020092e-05
