Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,354,7.247000e-03,3.462838e-05,6.926060e-05
Jacobi,23,799,7.149000e-03,3.473707e-05,6.947666e-05
Jacobi,31,1421,1.465900e-02,3.494877e-05,6.989390e-05
Jacobi,47,3197,2.763870e-01,3.517094e-05,7.033348e-05
Jacobi,63,5687,9.658500e-02,3.510836e-05,7.021427e-05
Jacobi,95,12812,1.294700e-01,3.482422e-05,6.972253e-05
Jacobi,127,22903,4.495190e-01,3.305801e-05,6.617978e-05
RB GS,15,186,2.480000e-03,2.465999e-05,4.883856e-05
RB GS,23,420,1.450720e-01,2.452924e-05,4.885346e-05
RB GS,31,747,9.095000e-03,2.462923e-05,4.914403e-05
RB GS,47,1680,1.228420e-01,2.482572e-05,4.959065e-05
RB GS,63,2986,6.708100e-02,2.491501e-05,4.979968e-05
RB GS,95,6723,1.175810e-01,2.479505e-05,4.964032e-05
RB GS,127,11926,5.732180e-01,2.475848e-05,4.982203e-05
RB SOR,15,30,3.310000e-04,3.063836e-06,6.556511e-06
RB SOR,23,47,6.053400e-02,1.948510e-06,4.092438e-06
RB SOR,31,64,7.810000e-04,1.549556e-06,3.214926e-06
RB SOR,47,98,1.221000e-03,1.221355e-06,2.488080e-06
RB SOR,63,134,3.768200e-02,9.186710e-07,1.888722e-06
RB SOR,95,210,2.694000e-03,4.763009e-07,1.057063e-06
RB SOR,127,308,5.351000e-03,2.681761e-07,5.960464e-07
MG V-cycle,15,5,4.517500e-02,1.485604e-06,2.147630e-06
MG V-cycle,23,5,2.631500e-01,3.191732e-06,4.400511e-06
MG V-cycle,31,6,4.721000e-03,3.157248e-07,5.029142e-07
MG V-cycle,47,6,1.473000e-03,5.978415e-07,8.772139e-07
MG V-cycle,63,6,4.890900e-02,3.838784e-07,6.649643e-07
MG V-cycle,95,7,1.310000e-03,7.460763e-08,1.626998e-07
MG V-cycle,127,7,2.360000e-03,6.245633e-08,1.238659e-07
MG W-cycle,15,4,3.880000e-04,1.163064e-06,2.129003e-06
MG W-cycle,23,4,1.133100e-02,5.424008e-07,1.120393e-06
MG W-cycle,31,4,9.700000e-04,3.251524e-07,8.270144e-07
MG W-cycle,47,4,3.989060e-01,1.672836e-07,5.559076e-07
MG W-cycle,63,4,7.066000e-03,1.272854e-07,4.079193e-07
MG W-cycle,95,4,3.869000e-03,6.560931e-08,2.772524e-07
MG W-cycle,127,4,1.418800e-02,4.958558e-08,2.128072e-07
