Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,102,3.360000e-04,1.902187e-04,3.838359e-04
Jacobi,23,232,6.900000e-04,3.405455e-05,9.199372e-05
Jacobi,31,414,1.279000e-03,4.768578e-05,1.079896e-04
Jacobi,47,932,3.344000e-03,8.783710e-05,1.807773e-04
Jacobi,63,1658,7.324000e-03,1.025140e-04,2.078414e-04
Jacobi,95,3733,1.980900e-02,1.126916e-04,2.267957e-04
Jacobi,127,6652,5.664100e-02,1.142096e-04,2.291501e-04
RB GS,15,54,3.950000e-04,2.267143e-04,4.548846e-04
RB GS,23,122,4.860000e-04,5.994469e-05,1.336336e-04
RB GS,31,216,9.930000e-04,2.072481e-05,4.674159e-05
RB GS,47,487,3.416000e-03,5.218946e-05,1.101275e-04
RB GS,63,865,4.168000e-03,6.744072e-05,1.381677e-04
RB GS,95,1946,1.678000e-02,7.795278e-05,1.574799e-04
RB GS,127,3460,3.217100e-02,8.150283e-05,1.637794e-04
RB SOR,15,26,1.080000e-04,2.946890e-04,5.716501e-04
RB SOR,23,40,1.780000e-04,1.268224e-04,2.463844e-04
RB SOR,31,56,2.970000e-04,6.789953e-05,1.362382e-04
RB SOR,47,88,6.120000e-04,3.040639e-05,6.204844e-05
RB SOR,63,123,6.510000e-04,1.855567e-05,3.800167e-05
RB SOR,95,193,2.202000e-03,9.183302e-06,1.835823e-05
RB SOR,127,277,6.299000e-03,5.073622e-06,1.071082e-05
MG V-cycle,15,4,1.320000e-04,2.589218e-04,4.976808e-04
MG V-cycle,23,5,2.430000e-04,1.221655e-04,2.419643e-04
MG V-cycle,31,5,2.880000e-04,6.190001e-05,1.265266e-04
MG V-cycle,47,6,4.160000e-04,3.062541e-05,6.142185e-05
MG V-cycle,63,6,4.570000e-04,1.601364e-05,3.272085e-05
MG V-cycle,95,7,7.040000e-04,8.129050e-06,1.658975e-05
MG V-cycle,127,7,8.690000e-04,4.652453e-06,9.641887e-06
MG W-cycle,15,4,2.100000e-04,2.736778e-04,5.250989e-04
MG W-cycle,23,5,6.660000e-04,1.306864e-04,2.551369e-04
MG W-cycle,31,5,5.590000e-04,7.355736e-05,1.441656e-04
MG W-cycle,47,5,1.180000e-03,3.277469e-05,6.447421e-05
MG W-cycle,63,5,1.224000e-03,1.849976e-05,3.645623e-05
MG W-cycle,95,5,2.539000e-03,8.274352e-06,1.647054e-05
MG W-cycle,127,6,3.661000e-03,4.503917e-06,9.459126e-06
