Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,53,4.870000e-04,1.164088e-02,2.328193e-02
Jacobi,23,122,2.392700e-02,4.857044e-03,9.714127e-03
Jacobi,31,219,1.970000e-03,2.513521e-03,5.027294e-03
Jacobi,47,495,6.554000e-03,8.390470e-04,1.678228e-03
Jacobi,63,880,1.092700e-02,2.491145e-04,4.980564e-04
Jacobi,95,1983,2.660510e-01,1.665398e-04,3.329515e-04
Jacobi,127,3527,4.995970e-01,3.119652e-04,6.237636e-04
RB GS,15,29,1.949400e-02,1.186599e-02,2.376902e-02
RB GS,23,65,8.165900e-02,5.030790e-03,1.008022e-02
RB GS,31,115,2.245590e-01,2.652880e-03,5.317092e-03
RB GS,47,260,4.585000e-03,9.825139e-04,1.970172e-03
RB GS,63,463,6.076000e-03,3.994534e-04,8.015633e-04
RB GS,95,1042,1.796030e-01,1.896115e-05,3.896312e-05
RB GS,127,1852,3.731100e-02,1.659749e-04,3.325949e-04
RB SOR,15,20,3.050000e-04,1.199954e-02,2.396405e-02
RB SOR,23,30,3.590000e-04,5.213833e-03,1.040101e-02
RB SOR,31,41,4.620000e-04,2.844983e-03,5.692720e-03
RB SOR,47,61,7.930000e-04,1.173280e-03,2.343416e-03
RB SOR,63,82,4.206000e-03,5.881524e-04,1.176834e-03
RB SOR,95,123,1.532000e-03,1.715389e-04,3.442764e-04
RB SOR,127,164,2.751000e-03,2.600037e-05,5.352497e-05
MG V-cycle,15,3,6.821400e-02,1.193374e-02,2.423728e-02
MG V-cycle,23,4,1.675500e-02,5.319689e-03,1.071596e-02
MG V-cycle,31,4,2.446590e-01,2.954284e-03,6.008625e-03
MG V-cycle,47,5,7.680000e-04,1.326080e-03,2.668977e-03
MG V-cycle,63,5,2.109300e-02,7.413585e-04,1.500964e-03
MG V-cycle,95,5,8.580000e-04,3.245225e-04,6.663799e-04
MG V-cycle,127,6,2.265000e-03,1.862855e-04,3.747940e-04
MG W-cycle,15,3,4.540000e-04,1.194847e-02,2.415752e-02
MG W-cycle,23,4,3.688500e-02,5.348928e-03,1.071715e-02
MG W-cycle,31,4,2.120000e-03,3.002056e-03,6.013989e-03
MG W-cycle,47,4,2.271000e-03,1.332633e-03,2.668738e-03
MG W-cycle,63,4,5.979000e-02,7.493104e-04,1.499891e-03
MG W-cycle,95,4,7.257000e-03,3.330968e-04,6.673336e-04
MG W-cycle,127,4,5.441000e-03,1.873808e-04,3.758063e-04
