Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,73,5.580000e-04,5.400802e-14,1.635116e-13
RB SOR 3D,31,150,6.787000e-03,2.872077e-14,8.497543e-14
RB SOR 3D,47,228,1.594800e-02,2.021582e-14,5.890080e-14
RB SOR 3D,63,307,4.320200e-02,1.547478e-14,4.463964e-14
RB SOR 3D,79,386,1.016220e-01,1.327506e-14,3.805116e-14
RB SOR 3D,95,467,2.429790e-01,1.071896e-14,3.053287e-14
RB SOR 3D,111,547,3.653150e-01,9.814210e-15,2.781109e-14
RB SOR 3D,127,628,7.452250e-01,8.912535e-15,2.515002e-14
RB SOR 3D,143,709,1.593188e+00,8.405593e-15,2.362346e-14
RB SOR 3D,159,791,2.848516e+00,7.892185e-15,2.203619e-14
"MG 3D(v, nu=3, w=1.25)",15,7,5.420000e-04,1.005137e-14,2.810252e-14
"MG 3D(v, nu=3, w=1.25)",31,7,1.577000e-03,2.745737e-14,7.745540e-14
"MG 3D(v, nu=3, w=1.25)",47,7,3.419000e-03,2.411901e-14,6.818678e-14
"MG 3D(v, nu=3, w=1.25)",63,7,9.163000e-03,3.483861e-14,9.847678e-14
"MG 3D(v, nu=3, w=1.25)",95,7,1.974500e-02,2.696581e-14,7.631222e-14
"MG 3D(v, nu=3, w=1.25)",127,7,6.777300e-02,3.694436e-14,1.045084e-13
"MG 3D(v, nu=3, w=1.25)",191,7,4.913740e-01,2.773707e-14,7.854654e-14
"MG 3D(v, nu=3, w=1.25)",255,7,1.167412e+00,3.747728e-14,1.060072e-13
"MG 3D(v, nu=3, w=1.25)",319,7,2.254460e+00,4.226281e-14,1.195676e-13
"MG 3D(v, nu=3, w=1.25)",383,7,4.381812e+00,2.789551e-14,7.894206e-14
"MG 3D(v, nu=3, w=auto)",15,13,9.960000e-04,1.002945e-13,2.927207e-13
"MG 3D(v, nu=3, w=auto)",31,20,4.153000e-03,7.210945e-12,1.899821e-11
"MG 3D(v, nu=3, w=auto)",47,20,1.064800e-02,8.769015e-09,2.284939e-08
"MG 3D(v, nu=3, w=auto)",63,20,2.082300e-02,6.657837e-08,1.652201e-07
"MG 3D(v, nu=3, w=auto)",95,20,5.181200e-02,4.995515e-06,1.291801e-05
"MG 3D(v, nu=3, w=auto)",127,20,1.809080e-01,8.103635e-06,1.931152e-05
"MG 3D(v, nu=3, w=auto)",191,20,1.222320e+00,1.271912e-04,3.249004e-04
"MG 3D(v, nu=3, w=auto)",255,20,3.129387e+00,9.482238e-05,2.187321e-04
"MG 3D(v, nu=3, w=auto)",319,20,6.259154e+00,2.713206e-04,6.742071e-04
"MG 3D(v, nu=3, w=auto)",383,20,1.196349e+01,6.459297e-04,1.640217e-03
"MG 3D(w, nu=3, w=1.25)",15,6,1.068000e-03,3.747254e-14,1.064825e-13
"MG 3D(w, nu=3, w=1.25)",31,5,2.208000e-03,2.153857e-14,5.367234e-14
"MG 3D(w, nu=3, w=1.25)",47,5,5.153000e-03,1.372741e-15,5.158851e-15
"MG 3D(w, nu=3, w=1.25)",63,5,8.611000e-03,2.437818e-16,1.114126e-15
"MG 3D(w, nu=3, w=1.25)",95,4,2.054600e-02,4.560932e-15,1.886360e-14
"MG 3D(w, nu=3, w=1.25)",127,4,5.168000e-02,1.139547e-15,5.672979e-15
"MG 3D(w, nu=3, w=1.25)",191,4,2.719140e-01,2.552975e-16,1.282069e-15
"MG 3D(w, nu=3, w=1.25)",255,4,6.840730e-01,1.124669e-16,7.033219e-16
"MG 3D(w, nu=3, w=1.25)",319,4,1.459941e+00,3.146329e-16,8.482798e-16
"MG 3D(w, nu=3, w=1.25)",383,4,2.787295e+00,7.506953e-16,1.743397e-15
"MG 3D(w, nu=3, w=auto)",15,11,1.140000e-03,2.101685e-13,6.238274e-13
"MG 3D(w, nu=3, w=auto)",31,20,8.130000e-03,5.155333e-15,1.755020e-14
"MG 3D(w, nu=3, w=auto)",47,20,1.858600e-02,6.248921e-12,3.302448e-11
"MG 3D(w, nu=3, w=auto)",63,20,2.849300e-02,1.817772e-10,7.850746e-10
"MG 3D(w, nu=3, w=auto)",95,20,7.599500e-02,2.832415e-09,1.052374e-08
"MG 3D(w, nu=3, w=auto)",127,20,1.873040e-01,9.931990e-09,5.137311e-08
"MG 3D(w, nu=3, w=auto)",191,20,1.322067e+00,5.816085e-08,4.448054e-07
"MG 3D(w, nu=3, w=auto)",255,20,3.455460e+00,8.577793e-08,4.991298e-07
"MG 3D(w, nu=3, w=auto)",319,20,6.804116e+00,1.806438e-07,9.932250e-07
"MG 3D(w, nu=3, w=auto)",383,20,1.340158e+01,3.900864e-07,1.624413e-06
