Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,78,8.510000e-04,1.196900e-04,2.822351e-04
RB SOR 3D,31,160,7.883000e-03,3.009750e-05,7.114304e-05
RB SOR 3D,47,243,1.530800e-02,1.339099e-05,3.168567e-05
RB SOR 3D,63,327,4.942400e-02,7.535250e-06,1.782635e-05
RB SOR 3D,79,411,1.096710e-01,4.823394e-06,1.141042e-05
RB SOR 3D,95,496,2.279520e-01,3.349893e-06,7.926261e-06
RB SOR 3D,111,582,3.082240e-01,2.461285e-06,5.823449e-06
RB SOR 3D,127,668,7.670860e-01,1.884490e-06,4.458498e-06
RB SOR 3D,143,755,1.673980e+00,1.489017e-06,3.523180e-06
RB SOR 3D,159,842,3.057270e+00,1.206125e-06,2.853790e-06
"MG 3D(v, nu=3, w=1.25)",15,7,5.310000e-04,1.196900e-04,2.822351e-04
"MG 3D(v, nu=3, w=1.25)",31,7,2.260000e-03,3.009749e-05,7.114301e-05
"MG 3D(v, nu=3, w=1.25)",47,7,7.782000e-03,1.339098e-05,3.168563e-05
"MG 3D(v, nu=3, w=1.25)",63,7,7.847000e-03,7.535232e-06,1.782630e-05
"MG 3D(v, nu=3, w=1.25)",95,7,2.597200e-02,3.349879e-06,7.926221e-06
"MG 3D(v, nu=3, w=1.25)",127,8,7.273600e-02,1.884491e-06,4.458500e-06
"MG 3D(v, nu=3, w=1.25)",191,8,5.165620e-01,8.376072e-07,1.981868e-06
"MG 3D(v, nu=3, w=1.25)",255,8,1.242662e+00,4.711647e-07,1.114827e-06
"MG 3D(v, nu=3, w=1.25)",319,8,2.580055e+00,3.015481e-07,7.134857e-07
"MG 3D(v, nu=3, w=1.25)",383,8,4.954424e+00,2.094089e-07,4.954830e-07
"MG 3D(v, nu=3, w=auto)",15,14,1.060000e-03,1.196900e-04,2.822351e-04
"MG 3D(v, nu=3, w=auto)",31,20,5.154000e-03,3.009224e-05,7.112628e-05
"MG 3D(v, nu=3, w=auto)",47,20,1.034200e-02,8.142157e-06,2.804482e-05
"MG 3D(v, nu=3, w=auto)",63,20,2.039700e-02,1.042207e-04,4.266571e-04
"MG 3D(v, nu=3, w=auto)",95,20,6.586700e-02,3.959096e-03,1.312719e-02
"MG 3D(v, nu=3, w=auto)",127,20,1.762260e-01,1.553732e-02,7.312153e-02
"MG 3D(v, nu=3, w=auto)",191,20,1.337700e+00,1.068687e-01,4.199382e-01
"MG 3D(v, nu=3, w=auto)",255,20,3.164537e+00,1.869958e-01,1.033453e+00
"MG 3D(v, nu=3, w=auto)",319,20,6.412661e+00,3.198612e-01,1.776189e+00
"MG 3D(v, nu=3, w=auto)",383,20,1.209901e+01,5.575645e-01,2.557375e+00
"MG 3D(w, nu=3, w=1.25)",15,7,1.080000e-03,1.196900e-04,2.822351e-04
"MG 3D(w, nu=3, w=1.25)",31,7,2.935000e-03,3.009750e-05,7.114305e-05
"MG 3D(w, nu=3, w=1.25)",47,7,6.622000e-03,1.339099e-05,3.168567e-05
"MG 3D(w, nu=3, w=1.25)",63,7,1.103100e-02,7.535252e-06,1.782635e-05
"MG 3D(w, nu=3, w=1.25)",95,7,3.461400e-02,3.349895e-06,7.926264e-06
"MG 3D(w, nu=3, w=1.25)",127,7,8.570400e-02,1.884492e-06,4.458501e-06
"MG 3D(w, nu=3, w=1.25)",191,7,4.816720e-01,8.376075e-07,1.981869e-06
"MG 3D(w, nu=3, w=1.25)",255,7,1.263348e+00,4.711649e-07,1.114827e-06
"MG 3D(w, nu=3, w=1.25)",319,7,2.489830e+00,3.015485e-07,7.134862e-07
"MG 3D(w, nu=3, w=1.25)",383,7,4.824045e+00,2.094095e-07,4.954840e-07
"MG 3D(w, nu=3, w=auto)",15,13,1.225000e-03,1.196900e-04,2.822351e-04
"MG 3D(w, nu=3, w=auto)",31,20,6.318000e-03,3.009748e-05,7.114389e-05
"MG 3D(w, nu=3, w=auto)",47,20,1.625700e-02,1.338458e-05,3.124921e-05
"MG 3D(w, nu=3, w=auto)",63,20,2.802500e-02,1.355483e-05,1.155234e-04
"MG 3D(w, nu=3, w=auto)",95,20,7.711400e-02,3.713817e-04,4.959376e-03
"MG 3D(w, nu=3, w=auto)",127,20,2.103460e-01,2.059007e-03,3.437958e-02
"MG 3D(w, nu=3, w=auto)",191,20,1.378179e+00,1.174730e-02,2.489427e-01
"MG 3D(w, nu=3, w=auto)",255,20,3.392861e+00,2.697626e-02,6.714862e-01
"MG 3D(w, nu=3, w=auto)",319,20,6.836652e+00,4.409312e-02,1.217620e+00
"MG 3D(w, nu=3, w=auto)",383,20,1.303807e+01,6.039556e-02,1.807617e+00
