Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,60,4.490000e-04,1.412551e-02,3.995298e-02
RB SOR 3D,31,124,3.303000e-03,3.475092e-03,9.829044e-03
RB SOR 3D,47,187,1.355100e-02,1.539914e-03,4.355535e-03
RB SOR 3D,63,239,3.409800e-02,8.653042e-04,2.447450e-03
RB SOR 3D,79,299,8.695700e-02,5.535291e-04,1.565617e-03
RB SOR 3D,95,374,1.682970e-01,3.842951e-04,1.086951e-03
RB SOR 3D,111,437,3.270750e-01,2.822949e-04,7.984506e-04
RB SOR 3D,127,478,5.958800e-01,2.161100e-04,6.112513e-04
RB SOR 3D,143,538,1.106029e+00,1.707416e-04,4.829303e-04
RB SOR 3D,159,598,2.521862e+00,1.382938e-04,3.911539e-04
"MG 3D(v, nu=3, w=1.25)",15,4,3.240000e-04,1.412551e-02,3.995298e-02
"MG 3D(v, nu=3, w=1.25)",31,6,1.177000e-03,3.475092e-03,9.829044e-03
"MG 3D(v, nu=3, w=1.25)",47,6,3.660000e-03,1.539914e-03,4.355535e-03
"MG 3D(v, nu=3, w=1.25)",63,7,7.905000e-03,8.653042e-04,2.447450e-03
"MG 3D(v, nu=3, w=1.25)",95,7,3.044200e-02,3.842951e-04,1.086951e-03
"MG 3D(v, nu=3, w=1.25)",127,7,8.098500e-02,2.161100e-04,6.112514e-04
"MG 3D(v, nu=3, w=1.25)",191,7,5.032680e-01,9.603113e-05,2.716170e-04
"MG 3D(v, nu=3, w=1.25)",255,7,1.141499e+00,5.401401e-05,1.527747e-04
"MG 3D(v, nu=3, w=1.25)",319,7,2.324457e+00,3.456793e-05,9.777287e-05
"MG 3D(v, nu=3, w=1.25)",383,7,4.307157e+00,2.400512e-05,6.789672e-05
"MG 3D(v, nu=3, w=auto)",15,10,8.430000e-04,1.412551e-02,3.995298e-02
"MG 3D(v, nu=3, w=auto)",31,19,4.667000e-03,3.475092e-03,9.829044e-03
"MG 3D(v, nu=3, w=auto)",47,20,9.702000e-03,1.539817e-03,4.355267e-03
"MG 3D(v, nu=3, w=auto)",63,20,2.034200e-02,8.571689e-04,2.423350e-03
"MG 3D(v, nu=3, w=auto)",95,20,5.782500e-02,2.045529e-04,5.854814e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.782770e-01,9.204025e-04,2.748320e-03
"MG 3D(v, nu=3, w=auto)",191,20,1.327400e+00,4.908360e-03,1.454878e-02
"MG 3D(v, nu=3, w=auto)",255,20,3.260171e+00,1.197169e-02,3.566920e-02
"MG 3D(v, nu=3, w=auto)",319,20,6.347204e+00,2.379366e-02,6.898050e-02
"MG 3D(v, nu=3, w=auto)",383,20,1.251060e+01,2.724832e-02,7.932569e-02
"MG 3D(w, nu=3, w=1.25)",15,4,3.810000e-04,1.412551e-02,3.995298e-02
"MG 3D(w, nu=3, w=1.25)",31,6,2.362000e-03,3.475092e-03,9.829044e-03
"MG 3D(w, nu=3, w=1.25)",47,6,7.272000e-03,1.539914e-03,4.355535e-03
"MG 3D(w, nu=3, w=1.25)",63,6,9.136000e-03,8.653042e-04,2.447450e-03
"MG 3D(w, nu=3, w=1.25)",95,5,2.354500e-02,3.842951e-04,1.086951e-03
"MG 3D(w, nu=3, w=1.25)",127,5,6.183200e-02,2.161100e-04,6.112514e-04
"MG 3D(w, nu=3, w=1.25)",191,4,3.067410e-01,9.603113e-05,2.716170e-04
"MG 3D(w, nu=3, w=1.25)",255,4,7.771310e-01,5.401401e-05,1.527747e-04
"MG 3D(w, nu=3, w=1.25)",319,4,1.457802e+00,3.456793e-05,9.777287e-05
"MG 3D(w, nu=3, w=1.25)",383,4,2.745308e+00,2.400512e-05,6.789672e-05
"MG 3D(w, nu=3, w=auto)",15,10,1.205000e-03,1.412551e-02,3.995298e-02
"MG 3D(w, nu=3, w=auto)",31,19,6.476000e-03,3.475092e-03,9.829044e-03
"MG 3D(w, nu=3, w=auto)",47,20,1.815000e-02,1.539892e-03,4.355472e-03
"MG 3D(w, nu=3, w=auto)",63,20,3.087900e-02,8.652963e-04,2.447571e-03
"MG 3D(w, nu=3, w=auto)",95,20,8.865500e-02,3.844420e-04,1.088428e-03
"MG 3D(w, nu=3, w=auto)",127,20,2.050950e-01,2.164247e-04,6.350444e-04
"MG 3D(w, nu=3, w=auto)",191,20,1.384334e+00,1.006084e-04,3.970820e-04
"MG 3D(w, nu=3, w=auto)",255,20,3.382480e+00,6.280318e-05,2.658097e-04
"MG 3D(w, nu=3, w=auto)",319,20,7.018629e+00,4.057729e-05,1.796737e-04
"MG 3D(w, nu=3, w=auto)",383,20,1.381857e+01,1.313317e-04,6.336724e-04
