Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,73,5.210000e-04,1.138076e-03,3.218964e-03
RB SOR 3D,31,150,4.339000e-03,2.841076e-04,8.035777e-04
RB SOR 3D,47,228,1.903100e-02,1.262362e-04,3.570500e-04
RB SOR 3D,63,307,4.716500e-02,7.100123e-05,2.008218e-04
RB SOR 3D,79,387,1.168540e-01,4.543882e-05,1.285204e-04
RB SOR 3D,95,467,2.368990e-01,3.155399e-05,8.924816e-05
RB SOR 3D,111,548,5.071160e-01,2.318219e-05,6.556915e-05
RB SOR 3D,127,629,8.843010e-01,1.774870e-05,5.020091e-05
RB SOR 3D,143,710,1.684207e+00,1.402358e-05,3.966467e-05
RB SOR 3D,159,792,3.256280e+00,1.135905e-05,3.212824e-05
"MG 3D(v, nu=3, w=1.25)",15,7,5.180000e-04,1.138076e-03,3.218964e-03
"MG 3D(v, nu=3, w=1.25)",31,7,1.387000e-03,2.841076e-04,8.035777e-04
"MG 3D(v, nu=3, w=1.25)",47,7,5.900000e-03,1.262362e-04,3.570500e-04
"MG 3D(v, nu=3, w=1.25)",63,7,8.905000e-03,7.100123e-05,2.008218e-04
"MG 3D(v, nu=3, w=1.25)",95,7,2.588500e-02,3.155399e-05,8.924816e-05
"MG 3D(v, nu=3, w=1.25)",127,7,7.267600e-02,1.774870e-05,5.020091e-05
"MG 3D(v, nu=3, w=1.25)",191,7,4.554130e-01,7.888179e-06,2.231114e-05
"MG 3D(v, nu=3, w=1.25)",255,7,1.111891e+00,4.437074e-06,1.254994e-05
"MG 3D(v, nu=3, w=1.25)",319,7,2.409518e+00,2.839718e-06,8.031936e-06
"MG 3D(v, nu=3, w=1.25)",383,7,4.221661e+00,1.972024e-06,5.577726e-06
"MG 3D(v, nu=3, w=auto)",15,13,1.002000e-03,1.138076e-03,3.218964e-03
"MG 3D(v, nu=3, w=auto)",31,20,3.812000e-03,2.841072e-04,8.035765e-04
"MG 3D(v, nu=3, w=auto)",47,20,1.113800e-02,1.257263e-04,3.555994e-04
"MG 3D(v, nu=3, w=auto)",63,20,2.053700e-02,6.715804e-05,1.899055e-04
"MG 3D(v, nu=3, w=auto)",95,20,5.990200e-02,2.587782e-04,7.365719e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.786780e-01,4.494532e-04,1.285157e-03
"MG 3D(v, nu=3, w=auto)",191,20,1.410923e+00,7.381181e-03,2.096288e-02
"MG 3D(v, nu=3, w=auto)",255,20,3.227623e+00,5.456043e-03,1.545992e-02
"MG 3D(v, nu=3, w=auto)",319,20,6.416227e+00,1.572206e-02,4.452763e-02
"MG 3D(v, nu=3, w=auto)",383,20,1.218143e+01,3.751392e-02,1.060910e-01
"MG 3D(w, nu=3, w=1.25)",15,6,7.790000e-04,1.138076e-03,3.218964e-03
"MG 3D(w, nu=3, w=1.25)",31,5,2.473000e-03,2.841076e-04,8.035777e-04
"MG 3D(w, nu=3, w=1.25)",47,5,4.263000e-03,1.262362e-04,3.570500e-04
"MG 3D(w, nu=3, w=1.25)",63,4,7.036000e-03,7.100123e-05,2.008218e-04
"MG 3D(w, nu=3, w=1.25)",95,4,2.324600e-02,3.155399e-05,8.924816e-05
"MG 3D(w, nu=3, w=1.25)",127,4,4.862600e-02,1.774870e-05,5.020092e-05
"MG 3D(w, nu=3, w=1.25)",191,4,2.827430e-01,7.888181e-06,2.231114e-05
"MG 3D(w, nu=3, w=1.25)",255,4,7.501430e-01,4.437076e-06,1.254995e-05
"MG 3D(w, nu=3, w=1.25)",319,4,1.521574e+00,2.839721e-06,8.031943e-06
"MG 3D(w, nu=3, w=1.25)",383,4,3.052356e+00,1.972025e-06,5.577730e-06
"MG 3D(w, nu=3, w=auto)",15,11,1.210000e-03,1.138076e-03,3.218964e-03
"MG 3D(w, nu=3, w=auto)",31,20,7.300000e-03,2.841076e-04,8.035777e-04
"MG 3D(w, nu=3, w=auto)",47,20,1.863200e-02,1.262363e-04,3.570510e-04
"MG 3D(w, nu=3, w=auto)",63,20,2.873100e-02,7.100214e-05,2.008431e-04
"MG 3D(w, nu=3, w=auto)",95,20,6.619900e-02,3.157127e-05,8.977631e-05
"MG 3D(w, nu=3, w=auto)",127,20,1.945040e-01,1.784010e-05,5.235014e-05
"MG 3D(w, nu=3, w=auto)",191,20,1.374418e+00,8.788724e-06,2.989690e-05
"MG 3D(w, nu=3, w=auto)",255,20,3.381779e+00,7.148725e-06,3.435142e-05
"MG 3D(w, nu=3, w=auto)",319,20,7.000926e+00,1.246979e-05,6.243329e-05
"MG 3D(w, nu=3, w=auto)",383,20,1.360275e+01,1.978015e-05,1.044157e-04
