Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,305,2.657000e-03,1.826783e-04,4.986566e-04
Jacobi 3D,23,694,8.790000e-03,8.214404e-05,2.213522e-04
Jacobi 3D,31,1238,2.247900e-02,4.638968e-05,1.265027e-04
Jacobi 3D,39,1937,5.794000e-02,2.974325e-05,8.097870e-05
Jacobi 3D,47,2791,1.304740e-01,2.067524e-05,5.638023e-05
Jacobi 3D,55,3801,2.143860e-01,1.519890e-05,4.146724e-05
Jacobi 3D,63,4966,3.715580e-01,1.164108e-05,3.174500e-05
RB GS 3D,15,155,1.142000e-03,1.826783e-04,4.986566e-04
RB GS 3D,23,352,5.232000e-03,8.214404e-05,2.213522e-04
RB GS 3D,31,628,1.204000e-02,4.638968e-05,1.265027e-04
RB GS 3D,39,983,3.416300e-02,2.974325e-05,8.097871e-05
RB GS 3D,47,1416,6.831800e-02,2.067525e-05,5.638024e-05
RB GS 3D,55,1928,1.577280e-01,1.519890e-05,4.146725e-05
RB GS 3D,63,2519,2.936690e-01,1.164108e-05,3.174500e-05
RB SOR 3D,15,67,6.450000e-04,1.826783e-04,4.986566e-04
RB SOR 3D,23,102,1.001000e-03,8.214405e-05,2.213522e-04
RB SOR 3D,31,138,2.205000e-03,4.638968e-05,1.265027e-04
RB SOR 3D,47,212,1.092600e-02,2.067525e-05,5.638025e-05
RB SOR 3D,63,287,2.938700e-02,1.164109e-05,3.174501e-05
RB SOR 3D,79,362,7.617400e-02,7.453623e-06,2.032606e-05
RB SOR 3D,95,438,2.307980e-01,5.177380e-06,1.411881e-05
RB SOR 3D,111,516,3.029380e-01,3.804344e-06,1.038034e-05
RB SOR 3D,127,593,6.987730e-01,2.912976e-06,7.951028e-06
RB SOR 3D,143,671,1.387983e+00,2.301760e-06,6.283903e-06
RB SOR 3D,159,749,2.482389e+00,1.864512e-06,5.090706e-06
MG V-cycle 3D,15,11,5.580000e-04,1.826783e-04,4.986566e-04
MG V-cycle 3D,31,12,1.812000e-03,4.638968e-05,1.265027e-04
MG V-cycle 3D,47,12,5.306000e-03,2.067525e-05,5.638025e-05
MG V-cycle 3D,63,12,1.156200e-02,1.164109e-05,3.174501e-05
MG V-cycle 3D,95,12,2.880000e-02,5.177378e-06,1.411881e-05
MG V-cycle 3D,127,12,8.532900e-02,2.912975e-06,7.951023e-06
MG V-cycle 3D,191,12,6.440210e-01,1.294876e-06,3.535638e-06
MG V-cycle 3D,255,12,1.515268e+00,7.284110e-07,1.988773e-06
MG W-cycle 3D,15,10,9.540000e-04,1.826783e-04,4.986566e-04
MG W-cycle 3D,31,10,2.364000e-03,4.638968e-05,1.265027e-04
MG W-cycle 3D,47,10,6.490000e-03,2.067525e-05,5.638025e-05
MG W-cycle 3D,63,10,1.246700e-02,1.164109e-05,3.174502e-05
MG W-cycle 3D,95,10,3.705800e-02,5.177380e-06,1.411881e-05
MG W-cycle 3D,127,10,8.874500e-02,2.912976e-06,7.951028e-06
MG W-cycle 3D,191,10,5.523270e-01,1.294878e-06,3.535643e-06
MG W-cycle 3D,255,11,1.547770e+00,7.284125e-07,1.988778e-06
