Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1286,1.095100e-02,1.196900e-04,2.822350e-04
Jacobi 3D,23,2899,2.516500e-02,5.342622e-05,1.259593e-04
Jacobi 3D,31,5157,8.713900e-02,3.009745e-05,7.114292e-05
Jacobi 3D,39,8058,2.280050e-01,1.927572e-05,4.560156e-05
Jacobi 3D,47,11604,5.183060e-01,1.339094e-05,3.168554e-05
Jacobi 3D,55,15793,1.076794e+00,9.840460e-06,2.328317e-05
Jacobi 3D,63,20628,1.980062e+00,7.535198e-06,1.782622e-05
RB GS 3D,15,652,6.246000e-03,1.196900e-04,2.822350e-04
RB GS 3D,23,1470,2.054300e-02,5.342624e-05,1.259593e-04
RB GS 3D,31,2615,6.747700e-02,3.009747e-05,7.114296e-05
RB GS 3D,39,4086,1.792760e-01,1.927574e-05,4.560160e-05
RB GS 3D,47,5883,3.072900e-01,1.339096e-05,3.168558e-05
RB GS 3D,55,8007,7.438070e-01,9.840475e-06,2.328321e-05
RB GS 3D,63,10458,1.322367e+00,7.535214e-06,1.782626e-05
RB SOR 3D,15,78,5.360000e-04,1.196900e-04,2.822351e-04
RB SOR 3D,23,119,1.217000e-03,5.342627e-05,1.259594e-04
RB SOR 3D,31,160,2.883000e-03,3.009750e-05,7.114304e-05
RB SOR 3D,47,243,1.253800e-02,1.339099e-05,3.168567e-05
RB SOR 3D,63,327,3.989100e-02,7.535250e-06,1.782635e-05
RB SOR 3D,79,411,1.143360e-01,4.823394e-06,1.141042e-05
RB SOR 3D,95,496,2.119990e-01,3.349893e-06,7.926261e-06
RB SOR 3D,111,582,4.459750e-01,2.461285e-06,5.823449e-06
RB SOR 3D,127,668,6.822780e-01,1.884490e-06,4.458498e-06
RB SOR 3D,143,755,1.478984e+00,1.489017e-06,3.523180e-06
RB SOR 3D,159,842,2.775571e+00,1.206125e-06,2.853790e-06
MG V-cycle 3D,15,11,5.930000e-04,1.196900e-04,2.822350e-04
MG V-cycle 3D,31,12,2.184000e-03,3.009750e-05,7.114303e-05
MG V-cycle 3D,47,12,5.035000e-03,1.339097e-05,3.168560e-05
MG V-cycle 3D,63,12,1.054700e-02,7.535245e-06,1.782633e-05
MG V-cycle 3D,95,13,3.236200e-02,3.349891e-06,7.926255e-06
MG V-cycle 3D,127,13,1.027300e-01,1.884491e-06,4.458497e-06
MG V-cycle 3D,191,13,6.472250e-01,8.376038e-07,1.981859e-06
MG V-cycle 3D,255,13,1.619643e+00,4.711639e-07,1.114823e-06
MG W-cycle 3D,15,10,7.370000e-04,1.196900e-04,2.822351e-04
MG W-cycle 3D,31,11,4.490000e-03,3.009750e-05,7.114305e-05
MG W-cycle 3D,47,11,9.921000e-03,1.339099e-05,3.168567e-05
MG W-cycle 3D,63,11,1.255300e-02,7.535252e-06,1.782635e-05
MG W-cycle 3D,95,11,3.972100e-02,3.349894e-06,7.926264e-06
MG W-cycle 3D,127,11,9.654200e-02,1.884491e-06,4.458501e-06
MG W-cycle 3D,191,11,5.880780e-01,8.376073e-07,1.981868e-06
MG W-cycle 3D,255,11,1.462380e+00,4.711647e-07,1.114827e-06
