Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,117,4.780000e-04,1.412551e-02,3.995298e-02
Jacobi 3D,23,272,2.127000e-03,6.203668e-03,1.754662e-02
Jacobi 3D,31,488,8.844000e-03,3.475092e-03,9.829044e-03
Jacobi 3D,39,766,1.982800e-02,2.219790e-03,6.278515e-03
Jacobi 3D,47,1106,5.470300e-02,1.539914e-03,4.355534e-03
Jacobi 3D,55,1508,1.136670e-01,1.130654e-03,3.197973e-03
Jacobi 3D,63,1971,2.154240e-01,8.653042e-04,2.447450e-03
RB GS 3D,15,60,4.150000e-04,1.412551e-02,3.995298e-02
RB GS 3D,23,138,1.408000e-03,6.203668e-03,1.754662e-02
RB GS 3D,31,248,5.656000e-03,3.475092e-03,9.829044e-03
RB GS 3D,39,389,1.695500e-02,2.219790e-03,6.278515e-03
RB GS 3D,47,562,3.576300e-02,1.539914e-03,4.355535e-03
RB GS 3D,55,766,7.554500e-02,1.130654e-03,3.197973e-03
RB GS 3D,63,1001,1.523790e-01,8.653042e-04,2.447450e-03
RB SOR 3D,15,60,3.980000e-04,1.412551e-02,3.995298e-02
RB SOR 3D,23,93,9.540000e-04,6.203668e-03,1.754662e-02
RB SOR 3D,31,124,3.141000e-03,3.475092e-03,9.829044e-03
RB SOR 3D,47,187,1.244600e-02,1.539914e-03,4.355535e-03
RB SOR 3D,63,239,3.722700e-02,8.653042e-04,2.447450e-03
RB SOR 3D,79,299,7.500600e-02,5.535291e-04,1.565617e-03
RB SOR 3D,95,374,1.685730e-01,3.842951e-04,1.086951e-03
RB SOR 3D,111,437,3.127580e-01,2.822949e-04,7.984506e-04
RB SOR 3D,127,478,6.072070e-01,2.161100e-04,6.112513e-04
RB SOR 3D,143,538,1.339361e+00,1.707416e-04,4.829303e-04
RB SOR 3D,159,598,2.191858e+00,1.382938e-04,3.911539e-04
MG V-cycle 3D,15,9,5.780000e-04,1.412551e-02,3.995298e-02
MG V-cycle 3D,31,11,1.660000e-03,3.475092e-03,9.829044e-03
MG V-cycle 3D,47,11,4.404000e-03,1.539914e-03,4.355535e-03
MG V-cycle 3D,63,11,9.749000e-03,8.653042e-04,2.447450e-03
MG V-cycle 3D,95,11,3.313600e-02,3.842951e-04,1.086951e-03
MG V-cycle 3D,127,11,8.836000e-02,2.161100e-04,6.112514e-04
MG V-cycle 3D,191,11,5.506050e-01,9.603111e-05,2.716170e-04
MG V-cycle 3D,255,11,1.377463e+00,5.401400e-05,1.527747e-04
MG W-cycle 3D,15,9,8.400000e-04,1.412551e-02,3.995298e-02
MG W-cycle 3D,31,9,2.123000e-03,3.475092e-03,9.829044e-03
MG W-cycle 3D,47,8,5.131000e-03,1.539914e-03,4.355535e-03
MG W-cycle 3D,63,7,8.266000e-03,8.653042e-04,2.447450e-03
MG W-cycle 3D,95,6,2.510000e-02,3.842951e-04,1.086951e-03
MG W-cycle 3D,127,6,5.488900e-02,2.161100e-04,6.112514e-04
MG W-cycle 3D,191,5,2.822600e-01,9.603113e-05,2.716170e-04
MG W-cycle 3D,255,5,6.921440e-01,5.401401e-05,1.527747e-04
