Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,71,3.732000e-05,1.214909e-02,2.429817e-02
RB SOR,31,143,2.760550e-04,3.006631e-03,6.013262e-03
RB SOR,63,286,2.110238e-03,7.497604e-04,1.499521e-03
RB SOR,127,573,1.764783e-02,1.873218e-04,3.746436e-04
RB SOR,255,1201,1.864892e-01,4.682306e-05,9.364612e-05
RB SOR,511,100000,4.733305e+01,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=1.25)",15,6,1.143340e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=1.25)",31,8,3.188190e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=1.25)",63,8,7.377340e-04,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=1.25)",127,9,2.809009e-03,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=1.25)",255,9,1.010113e-02,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=1.25)",511,10,4.479600e-02,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=auto)",15,12,2.252480e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=auto)",31,26,9.224840e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=auto)",63,56,5.092438e-03,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=auto)",127,113,3.894109e-02,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=auto)",255,200,1.852163e-01,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=auto)",511,200,6.619043e-01,1.156781e-05,2.327146e-05
"MG(w, nu=3, w=1.25)",15,7,2.617200e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=1.25)",31,7,6.234120e-04,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=1.25)",63,7,5.110201e-03,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=1.25)",127,7,7.437776e-03,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=1.25)",255,7,1.667694e-02,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=1.25)",511,7,5.842377e-02,1.170530e-05,2.341061e-05
"MG(w, nu=3, w=auto)",15,12,5.653380e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=auto)",31,26,2.386092e-03,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=auto)",63,48,1.389950e-02,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=auto)",127,99,7.272967e-02,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=auto)",255,198,3.189690e-01,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=auto)",511,200,1.106456e+00,1.170525e-05,2.341024e-05
