Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,73,6.367100e-05,1.609482e-03,3.218964e-03
RB SOR,31,150,2.919230e-04,4.017888e-04,8.035777e-04
RB SOR,63,307,2.326872e-03,1.004109e-04,2.008218e-04
RB SOR,127,629,1.973971e-02,2.510046e-05,5.020091e-05
RB SOR,255,1287,1.776015e-01,6.274972e-06,1.254994e-05
RB SOR,511,2643,1.328077e+00,1.568734e-06,3.137468e-06
"MG(v, nu=3, w=1.25)",15,8,1.020940e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=1.25)",31,8,1.865770e-04,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=1.25)",63,8,4.896270e-04,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=1.25)",127,9,1.887565e-03,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=1.25)",255,9,1.102153e-02,6.274973e-06,1.254995e-05
"MG(v, nu=3, w=1.25)",511,9,4.106619e-02,1.568734e-06,3.137469e-06
"MG(v, nu=3, w=auto)",15,14,2.573720e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=auto)",31,26,1.067502e-03,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=auto)",63,48,4.780852e-03,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=auto)",127,96,3.174174e-02,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=auto)",255,100,1.021624e-01,6.263937e-06,1.281400e-05
"MG(v, nu=3, w=auto)",511,100,3.354258e-01,6.046537e-05,1.832865e-04
"MG(w, nu=3, w=1.25)",15,7,2.516550e-04,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=1.25)",31,7,6.404500e-04,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=1.25)",63,7,1.642039e-03,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=1.25)",127,7,4.717762e-03,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=1.25)",255,7,1.645577e-02,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=1.25)",511,7,5.694629e-02,1.568734e-06,3.137469e-06
"MG(w, nu=3, w=auto)",15,12,4.654100e-04,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=auto)",31,22,2.027640e-03,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=auto)",63,44,1.088989e-02,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=auto)",127,87,6.231162e-02,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=auto)",255,100,1.733886e-01,6.274984e-06,1.254938e-05
"MG(w, nu=3, w=auto)",511,100,5.517883e-01,1.588424e-06,3.663154e-06
