Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,30,2.513200e-05,3.065159e-06,6.567687e-06
RB SOR,31,64,1.902340e-04,1.540357e-06,3.207475e-06
RB SOR,63,135,1.649889e-03,8.251061e-07,1.702458e-06
RB SOR,127,50000,2.443265e+00,4.241189e-07,8.977950e-07
RB SOR,255,50000,9.816930e+00,8.635152e-07,1.748092e-06
RB SOR,511,50000,3.909380e+01,9.751905e-07,1.853390e-06
"MG(v, nu=3, w=1.25)",15,3,6.614700e-05,8.246870e-07,1.221895e-06
"MG(v, nu=3, w=1.25)",31,3,1.602840e-04,1.126569e-06,1.596287e-06
"MG(v, nu=3, w=1.25)",63,4,4.228000e-04,4.274687e-08,6.332994e-08
"MG(v, nu=3, w=1.25)",127,4,1.592464e-03,4.394343e-08,6.612390e-08
"MG(v, nu=3, w=1.25)",255,4,5.297132e-03,4.443184e-08,6.635673e-08
"MG(v, nu=3, w=1.25)",511,100,3.985474e-01,1.780913e-09,1.628359e-08
"MG(v, nu=3, w=auto)",15,5,1.233510e-04,2.775606e-06,6.116927e-06
"MG(v, nu=3, w=auto)",31,10,4.785220e-04,1.320812e-06,2.816319e-06
"MG(v, nu=3, w=auto)",63,19,2.716303e-03,7.823982e-07,1.620501e-06
"MG(v, nu=3, w=auto)",127,100,5.593758e-02,2.246501e-08,1.005828e-07
"MG(v, nu=3, w=auto)",255,100,1.240693e-01,3.341651e-08,1.452863e-07
"MG(v, nu=3, w=auto)",511,100,3.947454e-01,5.494805e-06,1.496218e-05
"MG(w, nu=3, w=1.25)",15,3,1.259630e-04,2.056793e-07,3.483146e-07
"MG(w, nu=3, w=1.25)",31,3,3.254600e-04,5.021849e-08,1.229346e-07
"MG(w, nu=3, w=1.25)",63,3,8.206420e-04,1.399495e-08,4.656613e-08
"MG(w, nu=3, w=1.25)",127,3,2.467180e-03,4.734680e-09,2.374873e-08
"MG(w, nu=3, w=1.25)",255,3,9.869388e-03,2.424956e-09,1.490116e-08
"MG(w, nu=3, w=1.25)",511,100,6.793619e-01,1.775872e-09,1.628359e-08
"MG(w, nu=3, w=auto)",15,5,2.102080e-04,6.901927e-07,1.627952e-06
"MG(w, nu=3, w=auto)",31,8,8.874070e-04,2.624536e-07,9.424984e-07
"MG(w, nu=3, w=auto)",63,16,4.432217e-03,4.584365e-08,2.160668e-07
"MG(w, nu=3, w=auto)",127,100,7.877477e-02,9.629662e-08,2.272427e-07
"MG(w, nu=3, w=auto)",255,100,2.054453e-01,1.923430e-07,4.135072e-07
"MG(w, nu=3, w=auto)",511,100,6.467055e-01,7.508940e-08,4.358590e-07
