Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,26,2.181799e-05,2.946811e-04,5.716501e-04
RB SOR,31,55,1.678690e-04,6.743124e-05,1.301824e-04
RB SOR,63,122,1.409033e-03,1.818780e-05,3.716507e-05
RB SOR,127,100000,4.539914e+00,4.772676e-06,1.029779e-05
RB SOR,255,100000,1.830294e+01,1.422420e-06,5.320370e-06
RB SOR,511,100000,7.346582e+01,1.169952e-06,6.298321e-06
"MG(v, nu=3, w=1.25)",15,2,4.470001e-05,2.681237e-04,5.274831e-04
"MG(v, nu=3, w=1.25)",31,3,1.246310e-04,7.144183e-05,1.402317e-04
"MG(v, nu=3, w=1.25)",63,4,4.697280e-04,1.848040e-05,3.597940e-05
"MG(v, nu=3, w=1.25)",127,4,1.482526e-03,4.477334e-06,8.947209e-06
"MG(v, nu=3, w=1.25)",255,4,5.276661e-03,1.000826e-06,2.177696e-06
"MG(v, nu=3, w=1.25)",511,200,7.763489e-01,2.967961e-07,8.293741e-07
"MG(v, nu=3, w=auto)",15,5,1.088640e-04,2.951364e-04,5.677162e-04
"MG(v, nu=3, w=auto)",31,10,4.115550e-04,6.600533e-05,1.279160e-04
"MG(v, nu=3, w=auto)",63,21,3.019878e-03,2.443702e-05,5.177842e-05
"MG(v, nu=3, w=auto)",127,200,7.509657e-02,4.660086e-06,1.003555e-05
"MG(v, nu=3, w=auto)",255,200,2.181296e-01,1.260388e-06,4.896135e-06
"MG(v, nu=3, w=auto)",511,200,7.672632e-01,1.535473e-06,7.140928e-06
"MG(w, nu=3, w=1.25)",15,2,8.760701e-05,2.681445e-04,5.274831e-04
"MG(w, nu=3, w=1.25)",31,3,3.488020e-04,7.301564e-05,1.425563e-04
"MG(w, nu=3, w=1.25)",63,3,8.332880e-04,1.818723e-05,3.597940e-05
"MG(w, nu=3, w=1.25)",127,4,3.196169e-03,4.660041e-06,9.126023e-06
"MG(w, nu=3, w=1.25)",255,4,1.121092e-02,1.169737e-06,2.383863e-06
"MG(w, nu=3, w=1.25)",511,200,1.280866e+00,2.988319e-07,8.293741e-07
"MG(w, nu=3, w=auto)",15,5,2.202600e-04,2.952184e-04,5.681335e-04
"MG(w, nu=3, w=auto)",31,9,9.436000e-04,8.094262e-05,1.595436e-04
"MG(w, nu=3, w=auto)",63,20,7.760864e-03,1.851444e-05,3.862952e-05
"MG(w, nu=3, w=auto)",127,200,1.306486e-01,4.688198e-06,9.927886e-06
"MG(w, nu=3, w=auto)",255,200,3.742268e-01,1.385845e-06,4.521350e-06
"MG(w, nu=3, w=auto)",511,200,1.276025e+00,1.006480e-06,6.264985e-06
