Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,20,1.746700e-05,1.199947e-02,2.396345e-02
RB SOR,31,41,1.205480e-04,2.844923e-03,5.692601e-03
RB SOR,63,82,9.813940e-04,5.880975e-04,1.176953e-03
RB SOR,127,164,8.029676e-03,2.592429e-05,5.261831e-05
RB SOR,255,328,9.916731e-02,1.151408e-04,2.304141e-04
RB SOR,511,50000,3.909444e+01,1.279088e-05,2.900313e-05
"MG(v, nu=3, w=1.25)",15,2,7.685300e-05,1.214269e-02,2.432179e-02
"MG(v, nu=3, w=1.25)",31,3,2.018060e-04,3.005747e-03,6.014228e-03
"MG(v, nu=3, w=1.25)",63,3,4.148820e-04,7.479072e-04,1.500368e-03
"MG(v, nu=3, w=1.25)",127,3,1.313880e-03,1.852182e-04,3.755093e-04
"MG(v, nu=3, w=1.25)",255,4,9.679577e-03,4.673860e-05,9.363793e-05
"MG(v, nu=3, w=1.25)",511,4,3.193476e-02,1.162127e-05,2.342820e-05
"MG(v, nu=3, w=auto)",15,4,1.459320e-04,1.216262e-02,2.428865e-02
"MG(v, nu=3, w=auto)",31,8,4.543470e-04,2.937187e-03,5.865574e-03
"MG(v, nu=3, w=auto)",63,18,3.428641e-03,7.071354e-04,1.428300e-03
"MG(v, nu=3, w=auto)",127,37,2.366150e-02,2.139185e-04,4.292727e-04
"MG(v, nu=3, w=auto)",255,100,1.374461e-01,4.632417e-05,9.572409e-05
"MG(v, nu=3, w=auto)",511,100,4.081350e-01,2.280380e-04,7.543526e-04
"MG(w, nu=3, w=1.25)",15,2,8.444701e-05,1.214275e-02,2.432442e-02
"MG(w, nu=3, w=1.25)",31,2,2.054900e-04,2.952025e-03,5.981565e-03
"MG(w, nu=3, w=1.25)",63,3,8.408120e-04,7.495424e-04,1.499534e-03
"MG(w, nu=3, w=1.25)",127,3,2.418991e-03,1.872718e-04,3.745556e-04
"MG(w, nu=3, w=1.25)",255,3,9.716453e-03,4.679217e-05,9.366546e-05
"MG(w, nu=3, w=1.25)",511,3,5.071108e-02,1.167763e-05,2.350172e-05
"MG(w, nu=3, w=auto)",15,4,7.676230e-04,1.216211e-02,2.428758e-02
"MG(w, nu=3, w=auto)",31,8,9.428990e-04,2.928399e-03,5.858421e-03
"MG(w, nu=3, w=auto)",63,14,4.152326e-03,7.496872e-04,1.500487e-03
"MG(w, nu=3, w=auto)",127,31,3.145587e-02,1.872837e-04,3.746142e-04
"MG(w, nu=3, w=auto)",255,100,2.195107e-01,4.672048e-05,9.487258e-05
"MG(w, nu=3, w=auto)",511,100,6.440983e-01,1.084517e-05,2.533958e-05
