Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,30,5.262200e-05,1.563127e-03,3.134608e-03
RB SOR,31,64,1.867240e-04,3.784596e-04,7.591248e-04
RB SOR,63,135,1.612932e-03,8.794831e-05,1.767874e-04
RB SOR,127,50000,2.433284e+00,2.546351e-05,5.166463e-05
RB SOR,255,50000,9.694277e+00,5.849231e-06,1.327318e-05
RB SOR,511,50000,3.900313e+01,7.023709e-06,1.985196e-05
"MG(v, nu=3, w=1.25)",15,3,5.700199e-05,1.597990e-03,3.204465e-03
"MG(v, nu=3, w=1.25)",31,3,8.476801e-05,3.875621e-04,7.869005e-04
"MG(v, nu=3, w=1.25)",63,4,2.960550e-04,9.985328e-05,2.001524e-04
"MG(v, nu=3, w=1.25)",127,4,1.023696e-03,2.454738e-05,4.964970e-05
"MG(v, nu=3, w=1.25)",255,4,6.781539e-03,5.730941e-06,1.202754e-05
"MG(v, nu=3, w=1.25)",511,100,4.116766e-01,1.514888e-06,3.225354e-06
"MG(v, nu=3, w=auto)",15,5,6.248960e-04,1.650361e-03,3.299952e-03
"MG(v, nu=3, w=auto)",31,10,4.290150e-04,3.822337e-04,7.710457e-04
"MG(v, nu=3, w=auto)",63,19,2.020402e-03,1.119248e-04,2.165884e-04
"MG(v, nu=3, w=auto)",127,100,3.869990e-02,2.507685e-05,5.102158e-05
"MG(v, nu=3, w=auto)",255,100,1.250902e-01,6.320774e-06,1.497659e-05
"MG(v, nu=3, w=auto)",511,100,4.154827e-01,6.065816e-05,1.890659e-04
"MG(w, nu=3, w=1.25)",15,3,2.008330e-04,1.606878e-03,3.216982e-03
"MG(w, nu=3, w=1.25)",31,3,4.646200e-04,4.014491e-04,8.033514e-04
"MG(w, nu=3, w=1.25)",63,3,1.183146e-03,1.003283e-04,2.007484e-04
"MG(w, nu=3, w=1.25)",127,3,8.050581e-03,2.504567e-05,5.018711e-05
"MG(w, nu=3, w=1.25)",255,3,2.029464e-02,6.222103e-06,1.256123e-05
"MG(w, nu=3, w=1.25)",511,100,6.389888e-01,1.516078e-06,3.233556e-06
"MG(w, nu=3, w=auto)",15,5,2.744190e-04,1.619381e-03,3.238082e-03
"MG(w, nu=3, w=auto)",31,8,8.568700e-04,4.015450e-04,8.028675e-04
"MG(w, nu=3, w=auto)",63,16,7.060912e-03,1.003174e-04,2.016092e-04
"MG(w, nu=3, w=auto)",127,100,8.525718e-02,2.504919e-05,5.095518e-05
"MG(w, nu=3, w=auto)",255,100,2.167710e-01,6.027458e-06,1.241507e-05
"MG(w, nu=3, w=auto)",511,100,6.447523e-01,2.096754e-06,9.397517e-06
