Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1185,3.229360e-04,3.446380e-12,6.892764e-12
Jacobi,23,2674,1.510515e-03,3.502649e-12,7.005292e-12
Jacobi,31,4760,4.564399e-03,3.498426e-12,6.996848e-12
Jacobi,47,10717,2.373612e-02,3.517866e-12,7.035740e-12
Jacobi,63,19057,7.652898e-02,3.523838e-12,7.047675e-12
Jacobi,95,42884,3.800319e-01,3.531017e-12,7.062143e-12
Jacobi,127,50000,7.901893e-01,9.576278e-09,1.915256e-08
RB GS,15,602,1.944650e-03,2.407255e-12,4.767582e-12
RB GS,23,1358,2.439937e-03,2.452168e-12,4.883219e-12
RB GS,31,2416,7.487334e-03,2.477366e-12,4.942768e-12
RB GS,47,5440,5.423163e-02,2.483223e-12,4.961136e-12
RB GS,63,9673,7.350735e-02,2.488872e-12,4.974750e-12
RB GS,95,21766,3.728961e-01,2.496297e-12,4.991375e-12
RB GS,127,38696,1.213089e+00,2.499245e-12,4.997738e-12
RB SOR,15,73,6.572901e-05,2.959508e-13,6.311271e-13
RB SOR,23,111,2.001630e-04,2.222528e-13,4.671402e-13
RB SOR,31,150,4.793490e-04,1.570729e-13,3.274811e-13
RB SOR,47,228,1.590110e-03,1.100024e-13,2.268255e-13
RB SOR,63,307,4.951051e-03,8.340518e-14,1.709397e-13
RB SOR,95,466,1.652854e-02,5.920437e-14,1.205286e-13
RB SOR,127,628,4.260340e-02,4.321263e-14,8.750639e-14
MG V-cycle,15,13,2.232540e-04,1.741536e-13,2.500430e-13
MG V-cycle,23,14,3.693250e-04,2.152796e-13,2.955622e-13
MG V-cycle,31,14,4.606890e-04,8.309687e-14,1.267181e-13
MG V-cycle,47,15,7.601370e-04,5.727552e-14,8.339857e-14
MG V-cycle,63,15,1.358306e-03,2.260561e-14,3.859586e-14
MG V-cycle,95,16,2.663897e-03,1.215655e-14,1.967350e-14
MG V-cycle,127,16,4.358916e-03,4.969549e-15,9.737437e-15
MG W-cycle,15,11,6.895790e-04,4.277620e-14,8.636147e-14
MG W-cycle,23,11,1.599467e-03,1.522055e-14,4.380350e-14
MG W-cycle,31,11,1.770647e-03,7.633508e-15,2.644846e-14
MG W-cycle,47,11,8.131067e-03,3.122536e-15,1.254118e-14
MG W-cycle,63,11,3.912191e-03,1.790755e-15,7.284538e-15
MG W-cycle,95,11,1.402874e-02,9.033177e-16,4.183286e-15
MG W-cycle,127,11,1.776536e-02,5.852436e-16,3.135079e-15
