Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,306,8.477199e-05,2.953815e-04,5.717083e-04
Jacobi,23,697,3.989780e-04,1.319268e-04,2.556500e-04
Jacobi,31,1245,1.211316e-03,7.433227e-05,1.438534e-04
Jacobi,47,2808,6.035104e-03,3.307519e-05,6.408442e-05
Jacobi,63,4996,1.960780e-02,1.861233e-05,3.615083e-05
Jacobi,95,11247,9.888561e-02,8.274526e-06,1.608248e-05
Jacobi,127,19996,3.134287e-01,4.654884e-06,9.044162e-06
RB GS,15,156,1.172200e-04,2.953815e-04,5.717083e-04
RB GS,23,354,2.769483e-03,1.319268e-04,2.556500e-04
RB GS,31,632,2.006626e-03,7.433227e-05,1.438534e-04
RB GS,47,1425,2.968624e-02,3.307519e-05,6.408442e-05
RB GS,63,2535,4.259515e-02,1.861233e-05,3.615084e-05
RB GS,95,5705,9.834757e-02,8.274529e-06,1.608248e-05
RB GS,127,10142,3.166087e-01,4.654887e-06,9.044168e-06
RB SOR,15,67,6.086999e-05,2.953815e-04,5.717083e-04
RB SOR,23,102,1.843740e-04,1.319268e-04,2.556500e-04
RB SOR,31,138,4.293730e-04,7.433228e-05,1.438535e-04
RB SOR,47,213,1.480390e-03,3.307520e-05,6.408444e-05
RB SOR,63,286,7.169073e-03,1.861234e-05,3.615085e-05
RB SOR,95,439,1.678820e-02,8.274537e-06,1.608250e-05
RB SOR,127,592,4.556933e-02,4.654896e-06,9.044184e-06
MG V-cycle,15,11,2.325340e-04,2.953815e-04,5.717083e-04
MG V-cycle,23,13,1.225423e-03,1.319268e-04,2.556500e-04
MG V-cycle,31,13,4.157430e-04,7.433228e-05,1.438535e-04
MG V-cycle,47,14,8.421210e-04,3.307520e-05,6.408444e-05
MG V-cycle,63,15,1.199900e-03,1.861234e-05,3.615085e-05
MG V-cycle,95,15,2.451053e-03,8.274537e-06,1.608250e-05
MG V-cycle,127,16,8.426372e-03,4.654896e-06,9.044184e-06
MG W-cycle,15,11,6.223820e-04,2.953815e-04,5.717083e-04
MG W-cycle,23,11,1.350221e-03,1.319268e-04,2.556500e-04
MG W-cycle,31,11,2.070646e-03,7.433228e-05,1.438535e-04
MG W-cycle,47,12,3.561097e-03,3.307520e-05,6.408444e-05
MG W-cycle,63,12,4.738803e-03,1.861234e-05,3.615085e-05
MG W-cycle,95,12,1.038439e-02,8.274538e-06,1.608250e-05
MG W-cycle,127,12,1.204592e-02,4.654896e-06,9.044184e-06
