Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1187,3.362860e-04,1.609482e-03,3.218964e-03
Jacobi,23,2680,1.507298e-03,7.145591e-04,1.429118e-03
Jacobi,31,4771,4.580494e-03,4.017888e-04,8.035776e-04
Jacobi,47,10743,2.338454e-02,1.785250e-04,3.570499e-04
Jacobi,63,19105,7.461716e-02,1.004109e-04,2.008217e-04
Jacobi,95,42995,3.811214e-01,4.462403e-05,8.924806e-05
Jacobi,127,50000,7.898006e-01,2.495660e-05,4.991320e-05
RB GS,15,603,4.824060e-04,1.609482e-03,3.218964e-03
RB GS,23,1361,3.156703e-03,7.145591e-04,1.429118e-03
RB GS,31,2422,1.081508e-02,4.017888e-04,8.035776e-04
RB GS,47,5453,5.591906e-02,1.785250e-04,3.570499e-04
RB GS,63,9697,7.253987e-02,1.004109e-04,2.008217e-04
RB GS,95,21821,3.715301e-01,4.462405e-05,8.924809e-05
RB GS,127,38796,1.228193e+00,2.510042e-05,5.020085e-05
RB SOR,15,73,3.102970e-04,1.609482e-03,3.218964e-03
RB SOR,23,111,1.676120e-04,7.145592e-04,1.429118e-03
RB SOR,31,150,3.931340e-04,4.017888e-04,8.035777e-04
RB SOR,47,228,1.379767e-03,1.785250e-04,3.570500e-04
RB SOR,63,307,4.367926e-03,1.004109e-04,2.008218e-04
RB SOR,95,467,1.630406e-02,4.462408e-05,8.924816e-05
RB SOR,127,629,4.463076e-02,2.510046e-05,5.020091e-05
MG V-cycle,15,13,3.726070e-04,1.609482e-03,3.218964e-03
MG V-cycle,23,14,5.815610e-04,7.145592e-04,1.429118e-03
MG V-cycle,31,14,7.038970e-04,4.017888e-04,8.035777e-04
MG V-cycle,47,15,1.111378e-03,1.785250e-04,3.570500e-04
MG V-cycle,63,15,1.736667e-03,1.004109e-04,2.008218e-04
MG V-cycle,95,16,5.564628e-03,4.462408e-05,8.924816e-05
MG V-cycle,127,16,5.451707e-03,2.510046e-05,5.020092e-05
MG W-cycle,15,11,6.675700e-04,1.609482e-03,3.218964e-03
MG W-cycle,23,11,2.147136e-03,7.145592e-04,1.429118e-03
MG W-cycle,31,11,2.889891e-03,4.017888e-04,8.035777e-04
MG W-cycle,47,11,5.485985e-03,1.785250e-04,3.570500e-04
MG W-cycle,63,11,3.631316e-03,1.004109e-04,2.008218e-04
MG W-cycle,95,11,9.700493e-03,4.462408e-05,8.924816e-05
MG W-cycle,127,11,1.428193e-02,2.510046e-05,5.020092e-05
