Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,354,1.686670e-04,3.462838e-05,6.926060e-05
Jacobi,23,799,8.241750e-04,3.473707e-05,6.947666e-05
Jacobi,31,1420,2.544610e-03,3.511773e-05,7.023662e-05
Jacobi,47,3197,1.295283e-02,3.517062e-05,7.033348e-05
Jacobi,63,5687,3.921982e-02,3.510836e-05,7.021427e-05
Jacobi,95,12810,2.052086e-01,3.486158e-05,6.979704e-05
Jacobi,127,22903,6.563406e-01,3.305801e-05,6.617978e-05
RB GS,15,187,1.744320e-04,2.372181e-05,4.698336e-05
RB GS,23,420,8.537860e-04,2.452924e-05,4.885346e-05
RB GS,31,747,2.719498e-03,2.462923e-05,4.914403e-05
RB GS,47,1680,1.788586e-02,2.482528e-05,4.959065e-05
RB GS,63,2986,4.679882e-02,2.491501e-05,4.979968e-05
RB GS,95,6723,1.849689e-01,2.479505e-05,4.964032e-05
RB GS,127,11922,5.820650e-01,2.481917e-05,4.994124e-05
RB SOR,15,30,3.340900e-05,3.065159e-06,6.567687e-06
RB SOR,23,47,9.858000e-05,1.949287e-06,4.096164e-06
RB SOR,31,64,2.354760e-04,1.540357e-06,3.207475e-06
RB SOR,47,98,8.122030e-04,1.213512e-06,2.484355e-06
RB SOR,63,135,1.987248e-03,8.251061e-07,1.702458e-06
RB SOR,95,207,1.432989e-02,5.695753e-07,1.161371e-06
RB SOR,127,50000,2.454930e+00,4.241189e-07,8.977950e-07
MG V-cycle,15,5,1.231630e-04,1.488029e-06,2.145767e-06
MG V-cycle,23,5,1.330550e-04,3.197855e-06,4.400511e-06
MG V-cycle,31,6,2.112190e-04,3.218216e-07,5.038455e-07
MG V-cycle,47,6,6.375630e-04,5.960419e-07,8.706946e-07
MG V-cycle,63,6,5.423580e-04,3.798381e-07,6.612390e-07
MG V-cycle,95,7,1.191507e-03,1.048091e-07,1.678220e-07
MG V-cycle,127,7,2.197749e-03,6.491366e-08,1.278240e-07
MG W-cycle,15,4,1.782530e-04,1.164476e-06,2.129003e-06
MG W-cycle,23,4,3.034000e-04,5.419796e-07,1.118530e-06
MG W-cycle,31,4,4.027630e-04,3.259398e-07,8.279458e-07
MG W-cycle,47,4,8.262010e-04,1.668755e-07,5.512510e-07
MG W-cycle,63,4,1.033436e-03,1.064967e-07,4.158355e-07
MG W-cycle,95,4,2.421448e-03,5.741874e-08,2.777181e-07
MG W-cycle,127,4,2.654087e-03,3.725021e-08,2.090819e-07
