Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,101,4.541500e-05,1.818057e-04,3.686367e-04
Jacobi,23,230,2.084660e-04,3.172235e-05,8.370867e-05
Jacobi,31,410,6.524060e-04,5.652813e-05,1.260498e-04
Jacobi,47,926,3.222155e-03,9.415415e-05,1.932049e-04
Jacobi,63,1648,1.022938e-02,1.084646e-04,2.197623e-04
Jacobi,95,3715,5.348930e-02,1.174503e-04,2.362728e-04
Jacobi,127,6623,1.674223e-01,1.184350e-04,2.377927e-04
RB GS,15,53,4.928400e-05,2.151016e-04,4.347383e-04
RB GS,23,120,2.316240e-04,5.050053e-05,1.197695e-04
RB GS,31,214,1.387591e-03,2.487902e-05,5.902015e-05
RB GS,47,484,3.910597e-03,5.658485e-05,1.189192e-04
RB GS,63,861,1.259725e-02,7.079185e-05,1.448732e-04
RB GS,95,1937,6.858284e-02,8.134984e-05,1.641854e-04
RB GS,127,3447,1.571376e-01,8.424001e-05,1.692630e-04
RB SOR,15,26,3.433900e-05,2.946811e-04,5.716501e-04
RB SOR,23,40,8.047100e-05,1.267798e-04,2.461460e-04
RB SOR,31,55,1.922360e-04,6.743124e-05,1.301824e-04
RB SOR,47,88,7.049430e-04,3.035948e-05,6.186962e-05
RB SOR,63,122,1.705305e-03,1.818780e-05,3.716507e-05
RB SOR,95,192,6.363761e-03,9.174100e-06,1.786566e-05
RB SOR,127,100000,4.555405e+00,4.772676e-06,1.029779e-05
MG V-cycle,15,4,7.857999e-05,2.589211e-04,4.976808e-04
MG V-cycle,23,5,1.329910e-04,1.221240e-04,2.418451e-04
MG V-cycle,31,5,1.768060e-04,6.190925e-05,1.265266e-04
MG V-cycle,47,6,3.413270e-04,3.058661e-05,6.124304e-05
MG V-cycle,63,6,5.282720e-04,1.605096e-05,3.278045e-05
MG V-cycle,95,7,1.125748e-03,7.800829e-06,1.563608e-05
MG V-cycle,127,7,1.856591e-03,4.203795e-06,8.569003e-06
MG W-cycle,15,4,4.712230e-04,2.736597e-04,5.250393e-04
MG W-cycle,23,5,3.856700e-04,1.306414e-04,2.549581e-04
MG W-cycle,31,5,5.223220e-04,7.356318e-05,1.440464e-04
MG W-cycle,47,5,9.154110e-04,3.277726e-05,6.411658e-05
MG W-cycle,63,5,1.214590e-03,1.846811e-05,3.615821e-05
MG W-cycle,95,5,2.343319e-03,8.255854e-06,1.617252e-05
MG W-cycle,127,6,6.052465e-03,4.657457e-06,9.126023e-06
