Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,462,2.128030e-04,2.181326e-04,4.521242e-04
Jacobi,23,1040,1.075589e-03,2.709432e-04,5.491605e-04
Jacobi,31,1849,3.290272e-03,2.876586e-04,5.803934e-04
Jacobi,47,4176,1.620760e-02,2.888568e-04,5.780092e-04
Jacobi,63,7515,5.205958e-02,2.667193e-04,5.368475e-04
Jacobi,95,18169,2.898414e-01,1.318223e-04,2.561137e-04
Jacobi,127,50000,1.423619e+00,1.211976e-04,2.070828e-04
RB GS,15,240,2.197940e-04,1.339449e-04,2.850242e-04
RB GS,23,541,1.089602e-03,1.800665e-04,3.671859e-04
RB GS,31,961,3.643312e-03,1.971195e-04,3.989248e-04
RB GS,47,2163,2.455552e-02,2.070598e-04,4.155515e-04
RB GS,63,3866,5.716425e-02,2.054464e-04,4.154924e-04
RB GS,95,9102,2.476946e-01,1.295730e-04,2.516141e-04
RB GS,127,50000,2.438773e+00,1.211976e-04,2.070828e-04
RB SOR,15,36,3.757200e-05,5.459581e-05,1.017027e-04
RB SOR,23,55,1.147810e-04,1.474067e-05,3.147844e-05
RB SOR,31,75,2.724630e-04,6.865478e-06,1.686381e-05
RB SOR,47,128,1.061215e-03,1.264993e-05,2.796577e-05
RB SOR,63,50000,6.135967e-01,4.226467e-06,1.065341e-05
RB SOR,95,50000,1.368107e+00,1.613408e-05,4.077652e-05
RB SOR,127,50000,2.472676e+00,2.351805e-05,5.637465e-05
MG V-cycle,15,6,7.400601e-05,6.228617e-05,1.256823e-04
MG V-cycle,23,7,1.632410e-04,2.797396e-05,5.557913e-05
MG V-cycle,31,7,1.616680e-04,1.581815e-05,3.198378e-05
MG V-cycle,47,8,3.286170e-04,7.315511e-06,1.429083e-05
MG V-cycle,63,8,4.654000e-04,4.133514e-06,8.321750e-06
MG V-cycle,95,8,1.361470e-03,1.489285e-06,4.649214e-06
MG V-cycle,127,100,3.131924e-02,1.204595e-06,2.492047e-06
MG W-cycle,15,5,1.964410e-04,7.116788e-05,1.418947e-04
MG W-cycle,23,5,3.879570e-04,3.297852e-05,6.225485e-05
MG W-cycle,31,6,5.596630e-04,1.918855e-05,3.532164e-05
MG W-cycle,47,6,1.638314e-03,8.556696e-06,1.572134e-05
MG W-cycle,63,6,1.443534e-03,4.784866e-06,9.013913e-06
MG W-cycle,95,6,4.124720e-03,2.184334e-06,4.472029e-06
MG W-cycle,127,100,7.171225e-02,1.213027e-06,2.492047e-06
